year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,nested,0.543129983717386,0.09728998283680061,0.3812328815991268,0.1791283592390009,0.7019183124264757,0.06460711928145892,4.440892098500626e-16,154
1993,all,lit_only,theil_l,nested,0.40881261916221107,0.06722112933646138,0.2919920449363944,0.1644301721268271,0.7142442068808451,0.049599444889354805,4.996003610813204e-16,169
1994,all,lit_only,theil_l,nested,0.4665870819601274,0.07275274796181633,0.3318831465479757,0.15592533692999558,0.7112994752313718,0.06195118745033501,3.885780586188048e-16,168
1995,all,lit_only,theil_l,nested,0.42614402672781965,0.0678351642135804,0.3042156090597702,0.1591836561325476,0.7138797917589357,0.05409325345446897,5.551115123125783e-17,180
1996,all,lit_only,theil_l,nested,0.40236145315117017,0.0628466340807443,0.29119982846302295,0.15619447039110965,0.7237269529236366,0.04831499060740259,3.3306690738754696e-16,185
1997,all,lit_only,theil_l,nested,0.4587487747432186,0.06532828992037529,0.3413915016264985,0.14240537199678044,0.7441796478205092,0.052028983196344636,2.220446049250313e-16,187
1998,all,lit_only,theil_l,nested,0.4488747747607184,0.06637261741053865,0.3286293815636123,0.1478644404687697,0.732118176475376,0.05387277578656774,2.7755575615628914e-16,190
1999,all,lit_only,theil_l,nested,0.4631245094077099,0.07410923873901995,0.33456051087323907,0.16002011820492568,0.7223986294767872,0.054454759795451696,8.326672684688674e-16,191
2000,all,lit_only,theil_l,nested,0.47116461510710844,0.07613850314291813,0.3427819670218559,0.16159639476663543,0.7275206075140688,0.05224414494233594,1.5543122344752192e-15,190
2001,all,lit_only,theil_l,nested,0.46534252210187665,0.07351613962940676,0.3403099482293769,0.15798285378552188,0.7313106627184038,0.05151643424309457,1.5543122344752192e-15,191
2002,all,lit_only,theil_l,nested,0.45744593046463466,0.07096686036557132,0.33145609582711955,0.15513715532126215,0.7245798328350077,0.05502297427194536,1.5543122344752192e-15,191
2003,all,lit_only,theil_l,nested,0.4666937180052382,0.06926733050604109,0.3445205382183304,0.14842139037591165,0.7382155039302747,0.05290584928086815,1.4432899320127035e-15,190
2004,all,lit_only,theil_l,nested,0.4770790027319321,0.07115419148279876,0.35756910127981417,0.1491455106498994,0.7494966226395215,0.04835570996932108,1.942890293094024e-15,189
2005,all,lit_only,theil_l,nested,0.4719125085509433,0.07046918951541709,0.34837301844817803,0.14932681003052897,0.7382152668889702,0.05307030058735018,1.9984014443252818e-15,191
2006,all,lit_only,theil_l,nested,0.45294946749624304,0.06938089857990458,0.3265906398344409,0.15317580339241718,0.7210310713902094,0.056977929081899484,1.942890293094024e-15,192
2007,all,lit_only,theil_l,nested,0.4287904720623381,0.06533365051139339,0.30540570952136603,0.15236730936944676,0.7122492905508538,0.0580511120295803,1.609823385706477e-15,192
2008,all,lit_only,theil_l,nested,0.4077763907240388,0.06854897864735807,0.28239957759488565,0.1681043341563841,0.6925353797297169,0.05682783448179671,1.609823385706477e-15,190
2009,all,lit_only,theil_l,nested,0.3913404566553714,0.06432697541632246,0.2761436710082993,0.16437599108995551,0.7056353778711957,0.05086981023075007,3.885780586188048e-16,192
2010,all,lit_only,theil_l,nested,0.37605719466155174,0.05620546252356066,0.2782958443774405,0.1494598782351315,0.7400359528499497,0.0415558877605486,1.9984014443252818e-15,194
2011,all,lit_only,theil_l,nested,0.34184035129637386,0.054384064794784276,0.24351719081109813,0.15909199890692122,0.7123711109223907,0.04393909569048947,1.9984014443252818e-15,194
2012,all,lit_only,theil_l,nested,0.3474967561345604,0.05343057842742949,0.24802912692445744,0.1537584955375517,0.7137595460845502,0.04603705078267177,1.6653345369377348e-15,194
2013,all,lit_only,theil_l,nested,0.39082405109722285,0.056858393748868315,0.2871615678296,0.14548335392676232,0.7347592018029735,0.04680408951875314,1.3877787807814457e-15,194
2014,all,lit_only,theil_l,nested,0.4488036609683016,0.054628200581384706,0.3416694729308841,0.12171959663502616,0.7612894070287358,0.05250598745603237,3.885780586188048e-16,194
2015,all,lit_only,theil_l,nested,0.48781078007755346,0.058421549385423745,0.3701691541355931,0.11976272721184171,0.7588375846813853,0.05922007655653685,2.220446049250313e-16,194
2016,all,lit_only,theil_l,nested,0.5164917884645366,0.05826950756326993,0.39387914382777334,0.11281787796955621,0.7626048518578101,0.0643431370734937,4.440892098500626e-16,194
2017,all,lit_only,theil_l,nested,0.5929824986714858,0.0676314941539666,0.45438166666258306,0.11405310326272322,0.766264885861854,0.07096933785493661,4.440892098500626e-16,195
2018,all,lit_only,theil_l,nested,0.5540830996151029,0.06128533771113363,0.42658787305571066,0.11060676233168969,0.7698987270177388,0.06620988884825883,2.220446049250313e-16,195
2019,all,lit_only,theil_l,nested,0.5579120180604015,0.06236845726941732,0.429123658424315,0.1117890549951643,0.7691600907185631,0.06641990236666948,3.3306690738754696e-16,195
2020,all,lit_only,theil_l,nested,0.6066312289015481,0.07290426227104402,0.4572250291374754,0.12017888100329872,0.7537116576826938,0.07650193749302978,1.1102230246251565e-15,195
2021,all,lit_only,theil_l,nested,0.6034037280182962,0.07167246210561866,0.4578146137197133,0.11878027724655593,0.7587202273729267,0.07391665219296574,1.5543122344752192e-15,195
2022,all,lit_only,theil_l,nested,0.6271313938872661,0.07536267452905564,0.47540179685578277,0.12017047027724292,0.7580577236119701,0.07636692250242962,1.887379141862766e-15,195
1992,all,zeros_included,theil_l,nested,,,,,,,,0
1993,all,zeros_included,theil_l,nested,,,,,,,,0
1994,all,zeros_included,theil_l,nested,,,,,,,,0
1995,all,zeros_included,theil_l,nested,,,,,,,,0
1996,all,zeros_included,theil_l,nested,,,,,,,,0
1997,all,zeros_included,theil_l,nested,,,,,,,,0
1998,all,zeros_included,theil_l,nested,,,,,,,,0
1999,all,zeros_included,theil_l,nested,,,,,,,,0
2000,all,zeros_included,theil_l,nested,,,,,,,,0
