year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
1992,all,zeros_included,province,Abra,3974,0.020130850528434826,0.013431075330960758,0.0003820621806198959,5.581625866891129,0.002132528150108842
1992,all,zeros_included,province,Agusan del Norte,2983,0.5065370432450553,0.010081755841030684,0.007216199436458284,3.0221062865538695,0.02180812168194707
1992,all,zeros_included,province,Agusan del Sur,8601,0.021392861295198233,0.029069119003923876,0.0008787430154257606,5.221043254274858,0.004587955292929814
1992,all,zeros_included,province,Aklan,1664,0.14903846153846154,0.0056238825744133625,0.0011843927599216773,3.5812178448187426,0.004241568487105631
1992,all,zeros_included,province,Albay,2516,0.8187599364069952,0.008503418604100973,0.00983810115096232,2.140168199362863,0.021055191225404737
1992,all,zeros_included,province,Antique,2736,0.10562865497076024,0.009246960771391201,0.001380199627489374,4.333882831720676,0.005981623469923471
1992,all,zeros_included,province,Apayao,3916,0.0,0.01323505057776606,0.0,0.0,0.0
1992,all,zeros_included,province,Aurora,3040,0.0029605263157894738,0.010274400857101334,4.2981995319738284e-05,6.958755847242246,0.00029910121125736763
1992,all,zeros_included,province,Basilan,1374,0.06259097525473072,0.00464375880843988,0.0004107168441663881,4.510198416452119,0.0018524144601694552
1992,all,zeros_included,province,Bataan,1315,3.8342205323193914,0.004444354318121136,0.024079468933568937,0.9935454966620374,0.02392404792096085
1992,all,zeros_included,province,Batanes,205,0.0,0.0006928461104295308,0.0,0.0,0.0
1992,all,zeros_included,province,Batangas,3222,2.9913097454996898,0.010889513013677797,0.04602894121018196,1.2615463985838207,0.05806764501433146
1992,all,zeros_included,province,Benguet,2639,1.1515725653656688,0.008919126270358691,0.014513587086298295,2.816952767712208,0.04088408931218014
1992,all,zeros_included,province,Biliran,535,0.0,0.001808159361364873,0.0,0.0,0.0
1992,all,zeros_included,province,Bohol,3980,0.1756281407035176,0.013451353753705037,0.0033382683031663403,4.053675704589846,0.013532257115947764
1992,all,zeros_included,province,Bukidnon,9101,0.09240742775519174,0.03075898756594712,0.004016428673766655,4.386843752128891,0.01761944503338458
1992,all,zeros_included,province,Bulacan,2553,6.9537798668233455,0.008628468877690693,0.08478437365681264,1.0310853317099957,0.08741992403575889
1992,all,zeros_included,province,Cagayan,8818,0.04479473803583579,0.029802521959841965,0.001886432016810736,5.01206604143568,0.009454921850934111
1992,all,zeros_included,province,Camarines Norte,2107,0.21262458471760798,0.007121106120365958,0.002139548211471417,3.3713381684638444,0.007213140548602141
1992,all,zeros_included,province,Camarines Sur,5294,0.44918775972799396,0.017892328334702126,0.011356798318926406,2.8255814484803388,0.03208955864409115
1992,all,zeros_included,province,Camiguin,250,0.072,0.0008449342810116229,8.596399063947657e-05,3.8294411099537826,0.00032919403973049374
1992,all,zeros_included,province,Capiz,2646,0.172713529856387,0.008942784430227018,0.002182530206791155,4.087599544912846,0.008921309480038067
1992,all,zeros_included,province,Catanduanes,1474,0.05563093622795115,0.004981732520844529,0.0003916137351353933,4.40281207230484,0.0017242016807344997
1992,all,zeros_included,province,Cavite,1240,9.333870967741936,0.00419087403381765,0.055274845981183436,0.6743890097392429,0.03727674864473947
1992,all,zeros_included,province,Cebu,4890,3.1918200408997954,0.016526914536587344,0.07454033143894169,1.991823912800704,0.14847121462817417
1992,all,zeros_included,province,Compostela Valley,4242,0.0014144271570014145,0.014336844880205217,2.865466354649219e-05,7.902228926258323,0.0002264357111492905
1992,all,zeros_included,province,Davao del Norte,3500,0.2774285714285714,0.01182907993416272,0.004637279717273986,3.257351958683331,0.015105252170024902
1992,all,zeros_included,province,Davao del Sur,6045,0.9048800661703887,0.020430510914861044,0.02612350159988538,3.2091031770720924,0.08383301198044006
1992,all,zeros_included,province,Davao Oriental,5125,0.008,0.01732115276073827,0.00019580686756769664,6.662676922070313,0.0013045978977261703
1992,all,zeros_included,province,Dinagat Islands,807,0.0,0.002727447859105519,0.0,0.0,0.0
1992,all,zeros_included,province,Eastern Samar,4295,0.003958090803259604,0.014515970947779682,8.118821338172788e-05,6.276705215082892,0.000509594482336354
1992,all,zeros_included,province,Guimaras,603,0.10281923714759536,0.0020379814858000347,0.0002960981899804193,3.5080578321682783,0.0010387295744516609
1992,all,zeros_included,province,Ifugao,2498,0.0,0.008442583335868135,0.0,0.0,0.0
1992,all,zeros_included,province,Ilocos Norte,3374,0.42531120331950206,0.011403233056532862,0.006853240364869382,3.217308175011858,0.02204898625121551
1992,all,zeros_included,province,Ilocos Sur,2508,0.2647527910685805,0.008476380707108601,0.003171116099145136,3.6472782100759353,0.011565942650033054
1992,all,zeros_included,province,Iloilo,4714,0.9075095460330929,0.015932080802755162,0.020430775108648932,2.9241095899458704,0.059741825425227726
1992,all,zeros_included,province,Isabela,10290,0.08862973760932945,0.0347774950064384,0.0043555088590668135,4.2992279448027215,0.018725325400735862
1992,all,zeros_included,province,Kalinga,2904,0.0024104683195592287,0.009814756608231012,3.343044080424089e-05,7.290936271244215,0.00024373921342332253
1992,all,zeros_included,province,La Union,1463,0.6896787423103212,0.004944555412480017,0.004818759253068437,2.376358603329249,0.011451100008401605
1992,all,zeros_included,province,Laguna,2700,5.725185185185185,0.009125290234925528,0.07382396485027938,0.98419730504824,0.07265734725362097
