year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,district,0.4289780451500767,0.14084875886519255,0.2881292862848848,0.3283355884003738,0.6716644115996278,,6.661338147750939e-16,30
1993,all,lit_only,theil_l,district,0.33804718838708614,0.1458288221298855,0.19221836625720087,0.43138599325636734,0.5686140067436333,,2.220446049250313e-16,44
1994,all,lit_only,theil_l,district,0.43558559546291187,0.1737075602462057,0.26187803521670644,0.3987908738387014,0.6012091261612993,,2.7755575615628914e-16,47
1995,all,lit_only,theil_l,district,0.37227810909264175,0.1754226294969015,0.19685547959574068,0.4712139263962131,0.528786073603788,,3.885780586188048e-16,45
1996,all,lit_only,theil_l,district,0.3825869092417674,0.17435655588341134,0.20823035335835613,0.45573058479434414,0.544269415205656,,5.551115123125783e-17,51
1997,all,lit_only,theil_l,district,0.4385114721038706,0.1843578758906878,0.2541535962131829,0.42041745226455285,0.5795825477354474,,1.1102230246251565e-16,51
1998,all,lit_only,theil_l,district,0.41658813309975884,0.1892961161137443,0.22729201698601378,0.4543963235467734,0.5456036764532248,,7.771561172376096e-16,52
1999,all,lit_only,theil_l,district,0.4431222862442983,0.20520562425182545,0.2379166619924718,0.4630902814459061,0.5369097185540916,,9.992007221626409e-16,52
2000,all,lit_only,theil_l,district,0.4132852749307073,0.15272356169852885,0.26056171323217636,0.3695354539890998,0.6304645460108951,,2.1094237467877974e-15,49
2001,all,lit_only,theil_l,district,0.4017551908293592,0.1481679203549589,0.25358727047439833,0.3688015083242359,0.6311984916757593,,1.942890293094024e-15,48
2002,all,lit_only,theil_l,district,0.4027950932915494,0.14265733497831576,0.2601377583132322,0.3541685024327199,0.6458314975672765,,1.4432899320127035e-15,52
2003,all,lit_only,theil_l,district,0.4231410569253733,0.13414235871028427,0.28899869821508756,0.3170157008279679,0.6829842991720286,,1.4432899320127035e-15,51
2004,all,lit_only,theil_l,district,0.44030959860805646,0.11877417430641234,0.321535424301642,0.26975149913127305,0.7302485008687221,,2.1094237467877974e-15,49
2005,all,lit_only,theil_l,district,0.41586275762009595,0.09681339353092577,0.3190493640891698,0.2328013070585367,0.7671986929414624,,3.885780586188048e-16,45
2006,all,lit_only,theil_l,district,0.36739024455057656,0.12786528918616974,0.23952495536440568,0.3480367023424522,0.6519632976575447,,1.1102230246251565e-15,44
2007,all,lit_only,theil_l,district,0.37727574562078126,0.14004296333408767,0.2372327822866924,0.3711952463407278,0.628804753659269,,1.2212453270876722e-15,45
2008,all,lit_only,theil_l,district,0.3359398768598312,0.15454459007230667,0.18139528678752426,0.4600364550850551,0.5399635449149441,,2.220446049250313e-16,43
2009,all,lit_only,theil_l,district,0.3887056520343345,0.19346449542224395,0.19524115661209068,0.4977146445124373,0.502285355487563,,1.1102230246251565e-16,45
2010,all,lit_only,theil_l,district,0.3973899969480008,0.21761662758463612,0.1797733693633653,0.5476147594452702,0.45238524055473134,,6.106226635438361e-16,47
2011,all,lit_only,theil_l,district,0.3591812789165446,0.18300604694565617,0.17617523197088902,0.5095088683287902,0.4904911316712115,,5.551115123125783e-16,48
2012,all,lit_only,theil_l,district,0.3454736391608897,0.18013682217287016,0.1653368169880203,0.5214198762325223,0.47858012376748,,7.771561172376096e-16,42
2013,all,lit_only,theil_l,district,0.38502827952113683,0.1981703545784683,0.18685792494266903,0.5146903880019789,0.4853096119980224,,4.996003610813204e-16,41
2014,all,lit_only,theil_l,district,0.4134560033451681,0.1663151293423794,0.24714087400278822,0.4022559304902232,0.5977440695097758,,4.440892098500626e-16,42
2015,all,lit_only,theil_l,district,0.45794495014527026,0.14684805159148165,0.3110968985537882,0.3206674766145979,0.6793325233854012,,4.440892098500626e-16,46
