year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,administrative subdivisions,all,,5,0.6351694458226886,0.7620725128511467,1.3195934583876652,3114.0,
1993,adm1,administrative subdivisions,all,,5,0.6305485872127612,0.747826090835911,1.132842599906241,5249.0,
1994,adm1,administrative subdivisions,all,,5,0.6224634044415633,0.7245268231329797,1.0782061328302521,5281.0,
1995,adm1,administrative subdivisions,all,,5,0.5549965454744004,0.5534307642597391,0.7764476508462229,6162.0,
1996,adm1,administrative subdivisions,all,,5,0.5539512285073649,0.5526071097329254,0.7608883820985236,6369.0,
1997,adm1,administrative subdivisions,all,,5,0.5818268780831217,0.6272326777214349,0.8536674438485227,6164.0,
1998,adm1,administrative subdivisions,all,,5,0.572542531932797,0.6009459295927455,0.8229764781779128,6399.0,
1999,adm1,administrative subdivisions,all,,5,0.5477963453630945,0.555095215178845,0.7689376640932818,6853.0,
2000,adm1,administrative subdivisions,all,,5,0.5096032948389659,0.4736984492689524,0.6939562434112924,7927.0,
2001,adm1,administrative subdivisions,all,,5,0.4818557852765406,0.42471582246548034,0.6071211517921262,8219.0,
2002,adm1,administrative subdivisions,all,,5,0.4912503405004578,0.4384965042626865,0.6023546942758631,8187.0,
2003,adm1,administrative subdivisions,all,,5,0.49153295016219456,0.4389861824025564,0.5776328871305378,8195.0,
2004,adm1,administrative subdivisions,all,,5,0.48911503130548994,0.43398235183098166,0.5757130695061217,8712.0,
2005,adm1,administrative subdivisions,all,,5,0.4946633803754088,0.4376318353669655,0.5816517296823503,8669.0,
2006,adm1,administrative subdivisions,all,,5,0.5007529016345034,0.4498333262731812,0.6036683417240863,8505.0,
2007,adm1,administrative subdivisions,all,,5,0.4999022941778841,0.44888607946790415,0.6062249581753918,8466.0,
2008,adm1,administrative subdivisions,all,,5,0.5068334988216638,0.4659469502106488,0.637190090582586,8678.0,
2009,adm1,administrative subdivisions,all,,5,0.5104814624806344,0.4689276371193062,0.6460424636923847,9762.0,
2010,adm1,administrative subdivisions,all,,5,0.47415582923573396,0.3993810874713232,0.5343873506523849,10492.0,
2011,adm1,administrative subdivisions,all,,5,0.48352908612876555,0.420161795537875,0.5553691702826482,10105.0,
2012,adm1,administrative subdivisions,all,,5,0.4978399637736184,0.44467742316117365,0.5925998180724812,9772.0,
2013,adm1,administrative subdivisions,all,,5,0.49625231711420237,0.43975537113272356,0.600971341681951,9627.0,
2014,adm1,administrative subdivisions,all,,5,0.5026482400929155,0.4436180497949652,0.6057323657957929,9493.00557231903,
2015,adm1,administrative subdivisions,all,,5,0.515653007129772,0.47328402983322404,0.6346081914635131,9295.25557231903,
2016,adm1,administrative subdivisions,all,,5,0.5172077938270976,0.4770211327567771,0.6390371443126763,9308.588905334473,
2017,adm1,administrative subdivisions,all,,5,0.5157061767848061,0.47330177996055406,0.6360535203125803,10142.064913749695,
2018,adm1,administrative subdivisions,all,,5,0.51676694385589,0.4774343702674434,0.6550907085867921,10071.048250198364,
2019,adm1,administrative subdivisions,all,,5,0.5147486909267447,0.4723036092538405,0.6548346690424789,9985.214920043945,
2020,adm1,administrative subdivisions,all,,5,0.508223514194365,0.4635618920143883,0.6439889999983801,10216.564926147461,
2021,adm1,administrative subdivisions,all,,5,0.5054242923298937,0.45614830657123495,0.6280856130268277,10002.248264312744,
2022,adm1,administrative subdivisions,all,,5,0.5032131655906424,0.4539814370175361,0.6265388814602607,10066.676834106445,
1992,pixel,pixel (1 km),all,lit_only,493,0.4913711680938404,0.479058114512554,0.4214376396228857,3114.0,0.12124938514510576
1993,pixel,pixel (1 km),all,lit_only,586,0.4626224920462667,0.42662664848714626,0.35976597994670134,5249.0,0.1441219872110182
1994,pixel,pixel (1 km),all,lit_only,624,0.4904553212047058,0.47017942861146583,0.42842228893297046,5281.0,0.15346778160354158
1995,pixel,pixel (1 km),all,lit_only,843,0.4667127147869523,0.45758487496096845,0.3822145790268419,6162.0,0.2073290703393999
1996,pixel,pixel (1 km),all,lit_only,826,0.4402322158974483,0.41900780602533083,0.33425188471021366,6369.0,0.2031480570585342
1997,pixel,pixel (1 km),all,lit_only,807,0.45201019309465273,0.4336916463562958,0.3615711857995528,6164.0,0.19847515986227252
1998,pixel,pixel (1 km),all,lit_only,842,0.4593820144848939,0.4399013566563642,0.37024450646264584,6399.0,0.20708312838170193
1999,pixel,pixel (1 km),all,lit_only,999,0.49720433990096913,0.49854385600913614,0.4508193588132011,6853.0,0.2456960157402853
2000,pixel,pixel (1 km),all,lit_only,1362,0.4857853055978685,0.49552389840296684,0.4149671918208019,7927.0,0.33497294638465325
2001,pixel,pixel (1 km),all,lit_only,1409,0.4680138829078462,0.47131977013204246,0.38301718346316205,8219.0,0.3465322183964584
2002,pixel,pixel (1 km),all,lit_only,1223,0.4383029114721393,0.42084172302920836,0.33190976376053816,8187.0,0.30078701426463356
2003,pixel,pixel (1 km),all,lit_only,1209,0.4405244174891285,0.4204388268696162,0.3363455139458148,8195.0,0.2973438268568618
2004,pixel,pixel (1 km),all,lit_only,1353,0.46377400287902204,0.454108604055109,0.37445842714014277,8712.0,0.3327594687653714
2005,pixel,pixel (1 km),all,lit_only,1303,0.45605485340581153,0.4399684303139231,0.3606784830118364,8669.0,0.3204623708804722
2006,pixel,pixel (1 km),all,lit_only,1204,0.44582266440885854,0.42060422168817174,0.34101656266783437,8505.0,0.2961141170683719
2007,pixel,pixel (1 km),all,lit_only,1183,0.4459490789971081,0.41987400230805616,0.3414886425681977,8466.0,0.29094933595671424
2008,pixel,pixel (1 km),all,lit_only,1127,0.4390739732268749,0.41467980542698774,0.32875831960899876,8678.0,0.27717658632562714
2009,pixel,pixel (1 km),all,lit_only,1202,0.43473743310422,0.4094492061200498,0.324261283002978,9762.0,0.2956222331529759
2010,pixel,pixel (1 km),all,lit_only,1326,0.40984828489594016,0.384183799999507,0.293779499380185,10492.0,0.32611903590752583
2011,pixel,pixel (1 km),all,lit_only,1171,0.40514630538187624,0.3700156483110522,0.2816328820677714,10105.0,0.2879980324643384
2012,pixel,pixel (1 km),all,lit_only,1083,0.4140960529811937,0.37284901178173796,0.29566686189361807,9772.0,0.26635514018691586
2013,pixel,pixel (1 km),all,lit_only,1107,0.44046174335224175,0.4067241377522104,0.3400126488766996,9627.0,0.2722577471716675
2014,pixel,pixel (1 km),all,lit_only,1044,0.4514060795904402,0.40859284043994265,0.35266014996200484,9493.00557231903,0.25676340383669455
2015,pixel,pixel (1 km),all,lit_only,1015,0.45826727214542173,0.4169910591024983,0.3638546490878508,9295.25557231903,0.24963108706345302
2016,pixel,pixel (1 km),all,lit_only,1035,0.4666819214322977,0.42987556021698003,0.38276112678433266,9308.588905334473,0.2545499262174127
2017,pixel,pixel (1 km),all,lit_only,1152,0.47458298726257864,0.42767912718036105,0.3858181471153257,10142.064913749695,0.28332513526807673
2018,pixel,pixel (1 km),all,lit_only,1122,0.472808290062809,0.4223543267329774,0.3807083219068925,10071.048250198364,0.27594687653713723
2019,pixel,pixel (1 km),all,lit_only,1111,0.47692587705855427,0.4278527825422964,0.38926959991142257,9985.214920043945,0.2732415150024594
2020,pixel,pixel (1 km),all,lit_only,1156,0.48072737378838126,0.431893666423686,0.3968197567250738,10216.564926147461,0.2843089030988687
2021,pixel,pixel (1 km),all,lit_only,1086,0.47844493185710957,0.42345586018997305,0.3908101651033932,10002.248264312744,0.2670929660600098
2022,pixel,pixel (1 km),all,lit_only,1097,0.47978334928684774,0.4251239986924764,0.39360547287310665,10066.676834106445,0.26979832759468764
1992,pixel,pixel (1 km),all,zeros_included,4066,0.938329066864305,2.5889639346581554,,3114.0,0.12124938514510576
1993,pixel,pixel (1 km),all,zeros_included,4066,0.9225520856712033,2.3637218530984256,,5249.0,0.1441219872110182
1994,pixel,pixel (1 km),all,zeros_included,4066,0.9218013085173971,2.3444440544303307,,5281.0,0.15346778160354158
1995,pixel,pixel (1 km),all,zeros_included,4066,0.8894340429329566,2.031032911147405,,6162.0,0.2073290703393999
1996,pixel,pixel (1 km),all,zeros_included,4066,0.8862842622556057,2.012828026692645,,6369.0,0.2031480570585342
1997,pixel,pixel (1 km),all,zeros_included,4066,0.8912376354715654,2.0507829722746385,,6164.0,0.19847515986227252
1998,pixel,pixel (1 km),all,zeros_included,4066,0.8880471363001183,2.0145363366023292,,6399.0,0.20708312838170193
1999,pixel,pixel (1 km),all,zeros_included,4066,0.8764651095821614,1.9022040715488746,,6853.0,0.2456960157402853
2000,pixel,pixel (1 km),all,zeros_included,4066,0.8277519887418341,1.5892294058818013,,7927.0,0.33497294638465325
2001,pixel,pixel (1 km),all,zeros_included,4066,0.8156496706879379,1.5310992524216542,,8219.0,0.3465322183964584
2002,pixel,pixel (1 km),all,zeros_included,4066,0.8310488098205673,1.6221945815303278,,8187.0,0.30078701426463356
2003,pixel,pixel (1 km),all,zeros_included,4066,0.8336433892632455,1.6333049704431155,,8195.0,0.2973438268568618
2004,pixel,pixel (1 km),all,zeros_included,4066,0.8215657220598418,1.554443970072613,,8712.0,0.3327594687653714
2005,pixel,pixel (1 km),all,zeros_included,4066,0.8256860486935005,1.5779588473773698,,8669.0,0.3204623708804722
2006,pixel,pixel (1 km),all,zeros_included,4066,0.8359002675721265,1.6376145900076968,,8505.0,0.2961141170683719
2007,pixel,pixel (1 km),all,zeros_included,4066,0.8387992524480028,1.6544801325179614,,8466.0,0.29094933595671424
2008,pixel,pixel (1 km),all,zeros_included,4066,0.8445244387178279,1.6977802855755035,,8678.0,0.27717658632562714
2009,pixel,pixel (1 km),all,zeros_included,4066,0.8328958176564862,1.628122085213189,,9762.0,0.2956222331529759
2010,pixel,pixel (1 km),all,zeros_included,4066,0.8075402916310912,1.5046766234419915,,10492.0,0.32611903590752583
2011,pixel,pixel (1 km),all,zeros_included,4066,0.8286833063458381,1.6148172789016269,,10105.0,0.2879980324643384
2012,pixel,pixel (1 km),all,zeros_included,4066,0.8439414720557386,1.6957737589690391,,9772.0,0.26635514018691586
2013,pixel,pixel (1 km),all,zeros_included,4066,0.8476613747887192,1.7077301992318654,,9627.0,0.2722577471716675
2014,pixel,pixel (1 km),all,zeros_included,4066,0.8591411576715249,1.7681930661856504,,9493.00557231903,0.25676340383669455
2015,pixel,pixel (1 km),all,zeros_included,4066,0.8647666702478121,1.8047621618149021,,9295.25557231903,0.24963108706345302
2016,pixel,pixel (1 km),all,zeros_included,4066,0.8642439224501792,1.7981338487058025,,9308.588905334473,0.2545499262174127
2017,pixel,pixel (1 km),all,zeros_included,4066,0.8511361537940214,1.6888392801128167,,10142.064913749695,0.28332513526807673
2018,pixel,pixel (1 km),all,zeros_included,4066,0.8545230943065598,1.7099012348386275,,10071.048250198364,0.27594687653713723
2019,pixel,pixel (1 km),all,zeros_included,4066,0.8570744341888967,1.7252519870909577,,9985.214920043945,0.2732415150024594
2020,pixel,pixel (1 km),all,zeros_included,4066,0.852366169232506,1.6895876113796553,,10216.564926147461,0.2843089030988687
2021,pixel,pixel (1 km),all,zeros_included,4066,0.8606963098860849,1.743614353884384,,10002.248264312744,0.2670929660600098
2022,pixel,pixel (1 km),all,zeros_included,4066,0.8596464176506817,1.7352045326055379,,10066.676834106445,0.26979832759468764
