iso3,gid,name,area_km2,pixels_total,pixels_classified,pixels_unclassified,hyper_arid_share,arid_share,semi_arid_share,dry_subhumid_share,humid_share,desert_share,dryland_share,level
RUS,RUS.1_1,Adygey,8053.5148,13141,13141,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
RUS,RUS.2_1,Altay,167574.3923,320148,320148,0,0.0,0.0,0.39779649151980945,0.22319464585619941,0.37900886262368644,0.0,0.6209911373760089,adm1
RUS,RUS.3_1,Amur,364855.7726,710432,710432,0,0.0,0.0,0.0,0.0002018730728951937,0.9997981269271041,0.0,0.0002018730728951937,adm1
RUS,RUS.4_1,Arkhangel'sk,401524.0873,1240165,1239860,305,0.0,0.005536715324019761,0.020715462872972854,0.0051533057654032126,0.9685945160384049,0.005536715324019761,0.03140548396239583,adm1
RUS,RUS.5_1,Astrakhan',46391.2929,79189,79189,0,0.0,0.5927195555039221,0.4072804444959574,0.0,0.0,0.5927195555039221,0.9999999999998794,adm1
RUS,RUS.6_1,Bashkortostan,144304.7457,286693,286693,0,0.0,0.0,0.03229887355380882,0.22357631021356217,0.7441248162321814,0.0,0.255875183767371,adm1
RUS,RUS.7_1,Belgorod,28392.4453,51991,51991,0,0.0,0.0,0.0,0.1477509126101416,0.8522490873899373,0.0,0.1477509126101416,adm1
RUS,RUS.8_1,Bryansk,34282.7177,65941,65941,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
RUS,RUS.9_1,Buryat,354714.2762,693057,693057,0,0.0,0.0,0.1425023716489001,0.22064812307465984,0.6368495052763674,0.0,0.3631504947235599,adm1
RUS,RUS.10_1,Chechnya,15154.7954,24196,24196,0,0.0,0.0,0.4043024843156444,0.310784147489291,0.2849133681951147,0.0,0.7150866318049354,adm1
RUS,RUS.11_1,Chelyabinsk,88923.7305,177482,177482,0,0.0,0.0,0.35799407818179063,0.27387846007410593,0.36812746174361505,0.0,0.6318725382558965,adm1
RUS,RUS.12_1,Chukot,719676.4786,2087862,2087769,93,0.0007189895536077947,0.0,0.04736210922515299,0.15117559404490036,0.800743307175682,0.0007189895536077947,0.19925669282366115,adm1
RUS,RUS.13_1,Chuvash,18411.6805,37691,37691,0,0.0,0.0,0.0,0.0793648806967458,0.9206351193033495,0.0,0.0793648806967458,adm1
RUS,RUS.14_1,City of St. Petersburg,2052.779,4743,4741,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
RUS,RUS.15_1,Dagestan,49417.174,78614,78614,0,0.0,0.0013716464466768416,0.539508639143153,0.14805705449014345,0.3110626599200408,0.0013716464466768416,0.6889373400799732,adm1
RUS,RUS.16_1,Gorno-Altay,93053.2557,170642,170642,0,0.0,0.0045021354369863455,0.12579613509222518,0.11430520269073415,0.7553965267801547,0.0045021354369863455,0.2446034732199457,adm1
RUS,RUS.17_1,Ingush,3227.6946,5145,5145,0,0.0,0.0,0.0,0.24739115134760098,0.752608848652381,0.0,0.24739115134760098,adm1
