year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,governorate,0.5034676857378035,0.07242160204243517,0.4310460836953678,0.14384558154175356,0.8561544184582452,nan,5.551115123125783e-16,147
1993,all,lit_only,theil_l,governorate,0.4605294498452465,0.07316086880341285,0.38736858104182953,0.1588625197107316,0.8411374802892594,nan,4.163336342344337e-15,147
1994,all,lit_only,theil_l,governorate,0.48623466801637083,0.07620049946238769,0.4100341685539788,0.1567154801471748,0.8432845198528163,nan,4.3298697960381105e-15,147
1995,all,lit_only,theil_l,governorate,0.43369780494131316,0.06622473316983907,0.36747307177146893,0.15269787491500084,0.8473021250849873,nan,5.162537064506978e-15,147
1996,all,lit_only,theil_l,governorate,0.4143239509651259,0.06074927101210626,0.3535746799530141,0.14662263880858675,0.8533773611913998,nan,5.551115123125783e-15,147
1997,all,lit_only,theil_l,governorate,0.44492144775434683,0.06297502149872092,0.38194642625562125,0.14154188748727423,0.8584581125127153,nan,4.6629367034256575e-15,147
1998,all,lit_only,theil_l,governorate,0.46113896042967206,0.06590856951841241,0.39523039091125584,0.14292561499683581,0.8570743850031559,nan,3.83026943495679e-15,147
1999,all,lit_only,theil_l,governorate,0.49103729909803906,0.06819755064547085,0.42283974845256506,0.13888466471027638,0.8611153352897172,nan,3.164135620181696e-15,147
2000,all,lit_only,theil_l,governorate,0.5055591754206548,0.06789008984285305,0.4376690855777991,0.13428712828001693,0.8657128717199779,nan,2.6645352591003757e-15,147
2001,all,lit_only,theil_l,governorate,0.5145411829253694,0.06737401611112984,0.44716716681423896,0.1309399875984309,0.8690600124015678,nan,6.661338147750939e-16,147
2002,all,lit_only,theil_l,governorate,0.5191858526232802,0.07006135010160403,0.44912450252167946,0.1349446440953782,0.8650553559046281,nan,3.3306690738754696e-15,147
2003,all,lit_only,theil_l,governorate,0.5054262857822391,0.07063847652653267,0.43478780925570537,0.139760195529219,0.8602398044707789,nan,1.1102230246251565e-15,147
2004,all,lit_only,theil_l,governorate,0.5069736717093817,0.07141211085849468,0.43556156085088393,0.14085960444003306,0.8591403955599609,nan,3.1086244689504383e-15,147
2005,all,lit_only,theil_l,governorate,0.5063160510077536,0.06878981799093711,0.43752623301681587,0.13586339570712858,0.8641366042928703,nan,5.551115123125783e-16,147
2006,all,lit_only,theil_l,governorate,0.5034887540759929,0.06777010197238578,0.4357186521036104,0.13460102420114245,0.865398975798864,nan,3.219646771412954e-15,147
2007,all,lit_only,theil_l,governorate,0.4850817033212335,0.0671756113243654,0.41790609199687295,0.13848308617791752,0.8615169138220925,nan,4.829470157119431e-15,147
2008,all,lit_only,theil_l,governorate,0.41928142811876495,0.06525711251658407,0.3540243156021795,0.1556403602453373,0.8443596397546594,nan,1.3877787807814457e-15,147
2009,all,lit_only,theil_l,governorate,0.4135946763970981,0.06186173684321478,0.3517329395538831,0.1495709214202275,0.8504290785797719,nan,2.7755575615628914e-16,147
2010,all,lit_only,theil_l,governorate,0.43595182890700845,0.056813496540780814,0.3791383323662393,0.13032058308648484,0.8696794169135419,nan,1.1657341758564144e-14,147
2011,all,lit_only,theil_l,governorate,0.3955669595554978,0.051537674154490544,0.344029285401012,0.13028811661217585,0.8697118833878362,nan,4.773959005888173e-15,147
2012,all,lit_only,theil_l,governorate,0.39630538989207237,0.05283090080706765,0.3434744890850009,0.13330855989986745,0.8666914401001229,nan,3.83026943495679e-15,147
2013,all,lit_only,theil_l,governorate,0.41406888589865454,0.05302691516915417,0.3610419707294958,0.128063027614523,0.871936972385466,nan,4.551914400963142e-15,147
2014,all,lit_only,theil_l,governorate,0.4747696860469966,0.05425140613909635,0.4205182799078967,0.11426889233556942,0.8857311076644231,nan,3.552713678800501e-15,147
2015,all,lit_only,theil_l,governorate,0.5059865038229471,0.05497883580067798,0.45100766802226777,0.10865672381632528,0.891343276183672,nan,1.3322676295501878e-15,147
2016,all,lit_only,theil_l,governorate,0.5168889091738438,0.05489980392156086,0.4619891052522817,0.10621199825956522,0.8937880017404324,nan,1.2212453270876722e-15,147
2017,all,lit_only,theil_l,governorate,0.5781959188753869,0.06459365386395996,0.513602265011432,0.11171585920149191,0.8882841407985169,nan,5.10702591327572e-15,147
2018,all,lit_only,theil_l,governorate,0.5457579761976903,0.059561943089684787,0.4861960331080132,0.10913618432964436,0.8908638156703698,nan,7.66053886991358e-15,147
2019,all,lit_only,theil_l,governorate,0.5434582394048171,0.06005261629775678,0.4834056231070658,0.11050088478468009,0.8894991152153301,nan,5.551115123125783e-15,147
2020,all,lit_only,theil_l,governorate,0.5853046892934837,0.07029081546834541,0.5150138738251406,0.12009269147184325,0.8799073085281608,nan,2.3314683517128287e-15,147
2021,all,lit_only,theil_l,governorate,0.5884876330466934,0.07426180321583753,0.5142258298308556,0.12619093256280076,0.8738090674371989,nan,2.220446049250313e-16,147
2022,all,lit_only,theil_l,governorate,0.6031076502930894,0.07588899203317916,0.5272186582599108,0.12582992770245865,0.8741700722975422,nan,4.440892098500626e-16,147
1992,dark,lit_only,theil_l,governorate,0.514551479440848,0.07506856955619665,0.439482909884648,0.1458912714385197,0.8541087285614738,nan,3.3306690738754696e-15,114
1993,dark,lit_only,theil_l,governorate,0.45488561794925897,0.06825285547045565,0.3866327624787985,0.15004399518753092,0.8499560048124585,nan,4.773959005888173e-15,114
1994,dark,lit_only,theil_l,governorate,0.4762645436723878,0.07196585318936405,0.4042986904830195,0.15110478860015206,0.8488952113998389,nan,4.274358644806853e-15,114
1995,dark,lit_only,theil_l,governorate,0.42431444746157304,0.06344173923496371,0.3608727082266047,0.1495158593220165,0.8504841406779726,nan,4.6074255521944e-15,114
1996,dark,lit_only,theil_l,governorate,0.4069339327356924,0.05776902494446989,0.3491649077912177,0.14196168050205693,0.8580383194979313,nan,4.773959005888173e-15,114
1997,dark,lit_only,theil_l,governorate,0.43588462105441456,0.05941585974408404,0.3764687613103262,0.1363109797275154,0.8636890202724746,nan,4.3298697960381105e-15,114
1998,dark,lit_only,theil_l,governorate,0.45581116685982015,0.06391359902768266,0.39189756783213336,0.14021946734652643,0.8597805326534645,nan,4.107825191113079e-15,114
1999,dark,lit_only,theil_l,governorate,0.4880915878032895,0.0663986894350224,0.42169289836826274,0.13603735670564843,0.8639626432943427,nan,4.3298697960381105e-15,114
2000,dark,lit_only,theil_l,governorate,0.49780937979949785,0.06810823246650878,0.42970114733298254,0.13681588823003027,0.8631841117699566,nan,6.5503158452884236e-15,114
2001,dark,lit_only,theil_l,governorate,0.5064342519178708,0.06917577984507028,0.4372584720727951,0.1365938018273863,0.863406198172603,nan,5.440092820663267e-15,114
2002,dark,lit_only,theil_l,governorate,0.5078470402998376,0.07204274729805935,0.4358042930017715,0.14185914572924288,0.8581408542707437,nan,6.772360450213455e-15,114
2003,dark,lit_only,theil_l,governorate,0.4957913831597421,0.07242638552796474,0.4233649976317701,0.14608238058996123,0.8539176194100242,nan,7.271960811294775e-15,114
2004,dark,lit_only,theil_l,governorate,0.4937582587994032,0.073320607589489,0.4204376512099077,0.14849494926479115,0.8515050507351957,nan,6.494804694057166e-15,114
2005,dark,lit_only,theil_l,governorate,0.49480822132574936,0.07157536135795205,0.4232328599677918,0.14465273266110815,0.8553472673388808,nan,5.495603971894525e-15,114
2006,dark,lit_only,theil_l,governorate,0.4900429554378109,0.07232789634234436,0.41771505909546086,0.1475950129264192,0.8524049870735693,nan,5.662137425588298e-15,114
2007,dark,lit_only,theil_l,governorate,0.47572326430382594,0.07269491340339736,0.40302835090042255,0.15280924616915506,0.8471907538308322,nan,6.050715484207103e-15,114
2008,dark,lit_only,theil_l,governorate,0.4163411614970985,0.06862544060078515,0.34771572089630864,0.16482982454585723,0.8351701754541315,nan,4.718447854656915e-15,114
2009,dark,lit_only,theil_l,governorate,0.4107102496899182,0.06512274638374763,0.34558750330616694,0.15856128848236584,0.8414387115176253,nan,3.6637359812630166e-15,114
2010,dark,lit_only,theil_l,governorate,0.4269776776462554,0.06188787079789618,0.365089806848356,0.1449440428339426,0.8550559571660499,nan,3.219646771412954e-15,114
2011,dark,lit_only,theil_l,governorate,0.38852688916956496,0.05624208643932319,0.3322848027302377,0.14475725620827606,0.8552427437917135,nan,4.052314039881821e-15,114
2012,dark,lit_only,theil_l,governorate,0.3923414585291196,0.05738999418389387,0.33495146434521955,0.1462756304139966,0.8537243695859876,nan,6.217248937900877e-15,114
2013,dark,lit_only,theil_l,governorate,0.40849571010480257,0.057304355168536325,0.35119135493625897,0.14028141238945807,0.8597185876105241,nan,7.271960811294775e-15,114
2014,dark,lit_only,theil_l,governorate,0.4719963176939389,0.06001099538209005,0.41198532231184193,0.1271429312738909,0.8728570687260945,nan,6.938893903907228e-15,114
2015,dark,lit_only,theil_l,governorate,0.5047729972063957,0.06144492422293167,0.443328072983458,0.1217278352110574,0.8782721647889307,nan,5.995204332975845e-15,114
2016,dark,lit_only,theil_l,governorate,0.5126610718658123,0.06099992490887226,0.4516611469569343,0.118986847756677,0.8810131522433118,nan,5.773159728050814e-15,114
2017,dark,lit_only,theil_l,governorate,0.5787544349932758,0.0721766973967916,0.5065777375964831,0.12471040053046016,0.8752895994695378,nan,1.2212453270876722e-15,114
2018,dark,lit_only,theil_l,governorate,0.5477328610023041,0.06643422202075368,0.4812986389815491,0.1212894583304437,0.8787105416695539,nan,1.3322676295501878e-15,114
2019,dark,lit_only,theil_l,governorate,0.5488411633670263,0.06639186813529177,0.4824492952317321,0.12096736281220505,0.8790326371877906,nan,2.4424906541753444e-15,114
2020,dark,lit_only,theil_l,governorate,0.5963016624788999,0.0776064160401379,0.5186952464387572,0.13014623457113705,0.8698537654288548,nan,4.884981308350689e-15,114
2021,dark,lit_only,theil_l,governorate,0.598421576753916,0.08217596863682657,0.5162456081170814,0.13732119935010148,0.862678800649885,nan,8.104628079763643e-15,114
2022,dark,lit_only,theil_l,governorate,0.6085151731343651,0.08388151189172668,0.5246336612426301,0.13784621254333942,0.862153787456647,nan,8.326672684688674e-15,114
1992,all,zeros_included,theil_l,governorate,nan,nan,nan,nan,nan,nan,nan,0
1993,all,zeros_included,theil_l,governorate,nan,nan,nan,nan,nan,nan,nan,0
1994,all,zeros_included,theil_l,governorate,nan,nan,nan,nan,nan,nan,nan,0
1995,all,zeros_included,theil_l,governorate,nan,nan,nan,nan,nan,nan,nan,0
