iso3,gid,name,area_km2,pixels_total,pixels_classified,pixels_unclassified,hyper_arid_share,arid_share,semi_arid_share,dry_subhumid_share,humid_share,desert_share,dryland_share,level
SDN,SDN.1_1,Al Jazirah,24237.9876,29275,29275,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adm1
SDN,SDN.2_1,Al Qadarif,64052.4779,77229,77229,0,0.0,0.4381728582323075,0.5618271417678848,0.0,0.0,0.4381728582323075,1.0000000000001923,adm1
SDN,SDN.3_1,Blue Nile,37023.5604,44144,44144,0,0.0,0.0,0.96464683433607,0.034307187993925736,0.001045977670006358,0.0,0.9989540223299957,adm1
SDN,SDN.4_1,Central Darfur,37093.034,44397,44397,0,0.0,0.01713863885682247,0.9828613611431601,0.0,0.0,0.01713863885682247,0.9999999999999826,adm1
SDN,SDN.5_1,East Darfur,55146.8069,65699,65699,0,0.0,0.3577029839737158,0.6422970160263642,0.0,0.0,0.3577029839737158,1.00000000000008,adm1
SDN,SDN.6_1,Kassala,45618.3878,55461,55461,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adm1
SDN,SDN.7_1,Khartoum,21142.9785,25686,25686,0,0.10698446200696489,0.8930155379929045,0.0,0.0,0.0,0.9999999999998693,0.9999999999998693,adm1
SDN,SDN.8_1,North Darfur,317150.1015,386249,386249,0,0.43694193370916945,0.5575799611646759,0.0054781051264572046,0.0,0.0,0.9945218948738453,1.0000000000003026,adm1
SDN,SDN.9_1,North Kurdufan,188212.9799,227635,227635,0,0.04838622650379808,0.9494119497952109,0.0022018237012298,0.0,0.0,0.997798176299009,1.000000000000239,adm1
SDN,SDN.10_1,Northern,366460.4702,454470,454470,0,0.9992927716457883,0.000707228354212209,0.0,0.0,0.0,1.0000000000000004,1.0000000000000004,adm1
SDN,SDN.11_1,Red Sea,216548.443,268984,268984,0,0.7507595071142773,0.24910106743051783,0.0001394254553550997,0.0,0.0,0.9998605745447952,1.0000000000001503,adm1
SDN,SDN.12_1,River Nile,126149.6452,155345,155345,0,0.8187652339492177,0.18123476605091426,0.0,0.0,0.0,1.000000000000132,1.000000000000132,adm1
SDN,SDN.13_1,Sennar,40334.5628,48377,48377,0,0.0,0.37545766270497843,0.6245423372950728,0.0,0.0,0.37545766270497843,1.0000000000000513,adm1
SDN,SDN.14_1,South Darfur,78156.2402,93076,93076,0,0.0,0.11534119008565334,0.8271275351768737,0.05752046271712611,1.0812020499472402e-05,0.11534119008565334,0.9999891879796531,adm1
SDN,SDN.15_1,South Kurdufan,79381.311,94657,94657,0,0.0,0.05882982487539873,0.9411701751244727,0.0,0.0,0.05882982487539873,0.9999999999998714,adm1
SDN,SDN.16_1,West Darfur,22655.4764,27240,27240,0,0.0,0.6254066650073645,0.37459333499264164,0.0,0.0,0.6254066650073645,1.0000000000000062,adm1
SDN,SDN.17_1,West Kurdufan,112999.3818,134985,134985,0,0.0,0.5194756805316626,0.48052431946813523,0.0,0.0,0.5194756805316626,0.9999999999997978,adm1
SDN,SDN.18_1,White Nile,39978.5953,48051,48051,0,0.0,0.9477916977976395,0.052208302202351016,0.0,0.0,0.9477916977976395,0.9999999999999906,adm1
