year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,department,0.5841230233656745,0.2516830848563371,0.33243993850933773,0.43087342013358326,0.5691265798664175,nan,4.440892098500626e-16,30
1993,all,lit_only,theil_l,department,0.4208272447701523,0.18441605505877848,0.23641118971137376,0.43822270860695567,0.5617772913930441,nan,1.1102230246251565e-16,37
1994,all,lit_only,theil_l,department,0.4637514629396663,0.19309875780563934,0.2706527051340271,0.41638414805553153,0.5836158519444689,nan,1.6653345369377348e-16,35
1995,all,lit_only,theil_l,department,0.4304593309749753,0.17573547932466368,0.2547238516503119,0.40825106271161316,0.5917489372883875,nan,2.7755575615628914e-16,35
1996,all,lit_only,theil_l,department,0.40044147189871376,0.1660614937534284,0.23437997814528563,0.4146960427601051,0.5853039572398956,nan,2.7755575615628914e-16,38
1997,all,lit_only,theil_l,department,0.44072887935548066,0.16840722733420832,0.2723216520212726,0.3821107152780323,0.6178892847219684,nan,2.7755575615628914e-16,38
1998,all,lit_only,theil_l,department,0.4623766880935646,0.17741983392765015,0.28495685416591476,0.3837127573606138,0.616287242639387,nan,3.3306690738754696e-16,37
1999,all,lit_only,theil_l,department,0.4656192152853297,0.17614084668863209,0.2894783685966981,0.3782937664647144,0.6217062335352868,nan,5.551115123125783e-16,37
2000,all,lit_only,theil_l,department,0.4823472020291885,0.18593886142155708,0.296408340607632,0.3854875920070233,0.6145124079929778,nan,5.551115123125783e-16,39
2001,all,lit_only,theil_l,department,0.5130477555301063,0.1836403850218704,0.3294073705082362,0.357940139182802,0.6420598608171987,nan,3.3306690738754696e-16,39
2002,all,lit_only,theil_l,department,0.47372645727120244,0.17999113834674785,0.29373531892445465,0.37994740547856964,0.6200525945214305,nan,5.551115123125783e-17,38
2003,all,lit_only,theil_l,department,0.46051058757954166,0.17823686893767887,0.28227371864186285,0.3870418482113463,0.6129581517886538,nan,5.551115123125783e-17,39
