year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,SLE.1.1_1,Kailahun,4144,4150.8977,0.0,0.0,0.0
1992,SLE.1.2_1,Kenema,6219,6216.9137,166.0,0.02669239427560701,0.026701351759483016
1992,SLE.1.3_1,Kono,5372,5376.5929,0.0,0.0,0.0
1992,SLE.2.1_1,Bombali,8209,8215.5095,0.0,0.0,0.0
1992,SLE.2.2_1,Kambia,3098,3081.7107,0.0,0.0,0.0
1992,SLE.2.3_1,Koinadugu,12407,12398.1719,0.0,0.0,0.0
1992,SLE.2.4_1,Port Loko,5958,5949.415,87.0,0.01460221550855992,0.014623286538414517
1992,SLE.2.5_1,Tonkolili,6371,6362.9297,41.0,0.0064354104536179565,0.006443572671376134
1992,SLE.3.1_1,Bo,5573,5582.3698,195.0,0.034990130988695495,0.0349314010865337
1992,SLE.3.2_1,Bonthe,3695,3695.0671,271.0,0.07334235453315291,0.07334102183335559
1992,SLE.3.3_1,Moyamba,6966,6959.0097,100.0,0.01435544071202986,0.014369860598848884
1992,SLE.3.4_1,Pujehun,3901,3895.1144,0.0,0.0,0.0
1992,SLE.4.1_1,Western Rural,631,634.7387,105.0,0.1664025356576862,0.16542239426854552
1992,SLE.4.2_1,Western Urban,83,82.6973,949.0,11.433734939759036,11.475589485169257
1993,SLE.1.1_1,Kailahun,4144,4150.8977,0.0,0.0,0.0
1993,SLE.1.2_1,Kenema,6219,6216.9137,354.0,0.056922334780511334,0.056941436884680646
1993,SLE.1.3_1,Kono,5372,5376.5929,0.0,0.0,0.0
1993,SLE.2.1_1,Bombali,8209,8215.5095,0.0,0.0,0.0
1993,SLE.2.2_1,Kambia,3098,3081.7107,0.0,0.0,0.0
1993,SLE.2.3_1,Koinadugu,12407,12398.1719,0.0,0.0,0.0
1993,SLE.2.4_1,Port Loko,5958,5949.415,172.0,0.028868747901980532,0.028910405570198815
1993,SLE.2.5_1,Tonkolili,6371,6362.9297,189.0,0.02966567257887302,0.029703298411953398
1993,SLE.3.1_1,Bo,5573,5582.3698,350.0,0.0628027992104791,0.0626973865655733
1993,SLE.3.2_1,Bonthe,3695,3695.0671,541.0,0.14641407307171853,0.14641141258983534
1993,SLE.3.3_1,Moyamba,6966,6959.0097,249.0,0.03574504737295435,0.03578095289113372
1993,SLE.3.4_1,Pujehun,3901,3895.1144,0.0,0.0,0.0
1993,SLE.4.1_1,Western Rural,631,634.7387,326.0,0.5166402535657686,0.5135971479194842
1993,SLE.4.2_1,Western Urban,83,82.6973,1584.0,19.08433734939759,19.154197834044368
1994,SLE.1.1_1,Kailahun,4144,4150.8977,0.0,0.0,0.0
1994,SLE.1.2_1,Kenema,6219,6216.9137,345.0,0.05547515677761698,0.05549377323507012
1994,SLE.1.3_1,Kono,5372,5376.5929,0.0,0.0,0.0
1994,SLE.2.1_1,Bombali,8209,8215.5095,0.0,0.0,0.0
1994,SLE.2.2_1,Kambia,3098,3081.7107,0.0,0.0,0.0
1994,SLE.2.3_1,Koinadugu,12407,12398.1719,0.0,0.0,0.0
1994,SLE.2.4_1,Port Loko,5958,5949.415,139.0,0.02332997650218194,0.023363641710800204
1994,SLE.2.5_1,Tonkolili,6371,6362.9297,77.0,0.012086014754355674,0.012101343797462496
1994,SLE.3.1_1,Bo,5573,5582.3698,352.0,0.0631616723488247,0.06305565734594801
1994,SLE.3.2_1,Bonthe,3695,3695.0671,22.0,0.005953991880920162,0.0059538836912687194
1994,SLE.3.3_1,Moyamba,6966,6959.0097,7.0,0.0010048808498420902,0.001005890241919422
1994,SLE.3.4_1,Pujehun,3901,3895.1144,0.0,0.0,0.0
1994,SLE.4.1_1,Western Rural,631,634.7387,315.0,0.49920760697305866,0.4962671828056366
1994,SLE.4.2_1,Western Urban,83,82.6973,1578.0,19.012048192771083,19.081644054369956
1995,SLE.1.1_1,Kailahun,4144,4150.8977,0.0,0.0,0.0
1995,SLE.1.2_1,Kenema,6219,6216.9137,328.0,0.05274159832770542,0.052759297452472466
1995,SLE.1.3_1,Kono,5372,5376.5929,36.0,0.006701414743112435,0.006695690124544776
1995,SLE.2.1_1,Bombali,8209,8215.5095,35.0,0.004263613107564868,0.004260234883461124
1995,SLE.2.2_1,Kambia,3098,3081.7107,0.0,0.0,0.0
1995,SLE.2.3_1,Koinadugu,12407,12398.1719,0.0,0.0,0.0
1995,SLE.2.4_1,Port Loko,5958,5949.415,158.0,0.026518966096005372,0.026557233023787284
1995,SLE.2.5_1,Tonkolili,6371,6362.9297,0.0,0.0,0.0
1995,SLE.3.1_1,Bo,5573,5582.3698,392.0,0.07033913511573658,0.07022107295344211
1995,SLE.3.2_1,Bonthe,3695,3695.0671,0.0,0.0,0.0
1995,SLE.3.3_1,Moyamba,6966,6959.0097,0.0,0.0,0.0
1995,SLE.3.4_1,Pujehun,3901,3895.1144,0.0,0.0,0.0
1995,SLE.4.1_1,Western Rural,631,634.7387,301.0,0.47702060221870046,0.4742108635698305
1995,SLE.4.2_1,Western Urban,83,82.6973,1589.0,19.14457831325301,19.214659317106374
1996,SLE.1.1_1,Kailahun,4144,4150.8977,0.0,0.0,0.0
1996,SLE.1.2_1,Kenema,6219,6216.9137,307.0,0.04936484965428525,0.04938141560338124
1996,SLE.1.3_1,Kono,5372,5376.5929,47.0,0.008749069247952346,0.008741595440377902
1996,SLE.2.1_1,Bombali,8209,8215.5095,18.0,0.0021927153124619322,0.0021909779400657208
1996,SLE.2.2_1,Kambia,3098,3081.7107,0.0,0.0,0.0
1996,SLE.2.3_1,Koinadugu,12407,12398.1719,0.0,0.0,0.0
1996,SLE.2.4_1,Port Loko,5958,5949.415,87.0,0.01460221550855992,0.014623286538414517
1996,SLE.2.5_1,Tonkolili,6371,6362.9297,0.0,0.0,0.0
1996,SLE.3.1_1,Bo,5573,5582.3698,374.0,0.06710927687062623,0.06699663593006977
1996,SLE.3.2_1,Bonthe,3695,3695.0671,0.0,0.0,0.0
