iso3,gid,name,area_km2,pixels_total,pixels_classified,pixels_unclassified,hyper_arid_share,arid_share,semi_arid_share,dry_subhumid_share,humid_share,desert_share,dryland_share,level
SOM,SOM.1_1,Awdal,16280.407,19366,19366,0,0.0,0.8794447844932795,0.12055521550672221,0.0,0.0,0.8794447844932795,1.0000000000000018,adm1
SOM,SOM.2_1,Bakool,25713.4177,30161,30161,0,0.0,0.9588485590491396,0.04115144095084848,0.0,0.0,0.9588485590491396,0.999999999999988,adm1
SOM,SOM.3_1,Banaadir,212.7039,249,249,0,0.0,0.01204785899868545,0.9879521410013146,0.0,0.0,0.01204785899868545,1.0,adm1
SOM,SOM.4_1,Bari,68217.2431,81067,81067,0,0.48703470718220404,0.5129652928179675,0.0,0.0,0.0,1.0000000000001716,1.0000000000001716,adm1
SOM,SOM.5_1,Bay,43919.4722,51436,51436,0,0.0,0.13172086244816625,0.8682791375519182,0.0,0.0,0.13172086244816625,1.0000000000000844,adm1
SOM,SOM.6_1,Galguduud,49038.0763,57595,57595,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adm1
SOM,SOM.7_1,Gedo,45057.7243,52781,52781,0,0.0,0.8182842441496438,0.18171575585041447,0.0,0.0,0.8182842441496438,1.0000000000000584,adm1
SOM,SOM.8_1,Hiiraan,34122.7538,40026,40026,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adm1
SOM,SOM.9_1,Jubbada Dhexe,18805.0674,22005,22005,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,adm1
SOM,SOM.10_1,Jubbada Hoose,47719.0153,55829,55829,0,0.0,0.163966898165312,0.8360331018346029,0.0,0.0,0.163966898165312,0.9999999999999148,adm1
SOM,SOM.11_1,Mudug,58676.726,69067,69067,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adm1
SOM,SOM.12_1,Nugaal,27701.4527,32726,32726,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adm1
SOM,SOM.13_1,Sanaag,53858.6291,64015,64015,0,0.17592157114294774,0.821457345609336,0.0026210832478661544,0.0,0.0,0.9973789167522837,1.0000000000001499,adm1
SOM,SOM.14_1,Shabeellaha Dhexe,18486.0176,21656,21656,0,0.0,0.7468495736157453,0.2531504263842467,0.0,0.0,0.7468495736157453,0.999999999999992,adm1
SOM,SOM.15_1,Shabeellaha Hoose,25683.3703,30064,30064,0,0.0,0.028381003322103485,0.971618996677928,0.0,0.0,0.028381003322103485,1.0000000000000315,adm1
SOM,SOM.16_1,Sool,38067.8443,45072,45072,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adm1
SOM,SOM.17_1,Togdheer,33979.6902,40246,40246,0,0.0,0.9565572830734904,0.04344271692653912,0.0,0.0,0.9565572830734904,1.0000000000000295,adm1
SOM,SOM.18_1,Woqooyi Galbeed,28013.6916,33253,33253,0,0.11620277329570154,0.727399803956363,0.15639742274794388,0.0,0.0,0.8436025772520644,1.0000000000000084,adm1
