year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,SRB.1.1_1,Bor,859,860.0081,2770.0,3.2246798603026776,3.2208999190958703
1992,SRB.1.2_1,Kladovo,674,674.1103,666.0,0.9881305637982196,0.9879688932252272
1992,SRB.1.3_1,Majdanpek,987,986.7122,410.0,0.4154002026342452,0.4155213715666941
1992,SRB.1.4_1,Negotin,1153,1149.449,1193.0,1.0346921075455333,1.0378885940638771
1992,SRB.2.1_1,Golubac,461,465.0101,51.0,0.11062906724511931,0.10967503643009077
1992,SRB.2.2_1,Kučevo,712,716.6075,188.0,0.2640449438202247,0.26234723310314395
1992,SRB.2.3_1,Malo Crniće,271,269.5377,59.0,0.2177121771217712,0.21889333133938663
1992,SRB.2.4_1,Petrovac,654,656.1121,485.0,0.7415902140672783,0.7392029972846723
1992,SRB.2.5_1,Požarevac,497,494.4191,3559.0,7.160965794768612,7.198345881999968
1992,SRB.2.6_1,Veliko Gradište,410,408.951,605.0,1.475609756097561,1.4793947568741106
1992,SRB.2.7_1,Žabari,268,264.5018,486.0,1.8134328358208955,1.8374166397556413
1992,SRB.2.8_1,Žagubica,762,759.9844,184.0,0.24146981627296588,0.2421102205122337
1992,SRB.3.1_1,Barajevo,225,223.0131,1593.0,7.08,7.143079048679834
1992,SRB.3.2_1,Čukarica,171,170.9316,4043.0,23.64327485380117,23.65273010696927
1992,SRB.3.3_1,Grocka,274,271.5204,2746.0,10.021897810218977,10.113421627143653
1992,SRB.3.4_1,Lazarevac,384,385.1261,3404.0,8.864583333333334,8.838663454639816
1992,SRB.3.5_1,Mladenovac,350,350.1419,1553.0,4.437142857142857,4.43534493132643
1992,SRB.3.6_1,Novi Beograd,36,36.2352,1512.0,42.0,41.72737580157654
1992,SRB.3.7_1,Obrenovac,428,424.144,4374.0,10.219626168224298,10.312536417153972
1992,SRB.3.8_1,Palilula,463,463.312,10464.0,22.600431965442766,22.585210138781147
1992,SRB.3.9_1,Rakovica,31,30.3224,970.0,31.29032258064516,31.98954257029451
1992,SRB.3.10_1,Savski Venac,11,11.5001,622.0,56.54545454545455,54.08634771287075
1992,SRB.3.11_1,Sopot,269,273.4383,915.0,3.4014869888475836,3.3462757089407074
1992,SRB.3.12_1,Stari Grad,8,8.0929,478.0,59.75,59.064082636735556
1992,SRB.3.13_1,Surčin,273,275.411,3627.0,13.285714285714286,13.169407238689372
1992,SRB.3.14_1,Voždovac,149,151.5574,2410.0,16.174496644295303,15.901568421658167
1992,SRB.3.15_1,Vračar,5,4.6267,293.0,58.6,63.328562621977575
1992,SRB.3.16_1,Zemun,157,156.7373,3768.0,24.0,24.040222490826643
1992,SRB.3.17_1,Zvezdara,31,30.4392,1385.0,44.67741935483871,45.50052338016933
1992,SRB.4.1_1,Bojnik,261,260.7593,111.0,0.42528735632183906,0.42567995275495957
1992,SRB.4.2_1,Crna Trava,324,323.1946,0.0,0.0,0.0
1992,SRB.4.3_1,Lebane,317,322.0012,442.0,1.3943217665615142,1.3726658357495047
1992,SRB.4.4_1,Leskovac,1030,1028.3911,3767.0,3.6572815533980583,3.6630033055207933
1992,SRB.4.5_1,Medveđa,554,553.0322,79.0,0.14259927797833935,0.14284882360823692
1992,SRB.4.6_1,Vlasotince,313,311.2935,812.0,2.594249201277955,2.608470933346657
1992,SRB.5.1_1,Bač,367,365.6995,779.0,2.122615803814714,2.130164318867026
1992,SRB.5.2_1,Bačka Palanka,591,590.7484,1868.0,3.1607445008460235,3.1620906767254113
1992,SRB.5.3_1,Bački Petrovac,156,163.4527,583.0,3.7371794871794872,3.566781141651095
1992,SRB.5.4_1,Bečej,505,502.8547,1635.0,3.237623762376238,3.251436109258042
1992,SRB.5.5_1,Beočin,178,177.3007,568.0,3.191011235955056,3.203596750450383
1992,SRB.5.6_1,Novi Sad,733,728.0429,11591.0,15.813096862210095,15.920764276293687
1992,SRB.5.7_1,Srbobran,299,301.2848,1308.0,4.374581939799331,4.341407015729752
1992,SRB.5.8_1,Sremski Karlovci,54,55.2804,492.0,9.11111111111111,8.900076039226233
1992,SRB.5.9_1,Temerin,176,175.1785,1249.0,7.096590909090909,7.12987182657001
1992,SRB.5.10_1,Titel,255,254.3427,1050.0,4.117647058823529,4.128288559491754
1992,SRB.5.11_1,Vrbas,388,388.2829,1984.0,5.11340206185567,5.109676551438607
1992,SRB.5.12_1,Žabalj,397,401.9847,1478.0,3.722921914357683,3.676757228718683
1992,SRB.6.1_1,Alibunar,627,623.1069,989.0,1.5773524720893142,1.5872075166176352
1992,SRB.6.2_1,Bela Crkva,389,389.7459,356.0,0.9151670951156813,0.9134156603367526
1992,SRB.6.3_1,Kovačica,420,422.4295,1455.0,3.4642857142857144,3.4443615499316804
1992,SRB.6.4_1,Kovin,735,735.8698,3651.0,4.96734693877551,4.961475462508078
1992,SRB.6.5_1,Opovo,213,210.5453,869.0,4.07981220657277,4.12737839601607
1992,SRB.6.6_1,Pančevo,797,798.6422,8861.0,11.117942283563362,11.095080783125198
1992,SRB.6.7_1,Plandište,441,441.4564,452.0,1.0249433106575965,1.0238835851867656
1992,SRB.6.8_1,Vršac,847,848.7603,1601.0,1.8902007083825265,1.8862803875153429
1992,SRB.7.1_1,Lajkovac,189,190.8379,822.0,4.349206349206349,4.307320196558519
1992,SRB.7.2_1,Ljig,285,287.7307,303.0,1.063157894736842,1.0530681416149312
1992,SRB.7.3_1,Mionica,331,330.7769,250.0,0.7552870090634441,0.75579639770106
1992,SRB.7.4_1,Osečina,316,319.903,100.0,0.31645569620253167,0.31259477845734107
1992,SRB.7.5_1,Ub,470,466.5089,979.0,2.0829787234042554,2.0985664053530644
1992,SRB.7.6_1,Valjevo,923,926.4131,2409.0,2.609967497291441,2.60035188780351
1992,SRB.8.1_1,Bogatić,355,352.4625,1622.0,4.569014084507042,4.601908216712383
1992,SRB.8.2_1,Koceljeva,260,256.8886,253.0,0.9730769230769231,0.9848626404114794
1992,SRB.8.3_1,Krupanj,338,335.4517,81.0,0.23964497041420119,0.2414654648700249
1992,SRB.8.4_1,Ljubovija,275,279.2659,67.0,0.24363636363636362,0.2399147116940762
1992,SRB.8.5_1,Loznica,610,607.587,2680.0,4.39344262295082,4.410891099996436
1992,SRB.8.6_1,Mali Zvornik,145,143.7728,186.0,1.282758620689655,1.2937080971018087
1992,SRB.8.7_1,Šabac,776,778.0087,3434.0,4.425257731958763,4.413832338485976
1992,SRB.8.8_1,Vladimirci,345,340.3197,473.0,1.3710144927536232,1.3898695535860845
1992,SRB.9.1_1,Čačak,630,632.2737,4521.0,7.1761904761904765,7.150384554866817
1992,SRB.9.2_1,Gornji Milanovac,835,833.0857,1596.0,1.9113772455089821,1.915769325978158
1992,SRB.9.3_1,Ivanjica,1082,1081.943,744.0,0.6876155268022182,0.6876517797518681
1992,SRB.9.4_1,Lučani,509,505.4185,728.0,1.4302554027504912,1.4403903751179628
