year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,district,all,,4,0.3211205527591636,0.20939627196707955,0.2873884360851247,14282.0,nan
1993,adm1,district,all,,4,0.2953442632583241,0.17819912820495987,0.2363330883477998,21680.0,nan
1994,adm1,district,all,,4,0.2971414554004872,0.17980598145260224,0.23763390842759186,22585.0,nan
1995,adm1,district,all,,4,0.2925263708712815,0.17138934902759584,0.2192404993161859,25210.0,nan
1996,adm1,district,all,,4,0.3012074014423829,0.17858600208351083,0.23113327234066938,26118.0,nan
1997,adm1,district,all,,4,0.29992699579496396,0.17725779287600002,0.22834444753926575,26379.0,nan
1998,adm1,district,all,,4,0.29516804361125315,0.1684907734082415,0.2096620713583054,27961.0,nan
1999,adm1,district,all,,4,0.2874649629746908,0.16296210305783956,0.19629283147148152,30726.0,nan
2000,adm1,district,all,,4,0.28008339254916415,0.15331319004752061,0.17948403571822968,31967.0,nan
2001,adm1,district,all,,4,0.27596455181793367,0.15062399412256428,0.17639432699680424,31829.0,nan
2002,adm1,district,all,,4,0.27213756558107116,0.14412583596777268,0.16727468695558,32454.0,nan
2003,adm1,district,all,,4,0.28822981624542177,0.1561156793568509,0.1811108159368952,33706.0,nan
2004,adm1,district,all,,4,0.2790462161905396,0.14708140681712462,0.16742798322917846,35047.0,nan
2005,adm1,district,all,,4,0.2839024670170889,0.15208501137330166,0.17342486593545187,35893.0,nan
2006,adm1,district,all,,4,0.2835304890364665,0.15099611599794294,0.17289951332829276,36322.0,nan
2007,adm1,district,all,,4,0.28296978384452154,0.15422275670791005,0.18207816906980945,33663.0,nan
2008,adm1,district,all,,4,0.29093387443718766,0.16333899130113327,0.19260487965638556,33437.0,nan
2009,adm1,district,all,,4,0.2863031675996246,0.15826311475938443,0.18204640381951906,38401.0,nan
2010,adm1,district,all,,4,0.2628260683783068,0.13347560611592374,0.1485945883522179,40480.0,nan
2011,adm1,district,all,,4,0.2737306234565229,0.1425896443778103,0.16339433646601725,41277.0,nan
2012,adm1,district,all,,4,0.27141834598403336,0.14142821891960244,0.1646722881867041,40968.0,nan
2013,adm1,district,all,,4,0.2697228567869152,0.13970625318384938,0.16346743873504896,40531.0,nan
2014,adm1,district,all,,4,0.2663224294932658,0.13528181188012967,0.15632337293032,41011.10534822941,nan
2015,adm1,district,all,,4,0.2799837004996699,0.15021256587734327,0.17980678019383223,40657.249596238136,nan
2016,adm1,district,all,,4,0.2717300402492224,0.1421962996784237,0.17292746925581337,41934.90650546551,nan
2017,adm1,district,all,,4,0.25401865389845035,0.1190206975349987,0.1358081089115329,50959.085421323776,nan
2018,adm1,district,all,,4,0.25381435002483,0.11878131171957572,0.13625026666665,51192.19654262066,nan
2019,adm1,district,all,,4,0.2493753094511708,0.11478995143665041,0.1312254970938049,51937.896548748016,nan
2020,adm1,district,all,,4,0.2404031459869289,0.1072840415457307,0.12254596953217406,57714.820051550865,nan
2021,adm1,district,all,,4,0.23490816560676175,0.10397571887459287,0.11984708695535153,60038.593400120735,nan
2022,adm1,district,all,,4,0.2344447692425473,0.10231344174152249,0.11741398542189564,63809.649795889854,nan
1992,adm2,constituency,all,,55,0.8373600546136872,1.5384452488312792,nan,14282.0,nan
1993,adm2,constituency,all,,55,0.8290716059653722,1.5095531710663932,nan,21680.0,nan
1994,adm2,constituency,all,,55,0.8244938749495232,1.4851673490430093,nan,22585.0,nan
1995,adm2,constituency,all,,55,0.8028615783373412,1.3800509016226976,nan,25210.0,nan
1996,adm2,constituency,all,,55,0.8002883516514341,1.367279515074528,nan,26118.0,nan
1997,adm2,constituency,all,,55,0.7987230498606301,1.3576511530285618,nan,26379.0,nan
1998,adm2,constituency,all,,55,0.7861571425159053,1.298536971976079,nan,27961.0,nan
1999,adm2,constituency,all,,55,0.7711144770686122,1.2315624666903362,nan,30726.0,nan
2000,adm2,constituency,all,,55,0.7612744540910823,1.1927516164185794,nan,31967.0,nan
2001,adm2,constituency,all,,55,0.7618110644005489,1.195110382668694,nan,31829.0,nan
2002,adm2,constituency,all,,55,0.7587929771122348,1.18353960017206,nan,32454.0,nan
2003,adm2,constituency,all,,55,0.7588092865352556,1.1727738650542177,nan,33706.0,nan
2004,adm2,constituency,all,,55,0.7530698762876806,1.151789614986843,nan,35047.0,nan
2005,adm2,constituency,all,,55,0.7510641038987731,1.1380425073571605,nan,35893.0,nan
2006,adm2,constituency,all,,55,0.7508457047698633,1.1369977491176861,nan,36322.0,nan
2007,adm2,constituency,all,,55,0.7720820624976306,1.2184548294887305,nan,33663.0,nan
2008,adm2,constituency,all,,55,0.7746760572718956,1.228662169209691,nan,33437.0,nan
2009,adm2,constituency,all,,55,0.7490749922215552,1.1223528566921854,nan,38401.0,nan
2010,adm2,constituency,all,,55,0.72847829307748,1.0527670754068532,nan,40480.0,nan
2011,adm2,constituency,all,,55,0.7294803497861497,1.0596736424639133,nan,41277.0,nan
2012,adm2,constituency,all,,55,0.7324958036243234,1.0741612788578416,nan,40968.0,nan
2013,adm2,constituency,all,,55,0.7349327059643218,1.0817856657231946,nan,40531.0,nan
2014,adm2,constituency,all,,55,0.7330460793356564,1.0740993468322666,nan,41011.10534822941,nan
2015,adm2,constituency,all,,55,0.7374469278842315,1.087594626883509,nan,40657.249596238136,nan
2016,adm2,constituency,all,,55,0.7335613545436841,1.0721625002815143,nan,41934.90650546551,nan
2017,adm2,constituency,all,,55,0.6901527146361328,0.9251239785343965,nan,50959.085421323776,nan
2018,adm2,constituency,all,,55,0.6888668502213668,0.9217244562072038,nan,51192.19654262066,nan
2019,adm2,constituency,all,,55,0.6848716945900102,0.909944817267302,nan,51937.896548748016,nan
2020,adm2,constituency,all,,55,0.6619436724336718,0.8423437214258691,nan,57714.820051550865,nan
2021,adm2,constituency,all,,55,0.6551449778570198,0.821219366777149,nan,60038.593400120735,nan
2022,adm2,constituency,all,,55,0.6400536728557871,0.779160772105512,0.9584720644334653,63809.649795889854,nan
1992,pixel,pixel (1 km),all,lit_only,1772,0.4690856981731728,0.3933341377076671,0.38277950551198947,14282.0,0.10202084172951811
1993,pixel,pixel (1 km),all,lit_only,2116,0.4433466419966656,0.3497746900099915,0.33058454835355233,21680.0,0.12182624215556451
1994,pixel,pixel (1 km),all,lit_only,2378,0.4726301889525655,0.3962199131254956,0.3989169005516712,22585.0,0.13691058782889054
1995,pixel,pixel (1 km),all,lit_only,2801,0.4515642611347084,0.37570191310360435,0.34988094788151136,25210.0,0.1612643214923139
1996,pixel,pixel (1 km),all,lit_only,2724,0.42370931137223256,0.33535208873443767,0.3004125331166784,26118.0,0.15683113593183257
1997,pixel,pixel (1 km),all,lit_only,2930,0.4513135060506166,0.3757487817723655,0.36134233174300834,26379.0,0.1686913466520813
1998,pixel,pixel (1 km),all,lit_only,3370,0.4644700752648585,0.39937806693606404,0.3820551424210553,27961.0,0.1940238355691174
1999,pixel,pixel (1 km),all,lit_only,3939,0.47133182517476646,0.41269684723000644,0.39216265692227537,30726.0,0.2267833496459209
2000,pixel,pixel (1 km),all,lit_only,3982,0.44306875386638755,0.37472173532829645,0.33644592527933737,31967.0,0.2292590246991767
2001,pixel,pixel (1 km),all,lit_only,3840,0.4349415774529517,0.36180161270606587,0.32400283270733976,31829.0,0.22108353963958777
2002,pixel,pixel (1 km),all,lit_only,3945,0.43389042484466445,0.3604298370724429,0.3213901456870858,32454.0,0.22712879267660774
2003,pixel,pixel (1 km),all,lit_only,3897,0.4394309495133095,0.36121387429200735,0.32865012028074864,33706.0,0.2243652484311129
2004,pixel,pixel (1 km),all,lit_only,4327,0.455939911889194,0.38994450289548777,0.36351103777989624,35047.0,0.2491219989636709
2005,pixel,pixel (1 km),all,lit_only,4246,0.43464128393651924,0.35736952276733824,0.3186133101253013,35893.0,0.24445851804939836
2006,pixel,pixel (1 km),all,lit_only,4271,0.4326277704103252,0.355387718730443,0.3164067747347759,36322.0,0.24589786401059358
2007,pixel,pixel (1 km),all,lit_only,3420,0.411066890557648,0.3165726646823604,0.28106923249743954,33663.0,0.19690252749150786
2008,pixel,pixel (1 km),all,lit_only,3287,0.4048134366616325,0.3074567373452316,0.2669717852535347,33437.0,0.18924520697794922
2009,pixel,pixel (1 km),all,lit_only,4365,0.4188925492436435,0.33717920221004527,0.3052718573158445,38401.0,0.2513098048246877
2010,pixel,pixel (1 km),all,lit_only,4594,0.38964875778855745,0.30752014736041916,0.2642378221271803,40480.0,0.264494213829236
2011,pixel,pixel (1 km),all,lit_only,4565,0.3787651620694965,0.29452576377575945,0.24686922078581972,41277.0,0.2628245725142495
2012,pixel,pixel (1 km),all,lit_only,4300,0.3719964759789831,0.281549590826414,0.2325626640799894,40968.0,0.24756750532558006
2013,pixel,pixel (1 km),all,lit_only,4215,0.3827290231079221,0.29132698672786894,0.25392146216890576,40531.0,0.24267372905751627
2014,pixel,pixel (1 km),all,lit_only,4329,0.40315827452316944,0.31370832086167627,0.2987542080217409,41011.10534822941,0.24923714664056654
2015,pixel,pixel (1 km),all,lit_only,4352,0.4241926726121392,0.3383721804186682,0.34403844751813356,40657.249596238136,0.25056134492486615
2016,pixel,pixel (1 km),all,lit_only,4537,0.4400288757858999,0.35754457533426287,0.37643441234793745,41934.90650546551,0.2612125050377109
2017,pixel,pixel (1 km),all,lit_only,7035,0.49084490071819076,0.4368985417397772,0.4274763891088683,50959.085421323776,0.40503195348033855
