year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,TCD.1_1,Barh el Ghazel,56309,56310.617,0.0,0.0,0.0
1992,TCD.2_1,Batha,90400,90409.148,0.0,0.0,0.0
1992,TCD.3_1,Borkou,256214,256227.2653,71.0,0.0002771121016025666,0.0002770977550503681
1992,TCD.4_1,Chari-Baguirmi,46040,46030.7981,6.0,0.00013032145960034753,0.00013034751178668584
1992,TCD.5_1,Ennedi Est,77364,77366.5163,0.0,0.0,0.0
1992,TCD.6_1,Ennedi Ouest,111054,111049.6328,0.0,0.0,0.0
1992,TCD.7_1,Guéra,61035,61037.5557,0.0,0.0,0.0
1992,TCD.8_1,Hadjer-Lamis,30450,30439.9638,0.0,0.0,0.0
1992,TCD.9_1,Kanem,67675,67670.0566,0.0,0.0,0.0
1992,TCD.10_1,Lac,19830,19842.838,0.0,0.0,0.0
1992,TCD.11_1,Logone Occidental,8821,8807.2114,161.0,0.01825189887767827,0.018280474127994596
1992,TCD.12_1,Logone Oriental,23703,23717.8904,221.0,0.009323714297768215,0.009317860764884603
1992,TCD.13_1,Mandoul,17446,17444.2204,0.0,0.0,0.0
1992,TCD.14_1,Mayo-Kebbi Est,18046,18052.3597,0.0,0.0,0.0
1992,TCD.15_1,Mayo-Kebbi Ouest,12533,12537.7201,0.0,0.0,0.0
1992,TCD.16_1,Moyen-Chari,41455,41468.4853,386.0,0.009311301411168737,0.009308273428079317
1992,TCD.17_1,Ouaddaï,29763,29754.7859,256.0,0.008601283472768203,0.008603657933033217
1992,TCD.18_1,Salamat,67969,67964.9961,0.0,0.0,0.0
1992,TCD.19_1,Sila,35707,35703.4408,0.0,0.0,0.0
1992,TCD.20_1,Tandjilé,17523,17531.5201,0.0,0.0,0.0
1992,TCD.21_1,Tibesti,126093,126076.1811,0.0,0.0,0.0
1992,TCD.22_1,Ville de N'Djamena,393,396.7624,2738.0,6.966921119592875,6.900856266075061
1992,TCD.23_1,Wadi Fira,54121,54117.7904,0.0,0.0,0.0
1993,TCD.1_1,Barh el Ghazel,56309,56310.617,0.0,0.0,0.0
1993,TCD.2_1,Batha,90400,90409.148,0.0,0.0,0.0
1993,TCD.3_1,Borkou,256214,256227.2653,103.0,0.0004020076966910473,0.00040198688408715376
1993,TCD.4_1,Chari-Baguirmi,46040,46030.7981,30.0,0.0006516072980017377,0.0006517375589334292
1993,TCD.5_1,Ennedi Est,77364,77366.5163,0.0,0.0,0.0
1993,TCD.6_1,Ennedi Ouest,111054,111049.6328,0.0,0.0,0.0
1993,TCD.7_1,Guéra,61035,61037.5557,0.0,0.0,0.0
1993,TCD.8_1,Hadjer-Lamis,30450,30439.9638,0.0,0.0,0.0
1993,TCD.9_1,Kanem,67675,67670.0566,0.0,0.0,0.0
1993,TCD.10_1,Lac,19830,19842.838,27.0,0.0013615733736762482,0.0013606924605805832
1993,TCD.11_1,Logone Occidental,8821,8807.2114,169.0,0.01915882552998526,0.019188820668516064
1993,TCD.12_1,Logone Oriental,23703,23717.8904,321.0,0.013542589545627136,0.013534087355330125
1993,TCD.13_1,Mandoul,17446,17444.2204,0.0,0.0,0.0
1993,TCD.14_1,Mayo-Kebbi Est,18046,18052.3597,0.0,0.0,0.0
1993,TCD.15_1,Mayo-Kebbi Ouest,12533,12537.7201,0.0,0.0,0.0
1993,TCD.16_1,Moyen-Chari,41455,41468.4853,550.0,0.01326739838378965,0.013263083900113017
1993,TCD.17_1,Ouaddaï,29763,29754.7859,351.0,0.011793166011490778,0.011796421619119764
1993,TCD.18_1,Salamat,67969,67964.9961,0.0,0.0,0.0
1993,TCD.19_1,Sila,35707,35703.4408,0.0,0.0,0.0
1993,TCD.20_1,Tandjilé,17523,17531.5201,0.0,0.0,0.0
1993,TCD.21_1,Tibesti,126093,126076.1811,0.0,0.0,0.0
1993,TCD.22_1,Ville de N'Djamena,393,396.7624,3464.0,8.814249363867685,8.730666948752377
1993,TCD.23_1,Wadi Fira,54121,54117.7904,0.0,0.0,0.0
1994,TCD.1_1,Barh el Ghazel,56309,56310.617,0.0,0.0,0.0
1994,TCD.2_1,Batha,90400,90409.148,0.0,0.0,0.0
1994,TCD.3_1,Borkou,256214,256227.2653,126.0,0.0004917764056608929,0.0004917509455823434
1994,TCD.4_1,Chari-Baguirmi,46040,46030.7981,30.0,0.0006516072980017377,0.0006517375589334292
1994,TCD.5_1,Ennedi Est,77364,77366.5163,0.0,0.0,0.0
1994,TCD.6_1,Ennedi Ouest,111054,111049.6328,0.0,0.0,0.0
1994,TCD.7_1,Guéra,61035,61037.5557,4.0,6.55361677725895e-05,6.553342375063468e-05
1994,TCD.8_1,Hadjer-Lamis,30450,30439.9638,8.0,0.0002627257799671593,0.0002628124017929066
1994,TCD.9_1,Kanem,67675,67670.0566,0.0,0.0,0.0
1994,TCD.10_1,Lac,19830,19842.838,30.0,0.0015128593040847202,0.0015118805117562036
1994,TCD.11_1,Logone Occidental,8821,8807.2114,173.0,0.01961228885613876,0.0196429939387768
1994,TCD.12_1,Logone Oriental,23703,23717.8904,361.0,0.015230139644770704,0.015220577991508335
1994,TCD.13_1,Mandoul,17446,17444.2204,0.0,0.0,0.0
1994,TCD.14_1,Mayo-Kebbi Est,18046,18052.3597,0.0,0.0,0.0
1994,TCD.15_1,Mayo-Kebbi Ouest,12533,12537.7201,0.0,0.0,0.0
1994,TCD.16_1,Moyen-Chari,41455,41468.4853,549.0,0.013243275841273671,0.013238969202112812
1994,TCD.17_1,Ouaddaï,29763,29754.7859,361.0,0.012129153647145785,0.012132502007128874
1994,TCD.18_1,Salamat,67969,67964.9961,0.0,0.0,0.0
1994,TCD.19_1,Sila,35707,35703.4408,0.0,0.0,0.0
1994,TCD.20_1,Tandjilé,17523,17531.5201,0.0,0.0,0.0
1994,TCD.21_1,Tibesti,126093,126076.1811,0.0,0.0,0.0
1994,TCD.22_1,Ville de N'Djamena,393,396.7624,3493.0,8.888040712468193,8.803758560043896
1994,TCD.23_1,Wadi Fira,54121,54117.7904,0.0,0.0,0.0
1995,TCD.1_1,Barh el Ghazel,56309,56310.617,0.0,0.0,0.0
1995,TCD.2_1,Batha,90400,90409.148,0.0,0.0,0.0
1995,TCD.3_1,Borkou,256214,256227.2653,174.0,0.0006791197982936139,0.0006790846391375219
1995,TCD.4_1,Chari-Baguirmi,46040,46030.7981,36.0,0.0007819287576020851,0.0007820850707201151
1995,TCD.5_1,Ennedi Est,77364,77366.5163,0.0,0.0,0.0
1995,TCD.6_1,Ennedi Ouest,111054,111049.6328,0.0,0.0,0.0
1995,TCD.7_1,Guéra,61035,61037.5557,0.0,0.0,0.0
1995,TCD.8_1,Hadjer-Lamis,30450,30439.9638,29.0,0.0009523809523809524,0.0009526949564992864
1995,TCD.9_1,Kanem,67675,67670.0566,0.0,0.0,0.0
1995,TCD.10_1,Lac,19830,19842.838,18.0,0.000907715582450832,0.0009071283070537222
1995,TCD.11_1,Logone Occidental,8821,8807.2114,198.0,0.02244643464459812,0.022481576877906397
1995,TCD.12_1,Logone Oriental,23703,23717.8904,671.0,0.028308652913133357,0.02829088042188945
1995,TCD.13_1,Mandoul,17446,17444.2204,0.0,0.0,0.0
1995,TCD.14_1,Mayo-Kebbi Est,18046,18052.3597,45.0,0.0024936273966529978,0.0024927489104883726
1995,TCD.15_1,Mayo-Kebbi Ouest,12533,12537.7201,48.0,0.003829889092795021,0.0038284472603793327
1995,TCD.16_1,Moyen-Chari,41455,41468.4853,642.0,0.01548667229525992,0.015481636116131922
