year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,region,all,,5,0.719758212402213,1.1559300010198958,1.4850101363800838,12597.0,nan
1993,adm1,region,all,,5,0.6644531458400724,0.9792600224298328,1.0660992428654734,14916.0,nan
1994,adm1,region,all,,5,0.6633564235725309,0.9737946550213042,1.058045407613096,14938.0,nan
1995,adm1,region,all,,5,0.6577242153711338,0.9446848125729886,1.0193643151780427,16485.0,nan
1996,adm1,region,all,,5,0.6614224034325271,0.96390422561985,1.0479251464671109,16809.0,nan
1997,adm1,region,all,,5,0.6651894428397478,0.9773082550803107,1.0697661656394037,17061.0,nan
1998,adm1,region,all,,5,0.6713944451706055,0.998989031667564,1.1051508545534443,17438.0,nan
1999,adm1,region,all,,5,0.675106865241317,1.0139508328574252,1.130292499540796,17503.0,nan
2000,adm1,region,all,,5,0.6645502530992313,0.9876481561128926,1.0749842002535746,17386.0,nan
2001,adm1,region,all,,5,0.6588348113598717,0.9678094920406732,1.042806593938566,17364.0,nan
2002,adm1,region,all,,5,0.6544445477634191,0.9579078724889462,1.0298815631102367,17675.0,nan
2003,adm1,region,all,,5,0.6535105817140832,0.9556544866101402,1.0260413748700843,17565.0,nan
2004,adm1,region,all,,5,0.6652004685506057,0.987966483858413,1.0838682594312914,17239.0,nan
2005,adm1,region,all,,5,0.6708782780103919,1.0072887908004464,1.118372649763173,17475.0,nan
2006,adm1,region,all,,5,0.6754819334401565,1.0249719347216792,1.1465592921404055,17404.0,nan
2007,adm1,region,all,,5,0.6828518387545885,1.0498420819020857,1.1878852530060662,18089.0,nan
2008,adm1,region,all,,5,0.684878392961926,1.059873441186518,1.2030977710186188,17802.0,nan
2009,adm1,region,all,,5,0.6829701679021338,1.0524209614763944,1.1900062827657591,18290.0,nan
2010,adm1,region,all,,5,0.6770548579337834,1.0145249390869944,1.132994048726283,20245.0,nan
2011,adm1,region,all,,5,0.6767930400889783,1.010648722080081,1.1299084912828792,21847.0,nan
2012,adm1,region,all,,5,0.6849370884680694,1.0450918285775646,1.186325239593864,23492.0,nan
2013,adm1,region,all,,5,0.6878482746590817,1.0549146303102455,1.2042491789946457,24226.0,nan
2014,adm1,region,all,,5,0.6899764574607752,1.0624041696489106,1.218081512417541,26371.503257274628,nan
2015,adm1,region,all,,5,0.6857246696259585,1.0490884309110298,1.1914948477777678,30357.98043513298,nan
2016,adm1,region,all,,5,0.6797314213701833,1.0227724667361857,1.148828364171804,31841.68615233898,nan
2017,adm1,region,all,,5,0.6442681711839124,0.8775171305791297,0.9462016815971042,40720.693559885025,nan
2018,adm1,region,all,,5,0.6462690893959353,0.8926370142831473,0.9630449299861152,42242.691111564636,nan
2019,adm1,region,all,,5,0.6482144971162564,0.8996236932801956,0.9729365598495456,43339.164717674255,nan
2020,adm1,region,all,,5,0.6042043960329053,0.7534439349795359,0.7711104024589513,57536.38504755497,nan
2021,adm1,region,all,,5,0.600648958756024,0.7511488129971411,0.7665134643117855,67065.19409644604,nan
2022,adm1,region,all,,5,0.5826790859315991,0.7051015436249228,0.705288774172295,72532.02038109303,nan
1992,adm2,prefecture,all,,40,0.9349060287258906,2.5109701062421323,nan,12597.0,nan
1993,adm2,prefecture,all,,40,0.9276674698254701,2.4340819866847982,nan,14916.0,nan
1994,adm2,prefecture,all,,40,0.9275732815110405,2.432694533903716,nan,14938.0,nan
1995,adm2,prefecture,all,,40,0.9206641578952426,2.3520404313157366,nan,16485.0,nan
1996,adm2,prefecture,all,,40,0.9204956460804756,2.336994175578369,nan,16809.0,nan
1997,adm2,prefecture,all,,40,0.9186142945871996,2.318634371426134,nan,17061.0,nan
1998,adm2,prefecture,all,,40,0.9170873893730085,2.2971061265605046,nan,17438.0,nan
1999,adm2,prefecture,all,,40,0.9181821708012765,2.2991814602774623,nan,17503.0,nan
2000,adm2,prefecture,all,,40,0.9184844154188836,2.305609835373827,nan,17386.0,nan
2001,adm2,prefecture,all,,40,0.9181042971489239,2.3058823480074615,nan,17364.0,nan
2002,adm2,prefecture,all,,40,0.9170244357365629,2.2935655182877737,nan,17675.0,nan
2003,adm2,prefecture,all,,40,0.9175404344115796,2.2961830845438627,nan,17565.0,nan
2004,adm2,prefecture,all,,40,0.9190791578333353,2.307053561320704,nan,17239.0,nan
2005,adm2,prefecture,all,,40,0.918378025792804,2.298566160578231,nan,17475.0,nan
2006,adm2,prefecture,all,,40,0.9190917475146805,2.30315311648448,nan,17404.0,nan
2007,adm2,prefecture,all,,40,0.9164893245909336,2.26662563552512,nan,18089.0,nan
2008,adm2,prefecture,all,,40,0.917720080280348,2.2822098115516214,nan,17802.0,nan
2009,adm2,prefecture,all,,40,0.9166017976924608,2.2706450452611797,nan,18290.0,nan
2010,adm2,prefecture,all,,40,0.9128920605363113,2.225104383420272,nan,20245.0,nan
