year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
1992,all,zeros_included,province,Amnat Charoen,3246,0.08194701170671596,0.006316576049941037,0.00039659347081906986,4.45855903576387,0.0017682354028453187
1992,all,zeros_included,province,Ang Thong,953,3.7681007345225606,0.001854496911766423,0.005354011856057443,1.0998064420988614,0.0058883767303656576
1992,all,zeros_included,province,Bangkok Metropolis,1566,45.48020434227331,0.003047368482503902,0.10618864728825488,0.15398307177949766,0.01635125409755511
1992,all,zeros_included,province,Bueng Kan,3997,0.12209156867650738,0.007777989670860852,0.0007275850141342335,3.9205684569671373,0.0028525468561766644
1992,all,zeros_included,province,Buri Ram,10055,0.2614619592242665,0.019566596482488333,0.003919715168358401,3.789672076348131,0.014854435120766044
1992,all,zeros_included,province,Chachoengsao,5220,2.5521072796934865,0.010157894941679672,0.01986247450470545,2.3093088860178344,0.04586858887201898
1992,all,zeros_included,province,Chai Nat,2463,0.7645148193260252,0.004792891808689087,0.0028074643065876263,2.524819049633951,0.00708833936243981
1992,all,zeros_included,province,Chaiyaphum,12661,0.2741489613774583,0.024637760125786654,0.005175097508319518,3.624204485526326,0.018755611602687707
1992,all,zeros_included,province,Chanthaburi,6250,0.68768,0.012162230533620297,0.006408115554813392,3.285273167539153,0.02105241008671871
1992,all,zeros_included,province,Chiang Mai,22118,1.0402387195949,0.0430406743908182,0.03430384427295173,2.6836652129550296,0.09206003354594718
1992,all,zeros_included,province,Chiang Rai,11572,0.8860179744210163,0.022518613077608652,0.015286740061307983,2.3654430487181752,0.03615991301558262
1992,all,zeros_included,province,Chon Buri,4470,7.062416107382551,0.008698427277645237,0.047067892031154954,1.44778808471317,0.06814433325527211
1992,all,zeros_included,province,Chumphon,5994,1.5487153820487154,0.01166406557096321,0.013840515750426413,1.6902275304104484,0.02339362075645015
1992,all,zeros_included,province,Kalasin,6902,0.4297305128948131,0.013430994422887567,0.004422166294922411,3.2891890161806288,0.014545340804982982
1992,all,zeros_included,province,Kamphaeng Phet,8641,1.4811943062145585,0.01681501344656208,0.019082706139147653,2.5980578032526616,0.04957797359199003
1992,all,zeros_included,province,Kanchanaburi,19350,0.8068733850129199,0.03765426573208844,0.023278247593602024,2.788894211948788,0.06492056997810748
1992,all,zeros_included,province,Khon Kaen,10593,1.254696497687152,0.02061352128682237,0.01981625496487315,2.5621768398806264,0.05077274952416746
1992,all,zeros_included,province,Krabi,4832,0.5225579470198676,0.009402863670152525,0.0037646560669855316,2.7542845464312014,0.010368934027926715
1992,all,zeros_included,province,Lampang,12516,0.8248641738574625,0.02435559637740666,0.015392597717052923,3.0428272602267405,0.04683701593915253
1992,all,zeros_included,province,Lamphun,4480,1.040625,0.008717886846499028,0.006950822409618435,2.4494267865832624,0.017025530598902612
1992,all,zeros_included,province,Loei,10529,0.1679171811188147,0.0204889800461581,0.0026360047233387803,4.2729492549600945,0.01126351441866173
1992,all,zeros_included,province,Lop Buri,6256,1.3809143222506395,0.012173906274932573,0.012880342084232875,2.438389185196685,0.03140728683982717
1992,all,zeros_included,province,Mae Hong Son,12701,0.05133454058735533,0.024715598401201824,0.000972101289376066,5.122839253098494,0.004979918643203369
1992,all,zeros_included,province,Maha Sarakham,5605,0.4535236396074933,0.010907088342550683,0.0037900022662484046,3.325619679315553,0.012604106121286238
1992,all,zeros_included,province,Mukdahan,4160,0.3014423076923077,0.00809518064317767,0.0018696549338613295,3.837675334110754,0.007175128622978097
1992,all,zeros_included,province,Nakhon Nayok,2137,0.9513336452971455,0.004158509864055452,0.003031107241260034,2.4140395244250614,0.007317212683172732
