year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,district,0.3405253097463345,0.06935915222185546,0.2711661575244772,0.20368281075354652,0.7963171892464481,,1.8318679906315083e-15,52
1993,all,lit_only,theil_l,district,0.28252040211309154,0.06260318486066128,0.21991721725242763,0.2215881911268183,0.7784118088731724,,2.609024107869118e-15,53
1994,all,lit_only,theil_l,district,0.33549245222606683,0.07695010403153009,0.25854234819453503,0.22936463554082687,0.770635364459168,,1.7208456881689926e-15,53
1995,all,lit_only,theil_l,district,0.30368953637917234,0.06678070172585272,0.23690883465331863,0.2198979343248544,0.7801020656751424,,9.992007221626409e-16,53
1996,all,lit_only,theil_l,district,0.28482555467474835,0.06415581481580061,0.22066973985894664,0.2252459927237296,0.7747540072762665,,1.1102230246251565e-15,53
1997,all,lit_only,theil_l,district,0.33025526559809326,0.06529259009361596,0.26496267550447533,0.19770340368493713,0.8022965963150569,,1.9984014443252818e-15,53
1998,all,lit_only,theil_l,district,0.34913564697114535,0.0638614054069666,0.28527424156417386,0.18291287630175582,0.8170871236982301,,4.884981308350689e-15,54
1999,all,lit_only,theil_l,district,0.3520042562735711,0.0660364064262024,0.2859678498473636,0.18760115893280602,0.8123988410671795,,5.10702591327572e-15,54
2000,all,lit_only,theil_l,district,0.41148902040792096,0.07595504571558928,0.33553397469232543,0.1845858381355907,0.8154141618643941,,6.2727600891321345e-15,54
2001,all,lit_only,theil_l,district,0.4164291434487154,0.07659810473506287,0.33983103871364506,0.18394030758919777,0.8160596924107844,,7.438494264988549e-15,54
2002,all,lit_only,theil_l,district,0.3878284461723367,0.07351707924446454,0.31431136692786377,0.18956082249778103,0.8104391775021973,,8.382183835919932e-15,54
2003,all,lit_only,theil_l,district,0.3758334078987684,0.07364790491892771,0.30218550297983704,0.1959589099082031,0.8040410900917871,,3.6637359812630166e-15,54
2004,all,lit_only,theil_l,district,0.3975718465189394,0.07970774222859016,0.31786410429034573,0.20048638485470088,0.7995136151452903,,3.497202527569243e-15,54
2005,all,lit_only,theil_l,district,0.372298777906051,0.07878251385538837,0.293516264050658,0.21161099238222322,0.7883890076177644,,4.6074255521944e-15,53
2006,all,lit_only,theil_l,district,0.36656164666348695,0.09900822206013768,0.26755342460334464,0.27009978529213063,0.7299002147078567,,4.6074255521944e-15,53
2007,all,lit_only,theil_l,district,0.3762483528726829,0.09301326241281258,0.28323509045986506,0.2472124109053228,0.7527875890946633,,5.218048215738236e-15,54
2008,all,lit_only,theil_l,district,0.3269368947161718,0.0902067132650612,0.23673018145110677,0.27591475518042585,0.7240852448195624,,3.83026943495679e-15,53
2009,all,lit_only,theil_l,district,0.3340888589862956,0.09062457037378477,0.24346428861250669,0.2712588819895434,0.7287411180104442,,4.107825191113079e-15,53
2010,all,lit_only,theil_l,district,0.3626796118040644,0.09010789559978591,0.2725717162042709,0.2484504026889336,0.7515495973110455,,7.549516567451064e-15,54
2011,all,lit_only,theil_l,district,0.33416923626610384,0.08780900056638756,0.24636023569970755,0.2627680559333833,0.7372319440665905,,8.715250743307479e-15,54
2012,all,lit_only,theil_l,district,0.34386614145041156,0.09783710971340752,0.24602903173699692,0.2845209164843479,0.7154790835156314,,7.105427357601002e-15,54
2013,all,lit_only,theil_l,district,0.3672506610837896,0.09750075347097564,0.26974990761280737,0.2654882994171942,0.7345117005827878,,6.6058269965196814e-15,54
2014,all,lit_only,theil_l,district,0.4374652192475166,0.10404427981694389,0.33342093943056783,0.23783440428912345,0.7621655957108654,,4.884981308350689e-15,54
2015,all,lit_only,theil_l,district,0.44750782798109234,0.10875045865336047,0.3387573693277271,0.24301353373857695,0.7569864662614124,,4.773959005888173e-15,54
2016,all,lit_only,theil_l,district,0.4899974739067193,0.1151398915082027,0.3748575823985123,0.2349805818185133,0.7650194181814779,,4.3298697960381105e-15,54
2017,all,lit_only,theil_l,district,0.5251249571639687,0.1259244664050288,0.39920049075893965,0.23979905103940674,0.7602009489605929,,2.220446049250313e-16,54
2018,all,lit_only,theil_l,district,0.5212581886630129,0.12517430027261156,0.39608388839040215,0.24013876998973196,0.7598612300102696,,7.771561172376096e-16,54
2019,all,lit_only,theil_l,district,0.5196671497461357,0.1194485602065045,0.40021858953963113,0.229855899617393,0.7701441003826068,,1.1102230246251565e-16,54
2020,all,lit_only,theil_l,district,0.5342112297345807,0.12717368783201102,0.40703754190257097,0.23805880661699386,0.7619411933830086,,1.3322676295501878e-15,54
2021,all,lit_only,theil_l,district,0.5350575307385472,0.12396186141486287,0.41109566932368596,0.23167950041513596,0.768320499584867,,1.5543122344752192e-15,54
2022,all,lit_only,theil_l,district,0.5457821713242813,0.12249452094542884,0.4232876503788547,0.22443848000422797,0.775561519995776,,2.220446049250313e-15,54
1992,all,zeros_included,theil_l,district,,,,,,,,0
1993,all,zeros_included,theil_l,district,,,,,,,,0
1994,all,zeros_included,theil_l,district,,,,,,,,0
1995,all,zeros_included,theil_l,district,,,,,,,,0
1996,all,zeros_included,theil_l,district,,,,,,,,0
1997,all,zeros_included,theil_l,district,,,,,,,,0
1998,all,zeros_included,theil_l,district,,,,,,,,0
1999,all,zeros_included,theil_l,district,,,,,,,,0
2000,all,zeros_included,theil_l,district,,,,,,,,0
2001,all,zeros_included,theil_l,district,,,,,,,,0
2002,all,zeros_included,theil_l,district,,,,,,,,0
2003,all,zeros_included,theil_l,district,,,,,,,,0
2004,all,zeros_included,theil_l,district,,,,,,,,0
2005,all,zeros_included,theil_l,district,,,,,,,,0
2006,all,zeros_included,theil_l,district,,,,,,,,0
2007,all,zeros_included,theil_l,district,,,,,,,,0
2008,all,zeros_included,theil_l,district,,,,,,,,0
2009,all,zeros_included,theil_l,district,,,,,,,,0
2010,all,zeros_included,theil_l,district,,,,,,,,0
2011,all,zeros_included,theil_l,district,,,,,,,,0
2012,all,zeros_included,theil_l,district,,,,,,,,0
2013,all,zeros_included,theil_l,district,,,,,,,,0
2014,all,zeros_included,theil_l,district,,,,,,,,0
2015,all,zeros_included,theil_l,district,,,,,,,,0
2016,all,zeros_included,theil_l,district,,,,,,,,0
2017,all,zeros_included,theil_l,district,,,,,,,,0
2018,all,zeros_included,theil_l,district,,,,,,,,0
2019,all,zeros_included,theil_l,district,,,,,,,,0
2020,all,zeros_included,theil_l,district,,,,,,,,0
2021,all,zeros_included,theil_l,district,,,,,,,,0
2022,all,zeros_included,theil_l,district,,,,,,,,0
1992,all,lit_only,theil_l,nested,0.3405253097463345,0.017085900302458146,0.2711661575244772,0.05017512594052361,0.7963171892464481,0.052273251919397315,1.8318679906315083e-15,52
1993,all,lit_only,theil_l,nested,0.28252040211309154,0.014535475140062471,0.21991721725242763,0.05144929368408584,0.7784118088731724,0.04806770972059882,2.609024107869118e-15,53
1994,all,lit_only,theil_l,nested,0.33549245222606683,0.019107239206226513,0.25854234819453503,0.056952813929034,0.770635364459168,0.057842864825303576,1.7208456881689926e-15,53
1995,all,lit_only,theil_l,nested,0.30368953637917234,0.019958461235760245,0.23690883465331863,0.06571995029437253,0.7801020656751424,0.04682224049009248,9.992007221626409e-16,53
1996,all,lit_only,theil_l,nested,0.28482555467474835,0.021620107211919856,0.22066973985894664,0.0759064868200066,0.7747540072762665,0.04253570760388076,1.1102230246251565e-15,53
1997,all,lit_only,theil_l,nested,0.33025526559809326,0.022697209523085096,0.26496267550447533,0.06872626082730394,0.8022965963150569,0.04259538057053086,1.9984014443252818e-15,53
1998,all,lit_only,theil_l,nested,0.34913564697114535,0.020991394791091463,0.28527424156417386,0.06012389446107265,0.8170871236982301,0.04287001061587513,4.884981308350689e-15,54
