year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,district,0.40893059277563415,0.14904547933927165,0.25988511343636245,0.3644762264608744,0.6355237735391255,,5.551115123125783e-17,8
1993,all,lit_only,theil_l,district,0.3312282333650034,0.125702143342873,0.20552609002213026,0.37950310595761644,0.6204968940423832,,1.1102230246251565e-16,13
1994,all,lit_only,theil_l,district,0.3965262414794237,0.16479725637446468,0.23172898510495904,0.41560239685427286,0.5843976031457272,,0.0,13
1995,all,lit_only,theil_l,district,0.32091063470051795,0.13216227979821665,0.18874835490230157,0.41183515130794557,0.5881648486920553,,2.7755575615628914e-16,13
1996,all,lit_only,theil_l,district,0.27945077440829585,0.11989010948735118,0.15956066492094492,0.42902049472292353,0.5709795052770774,,2.7755575615628914e-16,13
1997,all,lit_only,theil_l,district,0.3208720124126514,0.14269599234894204,0.17817602006370958,0.44471311560021803,0.5552868843997827,,2.220446049250313e-16,13
1998,all,lit_only,theil_l,district,0.2903698562907482,0.1772154447836745,0.11315441150707387,0.6103093724929496,0.38969062750705097,,1.6653345369377348e-16,13
1999,all,lit_only,theil_l,district,0.28336894491257303,0.1749201856054029,0.10844875930717024,0.6172877753395684,0.38271222466043203,,1.1102230246251565e-16,12
2000,all,lit_only,theil_l,district,0.382669006717715,0.17775346507101536,0.20491554164669967,0.4645096988535042,0.535490301146496,,5.551115123125783e-17,13
2001,all,lit_only,theil_l,district,0.3983125667862215,0.16860202152742698,0.22971054525879459,0.42329074095700686,0.5767092590429933,,5.551115123125783e-17,13
2002,all,lit_only,theil_l,district,0.31310492181502575,0.14023575227729299,0.17286916953773304,0.4478874093207025,0.5521125906792984,,2.7755575615628914e-16,12
2003,all,lit_only,theil_l,district,0.31798765470456514,0.1445299179377778,0.1734577367667877,0.45451424229678716,0.545485757703214,,3.3306690738754696e-16,11
2004,all,lit_only,theil_l,district,0.34938778978125584,0.16309147664614254,0.18629631313511352,0.46679214733935204,0.5332078526606486,,2.220446049250313e-16,11
2005,all,lit_only,theil_l,district,0.3666781564640071,0.18835122618881747,0.1783269302751902,0.5136690660964036,0.486330933903598,,6.106226635438361e-16,11
2006,all,lit_only,theil_l,district,0.39721686943449397,0.18405961979030927,0.21315724964418484,0.4633731192039995,0.5366268807960008,,1.1102230246251565e-16,11
2007,all,lit_only,theil_l,district,0.4936318119772046,0.22905621315486932,0.2645755988223356,0.46402238996186673,0.5359776100381339,,3.3306690738754696e-16,10
2008,all,lit_only,theil_l,district,0.36500907042316816,0.18938280970322574,0.17562626071994272,0.5188441193630269,0.48115588063697395,,2.7755575615628914e-16,10
2009,all,lit_only,theil_l,district,0.33143516874742784,0.16205171002132754,0.1693834587261004,0.48893939238180245,0.5110606076181978,,1.1102230246251565e-16,12
2010,all,lit_only,theil_l,district,0.30061704964317804,0.12746223923059194,0.17315481041258618,0.4240020297647295,0.5759979702352708,,1.1102230246251565e-16,13
2011,all,lit_only,theil_l,district,0.25185094312028755,0.12012939652749716,0.13172154659279006,0.47698608962572625,0.5230139103742725,,3.3306690738754696e-16,13
2012,all,lit_only,theil_l,district,0.25917529842124587,0.11958480331504201,0.13959049510620355,0.4614050954835866,0.5385949045164122,,3.3306690738754696e-16,13
2013,all,lit_only,theil_l,district,0.2907767391716819,0.11210170843943021,0.17867503073225152,0.38552502087604246,0.614474979123957,,1.6653345369377348e-16,13
2014,all,lit_only,theil_l,district,0.41319870598760833,0.15457311010573238,0.2586255958818758,0.37408904690608585,0.6259109530939138,,1.6653345369377348e-16,13
2015,all,lit_only,theil_l,district,0.4902173737827685,0.1885284387815388,0.30168893500122956,0.3845813079343899,0.6154186920656098,,1.1102230246251565e-16,13
2016,all,lit_only,theil_l,district,0.4623679712093464,0.18701137810486987,0.2753565931044766,0.40446438713246574,0.5955356128675343,,5.551115123125783e-17,13
2017,all,lit_only,theil_l,district,0.4934347757437917,0.20329848096249334,0.2901362947812985,0.4120067959459203,0.58799320405408,,1.1102230246251565e-16,13
2018,all,lit_only,theil_l,district,0.42341631560049253,0.16743967353192277,0.2559766420685699,0.3954492714681021,0.6045507285318982,,1.1102230246251565e-16,13
2019,all,lit_only,theil_l,district,0.42016148438037915,0.1575776230875275,0.2625838612928516,0.37504061877520856,0.6249593812247914,,0.0,13
2020,all,lit_only,theil_l,district,0.3411519713811026,0.13008820579673266,0.21106376558436968,0.38132039885359614,0.6186796011464031,,2.7755575615628914e-16,13
2021,all,lit_only,theil_l,district,0.32977467615326495,0.13322116733484662,0.1965535088184186,0.40397634193394283,0.5960236580660581,,2.7755575615628914e-16,13
2022,all,lit_only,theil_l,district,0.3471578347513834,0.13481931128241822,0.21233852346896537,0.3883516308337644,0.6116483691662362,,2.220446049250313e-16,13
1992,all,zeros_included,theil_l,district,,,,,,,,0
1993,all,zeros_included,theil_l,district,,,,,,,,0
1994,all,zeros_included,theil_l,district,,,,,,,,0
1995,all,zeros_included,theil_l,district,,,,,,,,0
1996,all,zeros_included,theil_l,district,,,,,,,,0
1997,all,zeros_included,theil_l,district,,,,,,,,0
1998,all,zeros_included,theil_l,district,,,,,,,,0
1999,all,zeros_included,theil_l,district,,,,,,,,0
2000,all,zeros_included,theil_l,district,,,,,,,,0
2001,all,zeros_included,theil_l,district,,,,,,,,0
2002,all,zeros_included,theil_l,district,,,,,,,,0
2003,all,zeros_included,theil_l,district,,,,,,,,0
2004,all,zeros_included,theil_l,district,,,,,,,,0
2005,all,zeros_included,theil_l,district,,,,,,,,0
2006,all,zeros_included,theil_l,district,,,,,,,,0
2007,all,zeros_included,theil_l,district,,,,,,,,0
2008,all,zeros_included,theil_l,district,,,,,,,,0
