year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,county,0.42843026587023325,0.12322654824186981,0.3052037176283585,0.28762334983867305,0.7123766501613155,nan,4.9404924595819466e-15,3146
1993,all,lit_only,theil_l,county,0.36586511574848923,0.11879152464921933,0.24707359109926444,0.3246866660304436,0.6753133339695414,nan,5.440092820663267e-15,3148
1994,all,lit_only,theil_l,county,0.39431872458693024,0.12693066739268766,0.26738805719423736,0.3218986557781507,0.6781013442218361,nan,5.218048215738236e-15,3148
1995,all,lit_only,theil_l,county,0.3704071732842641,0.12207140285541096,0.24833577042884747,0.3295600400312142,0.6704399599687705,nan,5.662137425588298e-15,3148
1996,all,lit_only,theil_l,county,0.3552079377337599,0.11505068237651021,0.2401572553572436,0.323896709939924,0.6761032900600589,nan,6.106226635438361e-15,3148
1997,all,lit_only,theil_l,county,0.3807315299441938,0.11591821745520539,0.26481331248898243,0.3044618276615973,0.6955381723383871,nan,5.995204332975845e-15,3148
1998,all,lit_only,theil_l,county,0.40268030564106866,0.1222182497128506,0.28046205592821255,0.30351186288656123,0.696488137113425,nan,5.495603971894525e-15,3147
1999,all,lit_only,theil_l,county,0.42153435542068246,0.12799629990774358,0.2935380555129336,0.3036438151761224,0.6963561848238651,nan,5.2735593669694936e-15,3147
2000,all,lit_only,theil_l,county,0.4063199848006769,0.12693549665157922,0.2793844881490917,0.31240278942678223,0.6875972105732031,nan,5.9396931817445875e-15,3148
2001,all,lit_only,theil_l,county,0.39409124958941666,0.12296194267081606,0.2711293069185947,0.3120138871363517,0.6879861128636333,nan,5.88418203051333e-15,3148
2002,all,lit_only,theil_l,county,0.3927658357964466,0.12023898765435201,0.2725268481420885,0.30613402871594625,0.6938659712840383,nan,6.050715484207103e-15,3148
2003,all,lit_only,theil_l,county,0.4013007420510494,0.12186177973325552,0.2794389623177877,0.3036669683450361,0.6963330316549485,nan,6.161737786669619e-15,3148
2004,all,lit_only,theil_l,county,0.4287887194237919,0.12906710376469194,0.29972161565909416,0.3010039628331008,0.6989960371668857,nan,5.773159728050814e-15,3148
2005,all,lit_only,theil_l,county,0.40251767228239216,0.12363932067619327,0.2788783516061933,0.3071649499887108,0.6928350500112753,nan,5.6066262743570405e-15,3148
2006,all,lit_only,theil_l,county,0.4009253418240032,0.1230509150847819,0.2778744267392154,0.3069172792245155,0.6930827207754698,nan,5.88418203051333e-15,3148
2007,all,lit_only,theil_l,county,0.401792318375281,0.12288684046082171,0.2789054779144532,0.3058466646593359,0.6941533353406488,nan,6.106226635438361e-15,3148
2008,all,lit_only,theil_l,county,0.3512543697555952,0.1083662797357974,0.2428880900197912,0.30851226081884553,0.6914877391811356,nan,6.6058269965196814e-15,3147
2009,all,lit_only,theil_l,county,0.36061095049581726,0.11114846586033064,0.24946248463548,0.30822265853964925,0.6917773414603323,nan,6.661338147750939e-15,3147
2010,all,lit_only,theil_l,county,0.37320867105691696,0.11784804200204645,0.25536062905486334,0.315769839077704,0.6842301609222767,nan,7.16093850883226e-15,3147
2011,all,lit_only,theil_l,county,0.338486300178062,0.10546284339037626,0.23302345678767883,0.31157197007647613,0.6884280299235034,nan,6.938893903907228e-15,3147
2012,all,lit_only,theil_l,county,0.3375853282425568,0.10234449588453991,0.23524083235801035,0.3031663029235822,0.6968336970763984,nan,6.5503158452884236e-15,3147
2013,all,lit_only,theil_l,county,0.3839007617591865,0.11506126527122301,0.26883949648795724,0.29971616816795665,0.700283831832027,nan,6.2727600891321345e-15,3147
2014,all,lit_only,theil_l,county,0.4171016672157933,0.11783519594087308,0.29926647127491507,0.28250952993652123,0.7174904700634664,nan,5.162537064506978e-15,3147
