year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,UZB.1_1,Andijon,4494,4496.0969,78781.0,17.530262572318648,17.52208661901332
1992,UZB.2_1,Buxoro,40413,40428.2817,88465.0,2.1890233340756686,2.188195895217081
1992,UZB.3_1,Farg'ona,6703,6701.7461,87945.0,13.120244666567208,13.122699387155096
1992,UZB.4_1,Jizzax,21362,21374.306,28000.0,1.3107386948787567,1.309984053326276
1992,UZB.8_1,Namangan,7551,7547.1455,48199.0,6.383128062508277,6.3863880715197325
1992,UZB.9_1,Navoiy,112195,112179.1327,63118.0,0.5625740897544453,0.5626536638564991
1992,UZB.5_1,Qaraqalpaqstan,164854,164836.8073,32796.0,0.1989396678272896,0.1989604175405012
1992,UZB.6_1,Qashqadaryo,28117,28125.4053,124808.0,4.438880392645019,4.437553822228475
1992,UZB.10_1,Samarqand',14346,14337.7524,69842.0,4.868395371532134,4.871195845178417
1992,UZB.11_1,Sirdaryo,4911,4897.0714,39800.0,8.104255752392588,8.127306487924933
1992,UZB.12_1,Surxondaryo,19901,19898.7311,65805.0,3.306617757901613,3.3069947860245437
1992,UZB.14_1,Toshkent,15118,15114.536,126911.0,8.394695065484852,8.396619013273568
1992,UZB.13_1,Toshkent Shahri,327,328.0078,19194.0,58.69724770642202,58.516905207784575
1992,UZB.7_1,Xorazm,7311,7291.7225,38500.0,5.266037477773218,5.279959590149168
1993,UZB.1_1,Andijon,4494,4496.0969,90537.0,20.146194926568757,20.136798926462074
1993,UZB.2_1,Buxoro,40413,40428.2817,95384.0,2.3602306188602675,2.3593384645835758
1993,UZB.3_1,Farg'ona,6703,6701.7461,97808.0,14.591675369237654,14.594405385853268
1993,UZB.4_1,Jizzax,21362,21374.306,33068.0,1.5479823986518115,1.547091166978332
1993,UZB.8_1,Namangan,7551,7547.1455,63774.0,8.445768772348034,8.450082218990008
1993,UZB.9_1,Navoiy,112195,112179.1327,68723.0,0.6125317527519052,0.6126183931875248
1993,UZB.5_1,Qaraqalpaqstan,164854,164836.8073,41912.0,0.25423708250937194,0.25426359982795116
1993,UZB.6_1,Qashqadaryo,28117,28125.4053,132906.0,4.726891204609311,4.725478561447164
1993,UZB.10_1,Samarqand',14346,14337.7524,77272.0,5.386309772758957,5.389408169133568
1993,UZB.11_1,Sirdaryo,4911,4897.0714,42525.0,8.65913255956017,8.68376151756301
1993,UZB.12_1,Surxondaryo,19901,19898.7311,67922.0,3.4129943218933723,3.4133834793155393
1993,UZB.14_1,Toshkent,15118,15114.536,153620.0,10.161397010186533,10.163725861580838
1993,UZB.13_1,Toshkent Shahri,327,328.0078,19430.0,59.41896024464832,59.23640034319341
1993,UZB.7_1,Xorazm,7311,7291.7225,42275.0,5.78238271098345,5.797669913598859
1994,UZB.1_1,Andijon,4494,4496.0969,90682.0,20.178460169114373,20.169049120795187
1994,UZB.2_1,Buxoro,40413,40428.2817,97277.0,2.4070719817880386,2.4061621217321196
1994,UZB.3_1,Farg'ona,6703,6701.7461,98538.0,14.700581829031776,14.703332221405297
1994,UZB.4_1,Jizzax,21362,21374.306,35756.0,1.6738133133601723,1.6728496360976544
1994,UZB.8_1,Namangan,7551,7547.1455,64316.0,8.517547344722553,8.521897450317706
1994,UZB.9_1,Navoiy,112195,112179.1327,69468.0,0.619171977360845,0.6192595570325942
1994,UZB.5_1,Qaraqalpaqstan,164854,164836.8073,39015.0,0.2366639571984908,0.2366886416130825
1994,UZB.6_1,Qashqadaryo,28117,28125.4053,145960.0,5.191165487071879,5.189614094388727
1994,UZB.10_1,Samarqand',14346,14337.7524,79593.0,5.548097030531158,5.551288492673259
1994,UZB.11_1,Sirdaryo,4911,4897.0714,43714.0,8.90124210954999,8.926559693797753
1994,UZB.12_1,Surxondaryo,19901,19898.7311,70603.0,3.54771117029295,3.5481156884384295
1994,UZB.14_1,Toshkent,15118,15114.536,154239.0,10.202341579574018,10.20467981489628
1994,UZB.13_1,Toshkent Shahri,327,328.0078,19434.0,59.43119266055046,59.24859517599695
1994,UZB.7_1,Xorazm,7311,7291.7225,42085.0,5.756394474080153,5.771612970166954
1995,UZB.1_1,Andijon,4494,4496.0969,92491.0,20.580996884735203,20.571398096992432
1995,UZB.2_1,Buxoro,40413,40428.2817,101649.0,2.5152549922054783,2.5143042395627764
1995,UZB.3_1,Farg'ona,6703,6701.7461,103424.0,15.429509174996271,15.432395945387784
1995,UZB.4_1,Jizzax,21362,21374.306,43707.0,2.0460162906094936,2.0448383220975552
1995,UZB.8_1,Namangan,7551,7547.1455,69513.0,9.205800556217719,9.210502168417419
1995,UZB.9_1,Navoiy,112195,112179.1327,72916.0,0.6499041846784616,0.6499961113115195
1995,UZB.5_1,Qaraqalpaqstan,164854,164836.8073,38936.0,0.23618474528977154,0.23620937972182443
1995,UZB.6_1,Qashqadaryo,28117,28125.4053,162631.0,5.7840808052068144,5.782352218310037
1995,UZB.10_1,Samarqand',14346,14337.7524,86036.0,5.99721176634602,6.000661575209334
1995,UZB.11_1,Sirdaryo,4911,4897.0714,47979.0,9.769700671960905,9.797488391561567
1995,UZB.12_1,Surxondaryo,19901,19898.7311,76723.0,3.8552334053565147,3.8556729878909057
1995,UZB.14_1,Toshkent,15118,15114.536,157759.0,10.435176610662786,10.43756820854792
1995,UZB.13_1,Toshkent Shahri,327,328.0078,19477.0,59.56269113149847,59.379689628635
1995,UZB.7_1,Xorazm,7311,7291.7225,42979.0,5.878675967719874,5.894217746104443
1996,UZB.1_1,Andijon,4494,4496.0969,92491.0,20.580996884735203,20.571398096992432
1996,UZB.2_1,Buxoro,40413,40428.2817,101447.0,2.5102566005988174,2.5093077373208295
1996,UZB.3_1,Farg'ona,6703,6701.7461,103571.0,15.45143965388632,15.454330527341412
1996,UZB.4_1,Jizzax,21362,21374.306,39446.0,1.846549948506694,1.845486820268153
1996,UZB.8_1,Namangan,7551,7547.1455,72925.0,9.657661236922262,9.662593624672223
1996,UZB.9_1,Navoiy,112195,112179.1327,71032.0,0.6331119925130353,0.6332015439502969
1996,UZB.5_1,Qaraqalpaqstan,164854,164836.8073,35735.0,0.21676756402635058,0.216790173216545
1996,UZB.6_1,Qashqadaryo,28117,28125.4053,157498.0,5.601522210762172,5.599848181954204
1996,UZB.10_1,Samarqand',14346,14337.7524,81513.0,5.681932245922209,5.685200694825869
1996,UZB.11_1,Sirdaryo,4911,4897.0714,47853.0,9.74404398289554,9.771758727805825
1996,UZB.12_1,Surxondaryo,19901,19898.7311,73909.0,3.7138334757047384,3.7142569354956008
1996,UZB.14_1,Toshkent,15118,15114.536,160535.0,10.618798782907792,10.62123246445046
1996,UZB.13_1,Toshkent Shahri,327,328.0078,19653.0,60.10091743119266,59.91626227199074
1996,UZB.7_1,Xorazm,7311,7291.7225,43207.0,5.9098618520038295,5.92548607822273
1997,UZB.1_1,Andijon,4494,4496.0969,92487.0,20.58010680907877,20.570508436459104
1997,UZB.2_1,Buxoro,40413,40428.2817,106478.0,2.6347462450201666,2.6337503253368486
1997,UZB.3_1,Farg'ona,6703,6701.7461,103734.0,15.475757123675965,15.478652546786591
1997,UZB.4_1,Jizzax,21362,21374.306,39391.0,1.8439752832131824,1.842913637306262
