year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,parish,all,,6,0.4867732963173734,0.4453243450276915,0.6782255005718135,2077.0,
1993,adm1,parish,all,,6,0.4404523322910061,0.3414322165113224,0.4065804830280505,2722.0,
1994,adm1,parish,all,,6,0.44367386731584957,0.3458337526207363,0.42150181045550666,2713.0,
1995,adm1,parish,all,,6,0.4219740966740877,0.3094055539652726,0.3828953146696895,2944.0,
1996,adm1,parish,all,,6,0.4188128125038819,0.30269057345069916,0.3663763787315891,3026.0,
1997,adm1,parish,all,,6,0.4147557694967434,0.2966207304120982,0.356469363478945,3046.0,
1998,adm1,parish,all,,6,0.3933084049002702,0.26207910127858436,0.290862746278202,3208.0,
1999,adm1,parish,all,,6,0.3911672502779784,0.2564511412737964,0.2872377956170237,3296.0,
2000,adm1,parish,all,,6,0.3795480133359892,0.24000751330256145,0.2614659315347174,3361.0,
2001,adm1,parish,all,,6,0.37907612509910016,0.23936444664158663,0.26095571004015705,3364.0,
2002,adm1,parish,all,,6,0.3891540398857152,0.2548853785679692,0.28953611292935444,3314.0,
2003,adm1,parish,all,,6,0.39723749381615137,0.2694034174563766,0.3267393762194873,3272.0,
2004,adm1,parish,all,,6,0.389288822052285,0.25645567985156253,0.3007681711799576,3315.0,
2005,adm1,parish,all,,6,0.37890518191267053,0.2411232988319369,0.27545414605613655,3399.0,
2006,adm1,parish,all,,6,0.37866429326026263,0.24075765383422998,0.27466959268884555,3400.0,
2007,adm1,parish,all,,6,0.3854793120051898,0.2512047219151409,0.29413530800930976,3376.0,
2008,adm1,parish,all,,6,0.3959284103667533,0.2659386324002766,0.3183914747211815,3321.0,
2009,adm1,parish,all,,6,0.38960333061403807,0.25622839090560756,0.29794397623756935,3373.0,
2010,adm1,parish,all,,6,0.394838034860151,0.26505980272815366,0.32006785196239684,3351.0,
2011,adm1,parish,all,,6,0.3976001327966847,0.26949869816631766,0.3263038121320243,3369.0,
2012,adm1,parish,all,,6,0.3994422429607696,0.2736446897464639,0.34054293014894765,3380.0,
2013,adm1,parish,all,,6,0.40530484127239386,0.28004185713576024,0.3421381384309635,3319.0,
2014,adm1,parish,all,,6,0.40493186609792864,0.27958285471673755,0.3409234065375665,3327.9500007629395,
2015,adm1,parish,all,,6,0.4095959872996888,0.28657401724595727,0.3536021835211155,3335.397229194641,
2016,adm1,parish,all,,6,0.4092790843675085,0.28583831924686864,0.3531848736327622,3339.397229194641,
2017,adm1,parish,all,,6,0.4002086166282708,0.2756839140024761,0.3310782279100506,3650.9630365371704,
2018,adm1,parish,all,,6,0.40009643262170536,0.2762543135798688,0.3328629600673059,3671.9554624557495,
2019,adm1,parish,all,,6,0.40073727683750016,0.27716524131194464,0.33373662577226715,3677.138794898987,
2020,adm1,parish,all,,6,0.39362624574873717,0.26942316610995787,0.3238832240751566,3771.8130464553833,
2021,adm1,parish,all,,6,0.3929633889867894,0.26806471860817027,0.323103279944159,3780.1463804244995,
2022,adm1,parish,all,,6,0.39118656080252956,0.2664127766202719,0.3217344771074684,3799.6463804244995,
1992,pixel,pixel (1 km),all,lit_only,231,0.4737477255532143,0.4013897128612125,0.397178660500309,2077.0,0.5818639798488665
1993,pixel,pixel (1 km),all,lit_only,284,0.43835311649470654,0.3550835987586877,0.31937154902759235,2722.0,0.7153652392947103
1994,pixel,pixel (1 km),all,lit_only,281,0.4402055215890801,0.35625682509772616,0.3246593723936336,2713.0,0.707808564231738
1995,pixel,pixel (1 km),all,lit_only,307,0.4248490829910778,0.33631818470534575,0.29912892721349676,2944.0,0.7732997481108312
1996,pixel,pixel (1 km),all,lit_only,317,0.4263366282960921,0.3409707340903112,0.2982280082648049,3026.0,0.7984886649874056
1997,pixel,pixel (1 km),all,lit_only,328,0.4379914482007592,0.3579288280218202,0.3238388704370876,3046.0,0.8261964735516373
1998,pixel,pixel (1 km),all,lit_only,358,0.44524512740495137,0.3692124781988391,0.33460981314517857,3208.0,0.9017632241813602
1999,pixel,pixel (1 km),all,lit_only,355,0.44026904143306433,0.35645495871186433,0.32262648293580765,3296.0,0.8942065491183879
2000,pixel,pixel (1 km),all,lit_only,372,0.4465188931865516,0.3663560533661165,0.3363570303511122,3361.0,0.9370277078085643
2001,pixel,pixel (1 km),all,lit_only,369,0.4418890918992424,0.3595913815004874,0.3261249969851373,3364.0,0.929471032745592
2002,pixel,pixel (1 km),all,lit_only,344,0.42433439530673245,0.33278422382188744,0.2916879516321658,3314.0,0.8664987405541562
2003,pixel,pixel (1 km),all,lit_only,329,0.42100237067203716,0.3251283114040701,0.290273471346336,3272.0,0.8287153652392947
2004,pixel,pixel (1 km),all,lit_only,343,0.4305001121327652,0.33832757661241475,0.30749444358326694,3315.0,0.8639798488664987
2005,pixel,pixel (1 km),all,lit_only,360,0.4398360628943154,0.3508492125239342,0.32893767156214526,3399.0,0.906801007556675
2006,pixel,pixel (1 km),all,lit_only,363,0.44397018311456815,0.35696707009504003,0.3390033182403466,3400.0,0.9143576826196473
2007,pixel,pixel (1 km),all,lit_only,341,0.42465010910202783,0.32720413232021683,0.29819330464803934,3376.0,0.8589420654911839
2008,pixel,pixel (1 km),all,lit_only,316,0.40483364397638355,0.298850545329882,0.26257183857363986,3321.0,0.7959697732997482
2009,pixel,pixel (1 km),all,lit_only,324,0.4058362889027973,0.30032079759574837,0.2670114377764663,3373.0,0.8161209068010076
2010,pixel,pixel (1 km),all,lit_only,304,0.3885593852581317,0.27592765617968673,0.24110007802230066,3351.0,0.7657430730478589
2011,pixel,pixel (1 km),all,lit_only,297,0.3829708982573332,0.26634589863032543,0.23448120934611538,3369.0,0.7481108312342569
2012,pixel,pixel (1 km),all,lit_only,292,0.37562211234497855,0.25672417103267675,0.22541097547342648,3380.0,0.7355163727959698
2013,pixel,pixel (1 km),all,lit_only,283,0.38113570331222846,0.26147918081398414,0.23900531020826782,3319.0,0.7128463476070529
2014,pixel,pixel (1 km),all,lit_only,283,0.38103976090980796,0.2608550417959019,0.2388258507915289,3327.9500007629395,0.7128463476070529
2015,pixel,pixel (1 km),all,lit_only,277,0.3791557659127667,0.2555014854755566,0.23688354900081185,3335.397229194641,0.6977329974811083
2016,pixel,pixel (1 km),all,lit_only,277,0.3788587200866711,0.254843557001681,0.23647094314841954,3339.397229194641,0.6977329974811083
2017,pixel,pixel (1 km),all,lit_only,311,0.4211682129616774,0.3033993488968069,0.3243991923117098,3650.9630365371704,0.783375314861461
2018,pixel,pixel (1 km),all,lit_only,299,0.4006082381559737,0.2737624159657447,0.2792308376968643,3671.9554624557495,0.7531486146095718
2019,pixel,pixel (1 km),all,lit_only,299,0.40128216964570274,0.2748082030233871,0.28012734517260307,3677.138794898987,0.7531486146095718
2020,pixel,pixel (1 km),all,lit_only,317,0.41278619865545485,0.2919590364323154,0.3090695930951647,3771.8130464553833,0.7984886649874056
2021,pixel,pixel (1 km),all,lit_only,318,0.41272669967149866,0.2919016665447961,0.30910503633883524,3780.1463804244995,0.801007556675063
2022,pixel,pixel (1 km),all,lit_only,321,0.41451810697832525,0.29389567681815804,0.3114170640252586,3799.6463804244995,0.8085642317380353
1992,pixel,pixel (1 km),all,zeros_included,397,0.6937927571858753,0.9429082830266093,,2077.0,0.5818639798488665
1993,pixel,pixel (1 km),all,zeros_included,397,0.5982173427821074,0.6900456412846723,,2722.0,0.7153652392947103
1994,pixel,pixel (1 km),all,zeros_included,397,0.603772673971112,0.7018384364511709,,2713.0,0.707808564231738
1995,pixel,pixel (1 km),all,zeros_included,397,0.5552359407512868,0.593406717805339,,2944.0,0.7732997481108312
1996,pixel,pixel (1 km),all,zeros_included,397,0.5419363001759727,0.566005240900221,,3026.0,0.7984886649874056
1997,pixel,pixel (1 km),all,zeros_included,397,0.5356705163976043,0.5488515003248668,,3046.0,0.8261964735516373
1998,pixel,pixel (1 km),all,zeros_included,397,0.4997424574583691,0.47261577248532904,,3208.0,0.9017632241813602
1999,pixel,pixel (1 km),all,zeros_included,397,0.49948491110513316,0.46827344992363884,,3296.0,0.8942065491183879
2000,pixel,pixel (1 km),all,zeros_included,397,0.48137286716724725,0.4313984797801602,,3361.0,0.9370277078085643
2001,pixel,pixel (1 km),all,zeros_included,397,0.48125207786100854,0.43273101814715065,,3364.0,0.929471032745592
2002,pixel,pixel (1 km),all,zeros_included,397,0.501186478552937,0.4760788471356796,,3314.0,0.8664987405541562
2003,pixel,pixel (1 km),all,zeros_included,397,0.5201757681387915,0.5130068413258885,,3272.0,0.8287153652392947
2004,pixel,pixel (1 km),all,zeros_included,397,0.5079635729509784,0.48453341013366535,,3315.0,0.8639798488664987
2005,pixel,pixel (1 km),all,zeros_included,397,0.49204277743565106,0.4486814617609689,,3399.0,0.906801007556675
2006,pixel,pixel (1 km),all,zeros_included,397,0.4915898651652095,0.4465005165173794,,3400.0,0.9143576826196473
2007,pixel,pixel (1 km),all,zeros_included,397,0.5058077763319684,0.4792579357238906,,3376.0,0.8589420654911839
2008,pixel,pixel (1 km),all,zeros_included,397,0.5262655705202448,0.5270446124301603,,3321.0,0.7959697732997482
2009,pixel,pixel (1 km),all,zeros_included,397,0.5150905733110991,0.5035135624906093,,3373.0,0.8161209068010076
2010,pixel,pixel (1 km),all,zeros_included,397,0.5317935846812898,0.5428362354606556,,3351.0,0.7657430730478589
2011,pixel,pixel (1 km),all,zeros_included,397,0.5383938457995667,0.5565500405148162,,3369.0,0.7481108312342569
2012,pixel,pixel (1 km),all,zeros_included,397,0.540759840817969,0.5639066494515854,,3380.0,0.7355163727959698
2013,pixel,pixel (1 km),all,zeros_included,397,0.5588448464417144,0.5999685638579366,,3319.0,0.7128463476070529
2014,pixel,pixel (1 km),all,zeros_included,397,0.5587764542505684,0.5993444248398545,,3327.9500007629395,0.7128463476070529
2015,pixel,pixel (1 km),all,zeros_included,397,0.5668164915814518,0.6154202599754082,,3335.397229194641,0.6977329974811083
2016,pixel,pixel (1 km),all,zeros_included,397,0.5666092329068209,0.6147623315015328,,3339.397229194641,0.6977329974811083
2017,pixel,pixel (1 km),all,zeros_included,397,0.5465574665770319,0.5475427174047629,,3650.9630365371704,0.783375314861461
2018,pixel,pixel (1 km),all,zeros_included,397,0.5485689249587811,0.5572551232622487,,3671.9554624557495,0.7531486146095718
