year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
1992,all,lit_only,theil_l,municipality,0.4806737433091276,0.13320753463958201,0.34746620866954514,0.277126713272363,0.7228732867276361,,4.440892098500626e-16,326
1993,all,lit_only,theil_l,municipality,0.3895002850109378,0.11037642373775694,0.2791238612731792,0.28337957117196305,0.7166204288280326,,1.6653345369377348e-15,332
1994,all,lit_only,theil_l,municipality,0.41948988597308967,0.1105917148249829,0.3088981711481047,0.2636338050640805,0.7363661949359145,,2.1094237467877974e-15,334
1995,all,lit_only,theil_l,municipality,0.37661587381857653,0.10743040866068951,0.2691854651578842,0.2852519400508352,0.7147480599491574,,2.7755575615628914e-15,333
1996,all,lit_only,theil_l,municipality,0.3615377516100239,0.10523329829774751,0.2563044533122732,0.29107139663594084,0.7089286033640504,,3.164135620181696e-15,332
1997,all,lit_only,theil_l,municipality,0.43921821129549893,0.11016867547426443,0.3290495358212314,0.25082902448265,0.749170975517343,,3.0531133177191805e-15,334
1998,all,lit_only,theil_l,municipality,0.4287286359832537,0.11055596552295484,0.3181726704602955,0.25786932862416306,0.7421306713758291,,3.3861802251067274e-15,335
1999,all,lit_only,theil_l,municipality,0.43881997901877023,0.11185681305919876,0.3269631659595684,0.2549036470703039,0.7450963529296891,,3.0531133177191805e-15,336
2000,all,lit_only,theil_l,municipality,0.4288699696095477,0.1087979984170331,0.3200719711925121,0.25368528021695036,0.7463147197830438,,2.55351295663786e-15,336
2001,all,lit_only,theil_l,municipality,0.409140023631782,0.1083791866988012,0.3007608369329787,0.26489509810543577,0.7351049018945592,,2.0539125955565396e-15,336
2002,all,lit_only,theil_l,municipality,0.39991486516239905,0.10726736889687771,0.2926474962655189,0.2682255105804035,0.7317744894195903,,2.4424906541753444e-15,334
2003,all,lit_only,theil_l,municipality,0.4251202810418095,0.1084646608597663,0.3166556201820406,0.25513875883305387,0.74486124116694,,2.609024107869118e-15,334
2004,all,lit_only,theil_l,municipality,0.4503613870866045,0.11893279234807418,0.3314285947385279,0.26408301368252823,0.7359169863174664,,2.3869795029440866e-15,335
2005,all,lit_only,theil_l,municipality,0.429168457854479,0.11738418442752546,0.31178427342695203,0.2735154046836492,0.7264845953163473,,1.4988010832439613e-15,336
2006,all,lit_only,theil_l,municipality,0.40739825446427425,0.10919224824360517,0.29820600622066706,0.2680233580951204,0.7319766419048747,,1.9984014443252818e-15,335
2007,all,lit_only,theil_l,municipality,0.401669980085773,0.09840938006691696,0.3032606000188532,0.24500058492273316,0.7549994150772598,,2.831068712794149e-15,335
2008,all,lit_only,theil_l,municipality,0.3596559613361291,0.09140328617894267,0.26825267515718276,0.25414089019789254,0.7458591098020972,,3.6637359812630166e-15,334
2009,all,lit_only,theil_l,municipality,0.35969629000317616,0.09449088106598127,0.26520540893719136,0.26269629043198334,0.7373037095680068,,3.552713678800501e-15,335
2010,all,lit_only,theil_l,municipality,0.37039040956052816,0.0983045787239106,0.27208583083661453,0.2654080024386969,0.7345919975612949,,2.9976021664879227e-15,336
2011,all,lit_only,theil_l,municipality,0.34973788464899247,0.0981522080222678,0.2515856766267198,0.28064505542708457,0.7193549445729016,,4.829470157119431e-15,335
2012,all,lit_only,theil_l,municipality,0.3558306348655331,0.10452640269753992,0.2513042321679871,0.29375324228910193,0.7062467577108809,,6.106226635438361e-15,335
2013,all,lit_only,theil_l,municipality,0.3719091501568571,0.11003852899920012,0.26187062115765136,0.29587475584504996,0.7041252441549349,,5.6066262743570405e-15,335
2014,all,lit_only,theil_l,municipality,0.39926312545519055,0.10788450927551843,0.29137861617966554,0.2702090486130464,0.7297909513869371,,6.6058269965196814e-15,336
