year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
1992,all,zeros_included,district,Anegada,40,0.0,0.2247191011235955,0.0,0.0,0.0
1992,all,zeros_included,district,Jost Van Dyke,12,0.0,0.06741573033707865,0.0,0.0,0.0
1992,all,zeros_included,district,Other Islands,16,0.25,0.0898876404494382,0.00293470286133529,2.0794415416798357,0.00610254304234728
1992,all,zeros_included,district,Tortola,83,15.578313253012048,0.46629213483146065,0.9486426999266324,0.29440341102100387,0.2792836466985752
1992,all,zeros_included,district,Virgin Gorda,27,2.4444444444444446,0.15168539325842698,0.04842259721203228,0.8626057740740167,0.04176961195075943
1992,all,lit_only,district,Other Islands,2,2.0,0.022222222222222223,0.00293470286133529,0.0,0.0
1992,all,lit_only,district,Tortola,74,17.472972972972972,0.8222222222222222,0.9486426999266324,0.1796278964285758,0.17040269265014563
1992,all,lit_only,district,Virgin Gorda,14,4.714285714285714,0.15555555555555556,0.04842259721203228,0.20582623768494623,0.00996664100308617
1993,all,zeros_included,district,Anegada,40,0.825,0.2247191011235955,0.01854974704890388,1.3163158222427969,0.024417325539073803
1993,all,zeros_included,district,Jost Van Dyke,12,2.8333333333333335,0.06741573033707865,0.01911186059584036,0.3443138667231076,0.00658047862202679
1993,all,zeros_included,district,Other Islands,16,1.0,0.0898876404494382,0.008993816750983699,1.4391156831212786,0.012943142737459504
1993,all,zeros_included,district,Tortola,83,18.83132530120482,0.46629213483146065,0.8785834738617201,0.24278017784299655,0.21330265203406612
1993,all,zeros_included,district,Virgin Gorda,27,4.925925925925926,0.15168539325842698,0.07476110174255199,0.3734308205381578,0.027918099568057887
1993,all,lit_only,district,Anegada,12,2.75,0.09523809523809523,0.01854974704890388,0.11234301791686097,0.0020839345650682474
1993,all,lit_only,district,Jost Van Dyke,9,3.7777777777777777,0.07142857142857142,0.01911186059584036,0.05663179427132681,0.0010823389574059086
1993,all,lit_only,district,Other Islands,4,4.0,0.031746031746031744,0.008993816750983699,0.052821322001388005,0.0004750652906251872
1993,all,lit_only,district,Tortola,79,19.78481012658228,0.626984126984127,0.8785834738617201,0.19338742251342023,0.16990699347300495
1993,all,lit_only,district,Virgin Gorda,22,6.045454545454546,0.1746031746031746,0.07476110174255199,0.1686364078921445,0.012607443647923114
1994,all,zeros_included,district,Anegada,40,1.0,0.2247191011235955,0.02170374389582203,1.031225819000148,0.022381461074338534
1994,all,zeros_included,district,Jost Van Dyke,12,3.0,0.06741573033707865,0.019533369506239826,0.24867653282808555,0.004857490603261573
1994,all,zeros_included,district,Other Islands,16,1.0625,0.0898876404494382,0.009224091155724362,1.2938371975918275,0.01193447225125397
