year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,district,all,,3,0.2648865531024638,0.16690863685912516,0.2292931085636049,13042.0,
1993,adm1,district,all,,3,0.23075859495362172,0.12292551446194935,0.1560592071752354,14124.0,
1994,adm1,district,all,,3,0.23072569722825964,0.1230423817123741,0.15626126020008269,14163.0,
1995,adm1,district,all,,3,0.2271313461699509,0.11893903144210653,0.149995081550944,14208.0,
1996,adm1,district,all,,3,0.22796408581712835,0.11879032759976059,0.14961237905054114,14407.0,
1997,adm1,district,all,,3,0.22907106845818204,0.11950336632788644,0.15061031985083922,14432.0,
1998,adm1,district,all,,3,0.22847706629712428,0.11865166513805962,0.1492926891090748,14449.0,
1999,adm1,district,all,,3,0.2269157908843873,0.1170056102684754,0.14682776453689225,14485.0,
2000,adm1,district,all,,3,0.22703898716932547,0.11722059645667521,0.1471629842642432,14488.0,
2001,adm1,district,all,,3,0.22682933015878692,0.11699772703774401,0.14682952430252613,14488.0,
2002,adm1,district,all,,3,0.2265045286720413,0.11659938708633848,0.14622552140075984,14490.0,
2003,adm1,district,all,,3,0.2260177689670413,0.11600414586797496,0.1453245152689771,14493.0,
2004,adm1,district,all,,3,0.22536958072437674,0.1152147032444366,0.1441324197769247,14497.0,
2005,adm1,district,all,,3,0.22415044510097548,0.11387941247787875,0.14214278079333637,14513.0,
2006,adm1,district,all,,3,0.22463502903782318,0.11446479172436258,0.1430224414963097,14510.0,
2007,adm1,district,all,,3,0.22463502903782318,0.11446479172436258,0.1430224414963097,14510.0,
2008,adm1,district,all,,3,0.22472190485978993,0.11474085083709053,0.1434613121040298,14503.0,
2009,adm1,district,all,,3,0.223268288002054,0.11298748353658289,0.1408289258202383,14512.0,
2010,adm1,district,all,,3,0.22136692754333764,0.11058894261497837,0.13723556491605127,14529.0,
2011,adm1,district,all,,3,0.21944559133648123,0.1083325953858712,0.13389930569542807,14541.0,
2012,adm1,district,all,,3,0.21947609182900552,0.1082386274657715,0.13374316893907567,14546.0,
2013,adm1,district,all,,3,0.2183597839010989,0.10694299254944106,0.13183983576586625,14553.0,
2014,adm1,district,all,,3,0.215773515159577,0.10399733808230713,0.12754587901424683,14603.045425415039,
2015,adm1,district,all,,3,0.21305935126386522,0.10094454360522323,0.12313790698413399,14623.371813774109,
2016,adm1,district,all,,3,0.21303724922255896,0.1009538596607841,0.12315592285229512,14625.814120292664,
2017,adm1,district,all,,3,0.21476717497337927,0.10289136521864062,0.12594820496800002,14614.814120292664,
2018,adm1,district,all,,3,0.2144945234572193,0.10279152100028047,0.1258319877285289,14613.560671806335,
2019,adm1,district,all,,3,0.2139087295221278,0.10274069343173678,0.12583880102431916,14634.166724205017,
2020,adm1,district,all,,3,0.2140397894177808,0.10281379512827893,0.1259348695043238,14638.500058174133,
2021,adm1,district,all,,3,0.21637235934151255,0.10555101905136159,0.12992320951893366,14631.33339214325,
2022,adm1,district,all,,3,0.21637235934151255,0.10555101905136159,0.12992320951893366,14631.33339214325,
1992,adm2,admin-2 unit,all,,20,0.28611516831357564,0.17130801848349997,,13042.0,
1993,adm2,admin-2 unit,all,,20,0.2620741970349778,0.14216600070746654,0.260774591971422,14124.0,
1994,adm2,admin-2 unit,all,,20,0.2623730756751361,0.1471512747924717,,14163.0,
1995,adm2,admin-2 unit,all,,20,0.26047657361726073,0.14485663886770822,,14208.0,
1996,adm2,admin-2 unit,all,,20,0.25806595702215396,0.1424821790491108,,14407.0,
1997,adm2,admin-2 unit,all,,20,0.2579627086442495,0.14252254353350424,,14432.0,
1998,adm2,admin-2 unit,all,,20,0.25763452880361437,0.1422174687599371,,14449.0,
1999,adm2,admin-2 unit,all,,20,0.25606877872316747,0.13867791432938925,0.3027405282944466,14485.0,
2000,adm2,admin-2 unit,all,,20,0.2564867542525948,0.14114746554365054,,14488.0,
2001,adm2,admin-2 unit,all,,20,0.2560285566324898,0.13862763104888373,0.30267027555383985,14488.0,
2002,adm2,admin-2 unit,all,,20,0.25596467809282686,0.1385282185874992,0.30246922243998653,14490.0,
2003,adm2,admin-2 unit,all,,20,0.2548825976874196,0.13479194141149528,0.24830979725755525,14493.0,
2004,adm2,admin-2 unit,all,,20,0.2532790245354637,0.13031516574861876,0.2148580794074076,14497.0,
2005,adm2,admin-2 unit,all,,20,0.252919791313579,0.1299024250279754,0.21412424308268985,14513.0,
2006,adm2,admin-2 unit,all,,20,0.2530150656079888,0.13004847012801501,0.2144173509381679,14510.0,
2007,adm2,admin-2 unit,all,,20,0.2530150656079888,0.13004847012801501,0.2144173509381679,14510.0,
2008,adm2,admin-2 unit,all,,20,0.256074238258446,0.14052560991872823,,14503.0,
2009,adm2,admin-2 unit,all,,20,0.25578682776819694,0.14008924936227088,,14512.0,
2010,adm2,admin-2 unit,all,,20,0.25140788375248957,0.12663670232436455,0.19918156271688708,14529.0,
2011,adm2,admin-2 unit,all,,20,0.25464932742397983,0.1385777487630889,,14541.0,
2012,adm2,admin-2 unit,all,,20,0.25458478250821304,0.13853280481894942,,14546.0,
2013,adm2,admin-2 unit,all,,20,0.2521704997733545,0.1302597940699299,0.2286828963457998,14553.0,
2014,adm2,admin-2 unit,all,,20,0.25143998655679356,0.12808436003228138,0.21665890700057777,14603.045425415039,
2015,adm2,admin-2 unit,all,,20,0.2482904579941987,0.12108465233202653,0.18268853265766227,14623.371813774109,
2016,adm2,admin-2 unit,all,,20,0.24833300218129306,0.12110554042407695,0.18271460716526705,14625.814120292664,
2017,adm2,admin-2 unit,all,,20,0.2535601990658638,0.13662075268084153,,14614.814120292664,
2018,adm2,admin-2 unit,all,,20,0.25366558709467935,0.1366504591293099,,14613.560671806335,
2019,adm2,admin-2 unit,all,,20,0.25367779470403296,0.13665159305727995,,14634.166724205017,
2020,adm2,admin-2 unit,all,,20,0.25362297824893565,0.13662803244468397,,14638.500058174133,
2021,adm2,admin-2 unit,all,,20,0.2538815088339934,0.13710408572840815,,14631.33339214325,
2022,adm2,admin-2 unit,all,,20,0.2538815088339934,0.13710408572840815,,14631.33339214325,
1992,pixel,pixel (1 km),all,lit_only,353,0.3199495376237069,0.19333235905081314,0.2997916927460198,13042.0,0.9832869080779945
1993,pixel,pixel (1 km),all,lit_only,356,0.28708207243070194,0.16061172945211966,0.2377515516369708,14124.0,0.9916434540389972
1994,pixel,pixel (1 km),all,lit_only,355,0.2831559717693295,0.15569910244724844,0.2274867270841556,14163.0,0.9888579387186629
1995,pixel,pixel (1 km),all,lit_only,356,0.2823100927472415,0.1540686658048097,0.22369617949776857,14208.0,0.9916434540389972
1996,pixel,pixel (1 km),all,lit_only,356,0.2794176597986464,0.15089091923207573,0.21701272618343104,14407.0,0.9916434540389972
1997,pixel,pixel (1 km),all,lit_only,355,0.2773394803410263,0.14883822216795645,0.21348209608926116,14432.0,0.9888579387186629
1998,pixel,pixel (1 km),all,lit_only,355,0.27662365639612463,0.14821746403295544,0.21270114130071505,14449.0,0.9888579387186629
1999,pixel,pixel (1 km),all,lit_only,358,0.2818112746185131,0.1551843309249753,0.23163492082555837,14485.0,0.9972144846796658
