iso3,gid,name,area_km2,pixels_total,pixels_classified,pixels_unclassified,hyper_arid_share,arid_share,semi_arid_share,dry_subhumid_share,humid_share,desert_share,dryland_share,level
VNM,VNM.1_1,An Giang,3524.7366,4192,4192,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.7_1,Bà Rịa - Vũng Tàu,1848.5402,2267,2199,68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.3_1,Bắc Giang,3897.4252,4887,4887,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.4_1,Bắc Kạn,4857.0712,6128,6128,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.2_1,Bạc Liêu,2477.4592,2938,2936,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.5_1,Bắc Ninh,818.7936,1025,1025,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.6_1,Bến Tre,2272.9482,2780,2700,80,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.8_1,Bình Định,6008.8822,7313,7243,70,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.9_1,Bình Dương,2695.3495,3213,3213,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.10_1,Bình Phước,6857.7115,8190,8190,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.11_1,Bình Thuận,7924.2559,9451,9443,8,0.0,0.0,0.0,0.0038110530011592784,0.9961889469988405,0.0,0.0038110530011592784,adm1
VNM,VNM.13_1,Cà Mau,5129.0244,6116,6074,42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.12_1,Cần Thơ,1443.7886,1715,1715,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.14_1,Cao Bằng,6706.2881,8490,8490,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.19_1,Đà Nẵng,975.181,1191,1186,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.15_1,Đắk Lắk,13021.4392,15613,15613,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.16_1,Đắk Nông,6508.2932,7786,7786,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.20_1,Điện Biên,9494.6937,11934,11934,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.17_1,Đồng Nai,5842.5293,6986,6961,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.18_1,Đồng Tháp,3389.6191,4032,4032,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.21_1,Gia Lai,15522.5602,18685,18685,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.26_1,Hà Giang,7919.1108,10027,10027,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
VNM,VNM.28_1,Hà Nam,859.4994,1072,1072,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,adm1
