year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,kingdom,all,,3,0.6666666666666667,1.0986122886681096,nan,103.0,nan
1993,adm1,kingdom,all,,3,0.16314534793773672,0.0595598377756244,0.06807252792359002,237.0,nan
1994,adm1,kingdom,all,,3,0.14198723737062102,0.04490498689533268,0.0500750023586567,256.0,nan
1995,adm1,kingdom,all,,3,0.2691360739682538,0.12833089364056788,0.14470946980089586,394.0,nan
1996,adm1,kingdom,all,,3,0.34716692327097687,0.21603866463748467,0.2524092571047587,430.0,nan
1997,adm1,kingdom,all,,3,0.3396597452540375,0.20571064581465956,0.2351791977209337,435.0,nan
1998,adm1,kingdom,all,,3,0.25623633254012,0.12571003386203444,0.15175354790355966,485.0,nan
1999,adm1,kingdom,all,,3,0.2588293116765532,0.129093838176926,0.15698437813596072,496.0,nan
2000,adm1,kingdom,all,,3,0.24551905800198215,0.11250176815878885,0.13193053471452543,517.0,nan
2001,adm1,kingdom,all,,3,0.24483857837991252,0.10910301514365386,0.12529595727894852,508.0,nan
2002,adm1,kingdom,all,,3,0.2519240178180855,0.11286538180243344,0.12701559882785624,500.0,nan
2003,adm1,kingdom,all,,3,0.2598614725413222,0.12124351927887832,0.13869916187256076,503.0,nan
2004,adm1,kingdom,all,,3,0.26470473181304555,0.12801691481898686,0.14979845360995836,504.0,nan
2005,adm1,kingdom,all,,3,0.28029970837080587,0.1414595422489894,0.16441947337509655,495.0,nan
2006,adm1,kingdom,all,,3,0.3143200936528985,0.17662735260116413,0.1847652756042921,453.0,nan
2007,adm1,kingdom,all,,3,0.3183072074446931,0.1803578935165267,0.1911942241880768,443.0,nan
2008,adm1,kingdom,all,,3,0.2951101773540077,0.1532061250388455,0.16289568890292622,434.0,nan
2009,adm1,kingdom,all,,3,0.2635313370622916,0.12459386261016638,0.14270581795022164,461.0,nan
2010,adm1,kingdom,all,,3,0.2657714706475096,0.1453060047682037,0.18579513702312972,477.0,nan
2011,adm1,kingdom,all,,3,0.2787035280605099,0.15231024170505425,0.19213917735604155,469.0,nan
2012,adm1,kingdom,all,,3,0.30542310476230217,0.16499602129977156,0.1861760009830407,476.0,nan
2013,adm1,kingdom,all,,3,0.21132630795505358,0.0801797258160818,0.08896785002034208,421.0,nan
2014,adm1,kingdom,all,,3,0.19033492956355813,0.06757974101768205,0.07555671414964295,394.0,nan
2015,adm1,kingdom,all,,3,0.18457296550389768,0.0645150440943535,0.07225599566224328,387.0,nan
2016,adm1,kingdom,all,,3,0.18457296550389768,0.0645150440943535,0.07225599566224328,387.0,nan
2017,adm1,kingdom,all,,3,0.20300168335321267,0.07491390515003513,0.08338784797679541,410.0,nan
2018,adm1,kingdom,all,,3,0.17895427021453214,0.06169052418000767,0.06919422409367171,380.3333339691162,nan
2019,adm1,kingdom,all,,3,0.17895427021453214,0.06169052418000767,0.06919422409367171,380.3333339691162,nan
2020,adm1,kingdom,all,,3,0.23615410144388105,0.09798026708136726,0.10768668426253278,456.3333339691162,nan
2021,adm1,kingdom,all,,3,0.2790918634897055,0.15373031395107828,0.15060307622209573,475.6666679382324,nan
2022,adm1,kingdom,all,,3,0.2778593914001468,0.15322449360601403,0.14997795033943315,478.6666679382324,nan
1992,adm2,district,all,,5,0.5915440090513802,0.7157101468080316,nan,103.0,nan
1993,adm2,district,all,,5,0.23524451673780944,0.08987691205081341,0.09417461212132258,237.0,nan
1994,adm2,district,all,,5,0.21453363576927909,0.07764468569908323,0.08131533562873144,256.0,nan
1995,adm2,district,all,,5,0.2702973213794393,0.12277850273835032,0.1421887848852726,394.0,nan
1996,adm2,district,all,,5,0.3226021165509154,0.18034879852328622,0.22982513223455037,430.0,nan
1997,adm2,district,all,,5,0.31714524379908315,0.17303110135005922,0.2166798457973826,435.0,nan
1998,adm2,district,all,,5,0.24818141352773448,0.1118723267753609,0.13729611801688102,485.0,nan
1999,adm2,district,all,,5,0.24469670826165868,0.11090380517816893,0.13814240397091787,496.0,nan
2000,adm2,district,all,,5,0.2278907215310797,0.09471440705667246,0.11575281382226078,517.0,nan
2001,adm2,district,all,,5,0.23511899917536727,0.09766594494201095,0.11618974176698108,508.0,nan
2002,adm2,district,all,,5,0.24398942068634066,0.10211213233984942,0.12003319224903103,500.0,nan
2003,adm2,district,all,,5,0.24374762876168998,0.10376916430441428,0.12519321572464703,503.0,nan
2004,adm2,district,all,,5,0.2455826410922921,0.10739117185828295,0.1321775521552612,504.0,nan
2005,adm2,district,all,,5,0.2580730161497802,0.11724919344693213,0.14527304867505333,495.0,nan
2006,adm2,district,all,,5,0.3002779112026228,0.15320738414979268,0.180244959451946,453.0,nan
2007,adm2,district,all,,5,0.30250669777457184,0.15406149478599257,0.18291775625270887,443.0,nan
2008,adm2,district,all,,5,0.28373805454242995,0.13378814433038705,0.1559529469813724,434.0,nan
2009,adm2,district,all,,5,0.24849922296641402,0.10713540130207186,0.12889408872332875,461.0,nan
2010,adm2,district,all,,5,0.22369880561615574,0.10637683190725812,0.14302326086509104,477.0,nan
2011,adm2,district,all,,5,0.2357100073356102,0.11268834452553697,0.15079087194210686,469.0,nan
2012,adm2,district,all,,5,0.27289828917646886,0.13053004767844972,0.16261305257529624,476.0,nan
2013,adm2,district,all,,5,0.16740218191187983,0.05907946755103207,0.07139362238995767,421.0,nan
2014,adm2,district,all,,5,0.1857119583198681,0.06297657945798403,0.07129528570433562,394.0,nan
2015,adm2,district,all,,5,0.197176097317469,0.0680142265148654,0.07546798258616579,387.0,nan
2016,adm2,district,all,,5,0.197176097317469,0.0680142265148654,0.07546798258616579,387.0,nan
2017,adm2,district,all,,5,0.1740746637930417,0.05891888153121988,0.06960970113034698,410.0,nan
