year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,WSM.1_1,A'ana,190,192.5806,14.0,0.07368421052631578,0.07269683042166204
1992,WSM.2_1,Aiga-i-le-Tai,27,28.5326,0.0,0.0,0.0
1992,WSM.3_1,Atua,433,432.0792,29.0,0.06697459584295612,0.06711732489764848
1992,WSM.4_1,Fa'asaleleaga,251,255.4673,8.0,0.03187250996015936,0.03131515680544767
1992,WSM.5_1,Gaga'emauga,224,223.6674,0.0,0.0,0.0
1992,WSM.6_1,Gagaifomauga,323,322.7501,0.0,0.0,0.0
1992,WSM.7_1,Palauli,523,525.857,0.0,0.0,0.0
1992,WSM.8_1,Satupa'itea,165,165.4214,0.0,0.0,0.0
1992,WSM.9_1,Tuamasaga,442,441.1794,586.0,1.3257918552036199,1.328257797107316
1992,WSM.10_1,Va'a-o-Fonoti,33,31.9121,0.0,0.0,0.0
1992,WSM.11_1,Vaisigano,236,233.9125,0.0,0.0,0.0
1993,WSM.1_1,A'ana,190,192.5806,77.0,0.4052631578947368,0.3998325673191412
1993,WSM.2_1,Aiga-i-le-Tai,27,28.5326,4.0,0.14814814814814814,0.14019046413380518
1993,WSM.3_1,Atua,433,432.0792,7.0,0.016166281755196306,0.016200733595984115
1993,WSM.4_1,Fa'asaleleaga,251,255.4673,39.0,0.1553784860557769,0.1526613894265574
1993,WSM.5_1,Gaga'emauga,224,223.6674,0.0,0.0,0.0
1993,WSM.6_1,Gagaifomauga,323,322.7501,14.0,0.043343653250773995,0.04337721783690357
1993,WSM.7_1,Palauli,523,525.857,0.0,0.0,0.0
1993,WSM.8_1,Satupa'itea,165,165.4214,0.0,0.0,0.0
1993,WSM.9_1,Tuamasaga,442,441.1794,1142.0,2.583710407239819,2.5885160482876364
1993,WSM.10_1,Va'a-o-Fonoti,33,31.9121,0.0,0.0,0.0
1993,WSM.11_1,Vaisigano,236,233.9125,11.0,0.046610169491525424,0.04702612923304647
1994,WSM.1_1,A'ana,190,192.5806,85.0,0.4473684210526316,0.44137361327437663
1994,WSM.2_1,Aiga-i-le-Tai,27,28.5326,4.0,0.14814814814814814,0.14019046413380518
1994,WSM.3_1,Atua,433,432.0792,0.0,0.0,0.0
1994,WSM.4_1,Fa'asaleleaga,251,255.4673,50.0,0.199203187250996,0.19571973003404794
1994,WSM.5_1,Gaga'emauga,224,223.6674,0.0,0.0,0.0
1994,WSM.6_1,Gagaifomauga,323,322.7501,9.0,0.02786377708978328,0.027885354323723723
1994,WSM.7_1,Palauli,523,525.857,0.0,0.0,0.0
1994,WSM.8_1,Satupa'itea,165,165.4214,0.0,0.0,0.0
1994,WSM.9_1,Tuamasaga,442,441.1794,1161.0,2.6266968325791855,2.6315824273747337
1994,WSM.10_1,Va'a-o-Fonoti,33,31.9121,0.0,0.0,0.0
1994,WSM.11_1,Vaisigano,236,233.9125,21.0,0.08898305084745763,0.08977715580854327
1995,WSM.1_1,A'ana,190,192.5806,119.0,0.6263157894736842,0.6179230585841273
1995,WSM.2_1,Aiga-i-le-Tai,27,28.5326,6.0,0.2222222222222222,0.21028569620070775
1995,WSM.3_1,Atua,433,432.0792,0.0,0.0,0.0
