year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,XKO.1_1,Đakovica,1106,1108.7831,2639.0,2.3860759493670884,2.380086829669781
1992,XKO.2_1,Gnjilane,1361,1359.2442,3149.0,2.31373989713446,2.3167286031776815
1992,XKO.3_1,Kosovska Mitrovica,2068,2068.6327,3273.0,1.582688588007737,1.5822045317319633
1992,XKO.4_1,Pećki,1353,1356.0408,2351.0,1.737620103473762,1.7337236063703962
1992,XKO.5_1,Pristina,2174,2174.0576,8494.0,3.907083716651334,3.9069801326255154
1992,XKO.6_1,Prizren,1723,1714.8939,3712.0,2.154381892048752,2.1645653595176655
1992,XKO.7_1,Uroševac,1056,1054.9963,3334.0,3.1571969696969697,3.1602007018826295
1993,XKO.1_1,Đakovica,1106,1108.7831,3674.0,3.321880650994575,3.3135426344095396
1993,XKO.2_1,Gnjilane,1361,1359.2442,5428.0,3.988243938280676,3.993395636090332
1993,XKO.3_1,Kosovska Mitrovica,2068,2068.6327,4075.0,1.9705029013539652,1.9699002342828444
1993,XKO.4_1,Pećki,1353,1356.0408,3373.0,2.492978566149298,2.487388228110313
1993,XKO.5_1,Pristina,2174,2174.0576,10531.0,4.844066237350506,4.843937812182635
1993,XKO.6_1,Prizren,1723,1714.8939,5533.0,3.211259431224608,3.226438613742253
1993,XKO.7_1,Uroševac,1056,1054.9963,5118.0,4.846590909090909,4.851201917287132
1994,XKO.1_1,Đakovica,1106,1108.7831,3878.0,3.5063291139240507,3.4975281263582456
1994,XKO.2_1,Gnjilane,1361,1359.2442,5541.0,4.071271124173402,4.076530069929353
1994,XKO.3_1,Kosovska Mitrovica,2068,2068.6327,4160.0,2.011605415860735,2.0109901778200325
1994,XKO.4_1,Pećki,1353,1356.0408,3415.0,2.524020694752402,2.5183607468119535
1994,XKO.5_1,Pristina,2174,2174.0576,10939.0,5.031738730450782,5.031605329737522
1994,XKO.6_1,Prizren,1723,1714.8939,5648.0,3.278003482298317,3.2934981547833444
