year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
1992,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
1993,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
1993,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
1994,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
1994,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
1995,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
1995,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
1996,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
1996,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
1997,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
1997,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
1998,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
1998,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
1999,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
1999,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2000,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2000,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2001,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2001,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2002,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2002,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2003,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2003,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2004,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2004,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2005,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2005,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2006,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2006,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2007,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2007,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2008,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2008,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2009,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2009,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2010,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2010,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2011,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2011,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2012,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2012,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2013,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2013,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2014,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2014,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2015,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2015,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2016,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2016,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2017,Z04.13.5_1,Kinnaur,116,114.369,0.0,0.0,0.0
2017,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2018,Z04.13.5_1,Kinnaur,116,114.369,5.0,0.04310344827586207,0.04371815845907851
2018,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2019,Z04.13.5_1,Kinnaur,116,114.369,5.0,0.04310344827586207,0.04371815845907851
2019,Z04.13.7_1,Lahul & Spiti,188,193.2592,0.0,0.0,0.0
2020,Z04.13.5_1,Kinnaur,116,114.369,23.0,0.19827586206896552,0.20110352891176117
2020,Z04.13.7_1,Lahul & Spiti,188,193.2592,4.0,0.02127659574468085,0.020697593614707285
2021,Z04.13.5_1,Kinnaur,116,114.369,22.0,0.1896551724137931,0.19235989721994545
2021,Z04.13.7_1,Lahul & Spiti,188,193.2592,5.0,0.026595744680851064,0.025871992018384107
2022,Z04.13.5_1,Kinnaur,116,114.369,24.0,0.20689655172413793,0.20984716060357686
2022,Z04.13.7_1,Lahul & Spiti,188,193.2592,5.0,0.026595744680851064,0.025871992018384107
