year,level,level_label,scope,zeros,n,gini,theil_t,theil_l,sum_of_lights,lit_share
1992,adm1,state,all,,1,0.0,0.0,0.0,574.0,
1993,adm1,state,all,,1,0.0,0.0,0.0,808.0,
1994,adm1,state,all,,1,0.0,0.0,0.0,1124.0,
1995,adm1,state,all,,1,0.0,0.0,0.0,1514.0,
1996,adm1,state,all,,1,0.0,0.0,0.0,1966.0,
1997,adm1,state,all,,1,0.0,0.0,0.0,1966.0,
1998,adm1,state,all,,1,0.0,0.0,0.0,2255.0,
1999,adm1,state,all,,1,0.0,0.0,0.0,2971.0,
2000,adm1,state,all,,1,0.0,0.0,0.0,2772.0,
2001,adm1,state,all,,1,0.0,0.0,0.0,2576.0,
2002,adm1,state,all,,1,0.0,0.0,0.0,2556.0,
2003,adm1,state,all,,1,0.0,0.0,0.0,2684.0,
2004,adm1,state,all,,1,0.0,0.0,0.0,3180.0,
2005,adm1,state,all,,1,0.0,0.0,0.0,3435.0,
2006,adm1,state,all,,1,0.0,0.0,0.0,3805.0,
2007,adm1,state,all,,1,0.0,0.0,0.0,3961.0,
2008,adm1,state,all,,1,0.0,0.0,0.0,3960.0,
2009,adm1,state,all,,1,0.0,0.0,0.0,4620.0,
2010,adm1,state,all,,1,0.0,0.0,0.0,5449.0,
2011,adm1,state,all,,1,0.0,0.0,0.0,5730.0,
2012,adm1,state,all,,1,0.0,0.0,0.0,6186.0,
2013,adm1,state,all,,1,0.0,0.0,0.0,6492.0,
2014,adm1,state,all,,1,0.0,0.0,0.0,6809.278557062149,
2015,adm1,state,all,,1,0.0,0.0,0.0,6635.876181125641,
2016,adm1,state,all,,1,0.0,0.0,0.0,6776.992848396301,
2017,adm1,state,all,,1,0.0,0.0,0.0,7830.124129772186,
2018,adm1,state,all,,1,0.0,0.0,0.0,8033.332470536232,
2019,adm1,state,all,,1,0.0,0.0,0.0,8815.887085556984,
2020,adm1,state,all,,1,0.0,0.0,0.0,10050.116861104965,
2021,adm1,state,all,,1,0.0,0.0,0.0,11655.891964793205,
2022,adm1,state,all,,1,0.0,0.0,0.0,13516.767695784569,
1992,adm2,district,all,,14,0.9164143141817962,2.348005837416358,,574.0,
1993,adm2,district,all,,14,0.9116542272422479,2.266947880933076,,808.0,
1994,adm2,district,all,,14,0.8872430692078415,1.9917558542522922,,1124.0,
1995,adm2,district,all,,14,0.8519393548394536,1.7202708346893356,,1514.0,
1996,adm2,district,all,,14,0.8227365089228422,1.5406074465923756,,1966.0,
1997,adm2,district,all,,14,0.8169330718799579,1.5098584853938752,,1966.0,
1998,adm2,district,all,,14,0.8096338075947755,1.4608656969563019,,2255.0,
1999,adm2,district,all,,14,0.8205697999106074,1.4944377695811717,,2971.0,
2000,adm2,district,all,,14,0.8423090174204855,1.632816281651839,,2772.0,
2001,adm2,district,all,,14,0.8423202860319461,1.6613044626587745,,2576.0,
2002,adm2,district,all,,14,0.8365477464935547,1.6243056834617497,,2556.0,
2003,adm2,district,all,,14,0.8412842321708911,1.6515987127140883,,2684.0,
2004,adm2,district,all,,14,0.8322889473879556,1.5539232938269876,,3180.0,
2005,adm2,district,all,,14,0.8236113083234493,1.486332861575848,,3435.0,
2006,adm2,district,all,,14,0.8114056505641407,1.4099588510400265,,3805.0,
2007,adm2,district,all,,14,0.8044936111165479,1.3772338548031673,,3961.0,
2008,adm2,district,all,,14,0.8202359093082452,1.4732299591384463,,3960.0,
2009,adm2,district,all,,14,0.8158231345837754,1.4516075743695125,,4620.0,
2010,adm2,district,all,,14,0.8077833814165318,1.4122729027503,,5449.0,
2011,adm2,district,all,,14,0.8271312093469316,1.5386945720795027,,5730.0,
2012,adm2,district,all,,14,0.8215377060481333,1.5405506922767214,,6186.0,
2013,adm2,district,all,,14,0.8191703151607939,1.5299002155010952,,6492.0,
2014,adm2,district,all,,14,0.8096680484594179,1.4810785320592004,,6809.278557062149,
2015,adm2,district,all,,14,0.8364382088814184,1.617810385868461,,6635.876181125641,
2016,adm2,district,all,,14,0.8321348930136294,1.59821902260534,,6776.992848396301,
2017,adm2,district,all,,14,0.7973076849694105,1.4015991137913109,,7830.124129772186,
2018,adm2,district,all,,14,0.7939497753749041,1.3763480637618588,,8033.332470536232,
2019,adm2,district,all,,14,0.7924794545281815,1.3720736920358731,,8815.887085556984,
2020,adm2,district,all,,14,0.7802698403586761,1.3070220599527245,,10050.116861104965,
2021,adm2,district,all,,14,0.7790117079496688,1.2966322761851559,,11655.891964793205,
2022,adm2,district,all,,14,0.7674573326927236,1.2314370231100202,,13516.767695784569,
