year,scope,zeros,grouping,unit,pixels,mean_dn,population_share,value_share,theil_t,within_contribution
2013,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2013,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2013,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2013,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2014,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2014,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2014,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2014,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2015,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2015,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2015,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2015,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2016,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2016,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2016,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2016,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2017,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2017,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2017,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2017,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2018,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2018,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2018,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2018,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2019,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2019,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2019,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2019,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2020,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2020,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2020,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2020,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2021,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2021,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2021,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2021,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2022,all,zeros_included,autonomous region,Xizang,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2022,all,zeros_included,prefecture,Ngari,1421,0.014778325123152709,1.0,1.0,5.4397945562374055,5.4397945562374055
2022,all,lit_only,autonomous region,Xizang,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
2022,all,lit_only,prefecture,Ngari,7,3.0,1.0,1.0,0.1265885771956181,0.1265885771956181
