year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,ZAF.1_1,Eastern Cape,168883,168905.1747,89984.0,0.5328185785425413,0.5327486273780775
1992,ZAF.2_1,Free State,129823,129825.1657,109450.0,0.8430709504479176,0.8430568863774001
1992,ZAF.3_1,Gauteng,18197,18178.3065,395228.0,21.71940429741166,21.74173923125817
1992,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,172697.0,1.851621134794356,1.8513256684246135
1992,ZAF.5_1,Limpopo,125756,125753.9896,84669.0,0.6732800025446102,0.6732907661078111
1992,ZAF.6_1,Mpumalanga,76496,76492.2874,154456.0,2.0191382555950637,2.0192362561543824
1992,ZAF.7_1,North West,104883,104881.6899,117876.0,1.1238808958553816,1.1238949340533981
1992,ZAF.8_1,Northern Cape,372923,372916.5715,41655.0,0.11169866165401436,0.11170058715684476
1992,ZAF.9_1,Western Cape,129502,129472.9693,152516.0,1.1777115411344998,1.177975609776641
1993,ZAF.1_1,Eastern Cape,168883,168905.1747,114280.0,0.6766814895519383,0.6765926513243098
1993,ZAF.2_1,Free State,129823,129825.1657,137564.0,1.0596273387612365,1.059609662107087
1993,ZAF.3_1,Gauteng,18197,18178.3065,425904.0,23.40517667747431,23.429245158616745
1993,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,223553.0,2.396888536261097,2.3965060606341027
1993,ZAF.5_1,Limpopo,125756,125753.9896,123982.0,0.9858933172174688,0.9859090784534911
1993,ZAF.6_1,Mpumalanga,76496,76492.2874,204805.0,2.677329533570383,2.6774594799923492
1993,ZAF.7_1,North West,104883,104881.6899,146000.0,1.3920273066178503,1.3920446941853821
1993,ZAF.8_1,Northern Cape,372923,372916.5715,59655.0,0.15996599834282144,0.15996875589584864
1993,ZAF.9_1,Western Cape,129502,129472.9693,180996.0,1.397630924618925,1.3979443039886497
1994,ZAF.1_1,Eastern Cape,168883,168905.1747,117425.0,0.6953038494105387,0.6952125663436917
1994,ZAF.2_1,Free State,129823,129825.1657,141306.0,1.0884511989400953,1.0884330414476464
1994,ZAF.3_1,Gauteng,18197,18178.3065,427189.0,23.475792713084573,23.499933811526372
1994,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,233056.0,2.498777715829652,2.4983789815709985
1994,ZAF.5_1,Limpopo,125756,125753.9896,137722.0,1.0951525175737142,1.0951700255099264
1994,ZAF.6_1,Mpumalanga,76496,76492.2874,215945.0,2.8229580631667015,2.823095077790815
1994,ZAF.7_1,North West,104883,104881.6899,150834.0,1.438116758673951,1.4381347219366982
1994,ZAF.8_1,Northern Cape,372923,372916.5715,62663.0,0.16803200660726209,0.16803490320512215
1994,ZAF.9_1,Western Cape,129502,129472.9693,183129.0,1.4141017127148616,1.4144187851949073
1995,ZAF.1_1,Eastern Cape,168883,168905.1747,125842.0,0.7451430872260677,0.7450452610076461
1995,ZAF.2_1,Free State,129823,129825.1657,148548.0,1.144234842824461,1.1442157547518503
1995,ZAF.3_1,Gauteng,18197,18178.3065,432691.0,23.778150244545806,23.802602269354214
1995,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,248117.0,2.6602586095981473,2.6598341075554863
1995,ZAF.5_1,Limpopo,125756,125753.9896,166086.0,1.3207004039568688,1.320721517672134
1995,ZAF.6_1,Mpumalanga,76496,76492.2874,239114.0,3.125836645053336,3.1259883601420406
1995,ZAF.7_1,North West,104883,104881.6899,159626.0,1.521943498946445,1.521962509274218
1995,ZAF.8_1,Northern Cape,372923,372916.5715,68904.0,0.18476736484475348,0.18477054993290679
1995,ZAF.9_1,Western Cape,129502,129472.9693,188175.0,1.4530663619094686,1.4533921711146334
1996,ZAF.1_1,Eastern Cape,168883,168905.1747,134902.0,0.7987896946406684,0.7986848254196014
1996,ZAF.2_1,Free State,129823,129825.1657,157436.0,1.2126972878457591,1.2126770576858141
1996,ZAF.3_1,Gauteng,18197,18178.3065,442704.0,24.32840578117272,24.353423655800995
1996,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,271586.0,2.911888321825278,2.911423666796569
1996,ZAF.5_1,Limpopo,125756,125753.9896,192393.0,1.5298912179140558,1.5299156759118462
1996,ZAF.6_1,Mpumalanga,76496,76492.2874,265890.0,3.4758680192428364,3.476036723396234
1996,ZAF.7_1,North West,104883,104881.6899,169445.0,1.615562102533299,1.615582282234535
1996,ZAF.8_1,Northern Cape,372923,372916.5715,72392.0,0.19412050208756232,0.19412384840855376
1996,ZAF.9_1,Western Cape,129502,129472.9693,195396.0,1.5088261185155443,1.5091644302756204
1997,ZAF.1_1,Eastern Cape,168883,168905.1747,135637.0,0.803141820076621,0.8030363794861342
1997,ZAF.2_1,Free State,129823,129825.1657,157924.0,1.2164562519738413,1.2164359591070308
1997,ZAF.3_1,Gauteng,18197,18178.3065,443245.0,24.358135956476342,24.383184403835322
1997,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,277218.0,2.9722734485568467,2.971799157769588
1997,ZAF.5_1,Limpopo,125756,125753.9896,206845.0,1.6448121759597951,1.644838471170915
1997,ZAF.6_1,Mpumalanga,76496,76492.2874,267587.0,3.498052185735202,3.4982219666156236
1997,ZAF.7_1,North West,104883,104881.6899,169359.0,1.6147421412430996,1.6147623107023434
1997,ZAF.8_1,Northern Cape,372923,372916.5715,73274.0,0.19648560158531386,0.19648898867676495
1997,ZAF.9_1,Western Cape,129502,129472.9693,196423.0,1.5167564979691432,1.5170965878934481
1998,ZAF.1_1,Eastern Cape,168883,168905.1747,142379.0,0.8430629489054553,0.8429522672637724
1998,ZAF.2_1,Free State,129823,129825.1657,159966.0,1.2321853600671684,1.2321648048081058
1998,ZAF.3_1,Gauteng,18197,18178.3065,447380.0,24.585371215035444,24.610653337517277
1998,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,286355.0,3.0702384526311275,3.0697485293996434
1998,ZAF.5_1,Limpopo,125756,125753.9896,218556.0,1.7379369572823562,1.7379647412566437
1998,ZAF.6_1,Mpumalanga,76496,76492.2874,274571.0,3.589351077180506,3.589525289328773
1998,ZAF.7_1,North West,104883,104881.6899,172827.0,1.647807556992077,1.6478281394655963
1998,ZAF.8_1,Northern Cape,372923,372916.5715,74879.0,0.2007894391067325,0.20079290038932612
1998,ZAF.9_1,Western Cape,129502,129472.9693,199173.0,1.5379916912480116,1.5383365425663071
1999,ZAF.1_1,Eastern Cape,168883,168905.1747,152431.0,0.902583445343818,0.9024649495451161
1999,ZAF.2_1,Free State,129823,129825.1657,163664.0,1.2606702972508723,1.260649266807408
1999,ZAF.3_1,Gauteng,18197,18178.3065,451134.0,24.79166895642139,24.817163223138092
1999,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,294396.0,3.1564523738045205,3.1559486932693246
1999,ZAF.5_1,Limpopo,125756,125753.9896,231063.0,1.837391456471262,1.8374208304003727
1999,ZAF.6_1,Mpumalanga,76496,76492.2874,286182.0,3.7411367914662206,3.7413183706607285
1999,ZAF.7_1,North West,104883,104881.6899,179723.0,1.713557011145753,1.7135784148841058
1999,ZAF.8_1,Northern Cape,372923,372916.5715,77415.0,0.20758977054244443,0.20759334905166577
1999,ZAF.9_1,Western Cape,129502,129472.9693,203243.0,1.5694197773007366,1.5697716754821385
2000,ZAF.1_1,Eastern Cape,168883,168905.1747,156869.0,0.9288619932142371,0.9287400474325618
2000,ZAF.2_1,Free State,129823,129825.1657,167531.0,1.290457006847785,1.2904354795038118
2000,ZAF.3_1,Gauteng,18197,18178.3065,452537.0,24.86876957740287,24.894343129777944
2000,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,295126.0,3.1642792812111336,3.1637743517228585
2000,ZAF.5_1,Limpopo,125756,125753.9896,236435.0,1.880109100162219,1.8801391570078816
2000,ZAF.6_1,Mpumalanga,76496,76492.2874,291297.0,3.8080030328383185,3.808187857441622
2000,ZAF.7_1,North West,104883,104881.6899,186437.0,1.77757119838296,1.7775934017112336
2000,ZAF.8_1,Northern Cape,372923,372916.5715,80469.0,0.21577912866731203,0.21578284834771677
2000,ZAF.9_1,Western Cape,129502,129472.9693,208913.0,1.6132028848975306,1.6135646002076331
2001,ZAF.1_1,Eastern Cape,168883,168905.1747,159453.0,0.9441625267196817,0.944038572205243
2001,ZAF.2_1,Free State,129823,129825.1657,167541.0,1.2905340348012293,1.2905125061722795
2001,ZAF.3_1,Gauteng,18197,18178.3065,454132.0,24.956421388140903,24.982085076385616
2001,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,296137.0,3.1751190118797443,3.174612352677
2001,ZAF.5_1,Limpopo,125756,125753.9896,243166.0,1.9336333852857914,1.933664297811147
2001,ZAF.6_1,Mpumalanga,76496,76492.2874,292607.0,3.8251281112737923,3.825313767057061
2001,ZAF.7_1,North West,104883,104881.6899,188687.0,1.799023673998646,1.7990461452860083
2001,ZAF.8_1,Northern Cape,372923,372916.5715,80776.0,0.21660235490972668,0.21660608878120977
2001,ZAF.9_1,Western Cape,129502,129472.9693,209096.0,1.6146159904866335,1.6149780226458634
2002,ZAF.1_1,Eastern Cape,168883,168905.1747,166741.0,0.9873166630152236,0.9871870430037342
2002,ZAF.2_1,Free State,129823,129825.1657,169974.0,1.3092749358742288,1.3092530946104357
2002,ZAF.3_1,Gauteng,18197,18178.3065,456551.0,25.089355388250812,25.115155777855183
2002,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,300501.0,3.221908907663936,3.2213947821170303
2002,ZAF.5_1,Limpopo,125756,125753.9896,260959.0,2.0751216641750694,2.075154838639033
2002,ZAF.6_1,Mpumalanga,76496,76492.2874,295658.0,3.8650125496758,3.8652001412835526
2002,ZAF.7_1,North West,104883,104881.6899,193533.0,1.8452275392580304,1.8452505876697232
2002,ZAF.8_1,Northern Cape,372923,372916.5715,82661.0,0.22165701766852675,0.22166083867415545
2002,ZAF.9_1,Western Cape,129502,129472.9693,211044.0,1.6296582292165371,1.6300236341741288
2003,ZAF.1_1,Eastern Cape,168883,168905.1747,167702.0,0.993006993006993,0.9928766259397043
2003,ZAF.2_1,Free State,129823,129825.1657,170239.0,1.3113161766405028,1.311294301324826
2003,ZAF.3_1,Gauteng,18197,18178.3065,457962.0,25.166895642138815,25.192775769493693
2003,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,302001.0,3.237991594115881,3.237474902227032
2003,ZAF.5_1,Limpopo,125756,125753.9896,268150.0,2.1323038264575844,2.132337915078831
2003,ZAF.6_1,Mpumalanga,76496,76492.2874,295197.0,3.8589860907759883,3.859173389884532
2003,ZAF.7_1,North West,104883,104881.6899,195579.0,1.8647349904178943,1.8647582824937183
2003,ZAF.8_1,Northern Cape,372923,372916.5715,82760.0,0.2219224880203152,0.22192631360221998
2003,ZAF.9_1,Western Cape,129502,129472.9693,212475.0,1.6407082516100138,1.6410761342238964
2004,ZAF.1_1,Eastern Cape,168883,168905.1747,170373.0,1.0088226760538361,1.0086902326223017
2004,ZAF.2_1,Free State,129823,129825.1657,174300.0,1.3425972285342351,1.3425748313895005
2004,ZAF.3_1,Gauteng,18197,18178.3065,460597.0,25.311699730724843,25.337728765927054
2004,ZAF.4_1,KwaZulu-Natal,93268,93282.8853,305324.0,3.273620105502423,3.273097728310722
2004,ZAF.5_1,Limpopo,125756,125753.9896,276165.0,2.196038359998728,2.1960734675284184
2004,ZAF.6_1,Mpumalanga,76496,76492.2874,297810.0,3.893144739594227,3.8933336966212813
2004,ZAF.7_1,North West,104883,104881.6899,201847.0,1.9244968202663921,1.9245208588166907
2004,ZAF.8_1,Northern Cape,372923,372916.5715,82783.0,0.22198416295052867,0.2219879895956087
