year,gid,name,pixels,area_km2,sum_of_lights,mean_dn,density_sol_per_km2
1992,ZNC.1_1,Gazimağusa,921,925.4249,6370.0,6.916395222584148,6.883324254494068
1992,ZNC.2_1,Girne,673,674.9304,4519.0,6.714710252600297,6.695505514798875
1992,ZNC.3_1,Güzelyurt,345,345.7996,2018.0,5.84927536231884,5.835750676433727
1992,ZNC.4_1,Iskele,850,846.8927,1351.0,1.5894117647058823,1.5952433219418891
1992,ZNC.5_1,Nicosia,523,521.0126,8380.0,16.022944550669216,16.08406492053887
1993,ZNC.1_1,Gazimağusa,921,925.4249,6762.0,7.342019543973941,7.30691343938601
1993,ZNC.2_1,Girne,673,674.9304,4895.0,7.273402674591382,7.252600021009182
1993,ZNC.3_1,Güzelyurt,345,345.7996,2205.0,6.391304347826087,6.376526383318319
1993,ZNC.4_1,Iskele,850,846.8927,1686.0,1.983529411764706,1.9908069880044599
1993,ZNC.5_1,Nicosia,523,521.0126,8615.0,16.47227533460803,16.535109700530114
1994,ZNC.1_1,Gazimağusa,921,925.4249,6719.0,7.295331161780673,7.260448299206536
1994,ZNC.2_1,Girne,673,674.9304,5004.0,7.435364041604755,7.4140981624371705
1994,ZNC.3_1,Güzelyurt,345,345.7996,2127.0,6.165217391304348,6.1509621847247455
1994,ZNC.4_1,Iskele,850,846.8927,1686.0,1.983529411764706,1.9908069880044599
1994,ZNC.5_1,Nicosia,523,521.0126,8612.0,16.466539196940726,16.529351682062142
1995,ZNC.1_1,Gazimağusa,921,925.4249,6912.0,7.504885993485342,7.469001137686498
1995,ZNC.2_1,Girne,673,674.9304,5058.0,7.515601783060921,7.49410641598865
1995,ZNC.3_1,Güzelyurt,345,345.7996,2181.0,6.321739130434783,6.307122014520297
1995,ZNC.4_1,Iskele,850,846.8927,1865.0,2.1941176470588237,2.2021678722587885
1995,ZNC.5_1,Nicosia,523,521.0126,8643.0,16.52581261950287,16.5888512062312
1996,ZNC.1_1,Gazimağusa,921,925.4249,7126.0,7.737242128121607,7.700246253928528
1996,ZNC.2_1,Girne,673,674.9304,5305.0,7.882615156017831,7.860070094270421
1996,ZNC.3_1,Güzelyurt,345,345.7996,2302.0,6.672463768115942,6.657035707210326
1996,ZNC.4_1,Iskele,850,846.8927,1964.0,2.3105882352941176,2.3190657914832498
1996,ZNC.5_1,Nicosia,523,521.0126,8749.0,16.72848948374761,16.792301192099593
