iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
MAR,MAR.1_1,Chaouia - Ouardigha,0.0263,1.0,0.0,16549.5551,23000,1.3871,9.0787,False,,False,False,ordinary
MAR,MAR.2_1,Doukkala - Abda,0.1831,1.0,0.0,14411.5316,19914,0.9323,7.7076,False,,False,False,ordinary
MAR,MAR.3_1,Fès - Boulemane,0.646,0.9998,0.0,19318.0074,26979,0.8909,3.4027,True,,False,True,desert_dark
MAR,MAR.4_1,Gharb - Chrarda - Béni Hssen,0.0,0.9435,0.0,8764.9772,12391,1.6225,8.751,False,,False,False,ordinary
MAR,MAR.5_1,Grand Casablanca,0.0,1.0,0.0,876.5538,1225,27.7829,52.2671,False,,False,False,ordinary
MAR,MAR.6_1,Guelmim - Es-Semara,1.0,1.0,0.0,64472.9866,85818,0.0711,0.46,True,dark;dark_wide,True,True,desert_dark
MAR,MAR.7_1,Laâyoune - Boujdour - Sakia El H,1.0,1.0,0.0,5721.2469,7549,0.0045,0.242,True,dark;dark_wide,True,True,desert_dark
MAR,MAR.8_1,Marrakech - Tensift - Al Haouz,0.5646,0.9927,0.0005,32387.823,44330,0.6024,5.7265,True,,False,True,desert_dark
MAR,MAR.9_1,Meknès - Tafilalet,0.7057,1.0,0.0,60115.4818,82660,0.3949,1.681,True,dark_wide,True,True,desert_dark
MAR,MAR.10_1,Oriental,0.7514,1.0,0.0,59751.9245,83439,0.4574,2.5065,True,dark_wide,True,True,desert_dark
MAR,MAR.11_1,Rabat - Salé - Zemmour - Zaer,0.0,1.0,0.0,10014.5472,14025,1.9433,6.697,False,,False,False,ordinary
MAR,MAR.12_1,Souss - Massa - Draâ,0.8317,0.9975,0.0,72109.7886,97550,0.3534,2.1398,True,dark_wide,True,True,desert_dark
MAR,MAR.13_1,Tadla - Azilal,0.0092,0.9989,0.0,15571.9794,21430,0.7945,5.0395,False,,False,True,anomalously_dark
MAR,MAR.14_1,Tanger - Tétouan,0.0,0.1472,0.1714,11807.4283,16837,1.519,8.2243,False,,False,False,ordinary
MAR,MAR.15_1,Taza - Al Hoceima - Taounate,0.1364,0.9223,0.0194,21602.1766,30505,0.3067,3.8398,False,,False,True,anomalously_dark
DZA,DZA.1_1,Adrar,1.0,1.0,0.0,431528.7821,560795,0.0328,0.2837,True,dark;dark_wide,True,True,desert_dark
