iso3,measure,measure_note,window,first_year,last_year,n_years,percent_per_year,r_squared,half_life_years,direction,monotone,trajectory,trajectory_reason
AIA,total,Theil T over all land pixels - both margins together,full,1992,2022,31,-1.0946613601618698,0.8376104468436221,63.32069494601035,falling,True,intensive converger,already largely lit; the decline is convergence among lit places
AIA,total,Theil T over all land pixels - both margins together,dmsp,1992,2013,22,-1.4022127679560599,0.8228051948861893,49.43238261696287,falling,True,intensive converger,already largely lit; the decline is convergence among lit places
AIA,total,Theil T over all land pixels - both margins together,viirs,2014,2022,9,0.12920253376971522,0.3599522682222242,,rising,False,intensive converger,already largely lit; the decline is convergence among lit places
AIA,intensive,Theil T over lit pixels only - convergence among the already lit,full,1992,2022,31,-2.1539283576237174,0.8427860222281821,32.18060517688933,falling,True,intensive converger,already largely lit; the decline is convergence among lit places
AIA,intensive,Theil T over lit pixels only - convergence among the already lit,dmsp,1992,2013,22,-2.3767312399889087,0.7457994912209971,29.16388562987795,falling,True,intensive converger,already largely lit; the decline is convergence among lit places
AIA,intensive,Theil T over lit pixels only - convergence among the already lit,viirs,2014,2022,9,0.3676368944652945,0.35806686757328565,,rising,False,intensive converger,already largely lit; the decline is convergence among lit places
AIA,extensive,share of land pixels that are lit - light reaching new ground,full,1992,2022,31,0.04059381148832882,0.468750000000001,,flat,False,intensive converger,already largely lit; the decline is convergence among lit places
AIA,extensive,share of land pixels that are lit - light reaching new ground,dmsp,1992,2013,22,0.07276171382752737,0.5962732919254663,,rising,True,intensive converger,already largely lit; the decline is convergence among lit places
AIA,extensive,share of land pixels that are lit - light reaching new ground,viirs,2014,2022,9,0.0,,,flat,False,intensive converger,already largely lit; the decline is convergence among lit places
AIA,between_share,share of Theil T lying between admin-1 units,full,1992,2022,31,0.3066842699544853,0.7855695317587995,,rising,True,intensive converger,already largely lit; the decline is convergence among lit places
AIA,between_share,share of Theil T lying between admin-1 units,dmsp,1992,2013,22,0.38691498869237956,0.7350039353489929,,rising,True,intensive converger,already largely lit; the decline is convergence among lit places
AIA,between_share,share of Theil T lying between admin-1 units,viirs,2014,2022,9,-0.04590213162225016,0.10344005551699954,1510.054448591132,flat,False,intensive converger,already largely lit; the decline is convergence among lit places
ATG,total,Theil T over all land pixels - both margins together,full,1992,2022,31,-0.8063122770485334,0.8383334675108441,85.96510313562092,falling,True,intensive converger,already largely lit; the decline is convergence among lit places
ATG,total,Theil T over all land pixels - both margins together,dmsp,1992,2013,22,-0.8407800477979559,0.7071050960750926,82.44096447998875,falling,True,intensive converger,already largely lit; the decline is convergence among lit places
ATG,total,Theil T over all land pixels - both margins together,viirs,2014,2022,9,-0.7225264031044951,0.38637589254441046,95.93382021496855,falling,False,intensive converger,already largely lit; the decline is convergence among lit places
ATG,intensive,Theil T over lit pixels only - convergence among the already lit,full,1992,2022,31,-1.4583282814100416,0.566289388954392,47.530257034427734,falling,True,intensive converger,already largely lit; the decline is convergence among lit places
ATG,intensive,Theil T over lit pixels only - convergence among the already lit,dmsp,1992,2013,22,-1.461002827811441,0.4463501840912757,47.443247019464614,falling,False,intensive converger,already largely lit; the decline is convergence among lit places
ATG,intensive,Theil T over lit pixels only - convergence among the already lit,viirs,2014,2022,9,2.270305442617918,0.2717251704109841,,rising,False,intensive converger,already largely lit; the decline is convergence among lit places
ATG,extensive,share of land pixels that are lit - light reaching new ground,full,1992,2022,31,0.11114176744007111,0.07454047344541156,,rising,False,intensive converger,already largely lit; the decline is convergence among lit places
ATG,extensive,share of land pixels that are lit - light reaching new ground,dmsp,1992,2013,22,0.1499581816997099,0.07562651129049067,,rising,False,intensive converger,already largely lit; the decline is convergence among lit places
ATG,extensive,share of land pixels that are lit - light reaching new ground,viirs,2014,2022,9,0.898735436314585,0.34005008057961467,,rising,False,intensive converger,already largely lit; the decline is convergence among lit places
ATG,between_share,share of Theil T lying between admin-1 units,full,1992,2022,31,0.14361702978573995,0.7270534840571512,,rising,True,intensive converger,already largely lit; the decline is convergence among lit places
ATG,between_share,share of Theil T lying between admin-1 units,dmsp,1992,2013,22,0.09071334396454467,0.5395469769247874,,rising,True,intensive converger,already largely lit; the decline is convergence among lit places
ATG,between_share,share of Theil T lying between admin-1 units,viirs,2014,2022,9,0.2821830324191042,0.3629200967551281,,rising,False,intensive converger,already largely lit; the decline is convergence among lit places
BES,total,Theil T over all land pixels - both margins together,full,1992,2022,31,-1.185451992074419,0.6068773799492734,58.471130437514304,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
BES,total,Theil T over all land pixels - both margins together,dmsp,1992,2013,22,-0.9535735261470804,0.30138454634075007,72.68943207354033,falling,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
BES,total,Theil T over all land pixels - both margins together,viirs,2014,2022,9,-3.467086574560849,0.9624441700295664,19.99220860666686,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
BES,intensive,Theil T over lit pixels only - convergence among the already lit,full,1992,2022,31,0.08637014079826955,0.008846288604985061,,rising,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
BES,intensive,Theil T over lit pixels only - convergence among the already lit,dmsp,1992,2013,22,-0.605235377844274,0.22130634745979644,114.5252253807098,falling,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
