iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
ARG,ARG.1_1,Buenos Aires,0.0004,0.3421,0.6579,307064.3966,445981,1.3489,3.4083,False,,False,False,ordinary
ARG,ARG.2_1,Catamarca,0.7309,1.0,0.0,101354.2047,133127,0.092,0.7691,True,,False,True,desert_dark
ARG,ARG.3_1,Chaco,0.0,0.5896,0.4104,99842.4521,130063,0.2492,1.7119,False,,False,True,anomalously_dark
ARG,ARG.4_1,Chubut,0.7994,0.9419,0.0581,224408.3309,361421,0.0939,0.4559,True,,False,True,desert_dark
ARG,ARG.5_1,Ciudad de Buenos Aires,0.0,0.0,1.0,211.9536,300,62.5308,62.9668,False,,False,False,ordinary
ARG,ARG.6_1,Córdoba,0.0,0.9137,0.0863,164698.1126,226759,0.6839,2.9706,False,,False,False,ordinary
ARG,ARG.7_1,Corrientes,0.0,0.0,1.0,88960.1714,118379,0.2598,1.4119,False,,False,True,anomalously_dark
ARG,ARG.8_1,Entre Ríos,0.0,0.0,1.0,77924.5474,107159,0.5477,3.1622,False,,False,False,ordinary
ARG,ARG.9_1,Formosa,0.0,0.6472,0.3528,75588.3316,97267,0.1746,1.1709,False,,False,True,anomalously_dark
ARG,ARG.10_1,Jujuy,0.7114,0.9944,0.0056,53132.7063,67550,0.2692,1.4011,True,,False,True,desert_dark
ARG,ARG.11_1,La Pampa,0.1425,1.0,0.0,142800.3752,208550,0.0806,0.6322,False,,False,True,anomalously_dark
ARG,ARG.12_1,La Rioja,0.5899,1.0,0.0,91095.1133,122277,0.1051,0.8759,True,,False,True,desert_dark
ARG,ARG.13_1,Mendoza,0.3421,0.9998,0.0002,148804.1302,210704,0.3699,1.8081,False,,False,False,ordinary
ARG,ARG.14_1,Misiones,0.0,0.0,1.0,29991.4404,39229,0.6424,3.425,False,,False,False,ordinary
ARG,ARG.15_1,Neuquén,0.4596,0.8014,0.1986,94521.0758,140857,0.4293,2.1358,False,,False,False,ordinary
ARG,ARG.16_1,Río Negro,0.8648,0.9717,0.0283,202508.8981,309422,0.1348,0.634,True,,False,True,desert_dark
ARG,ARG.17_1,Salta,0.3244,0.8735,0.1265,155221.9379,198818,0.2279,1.1765,False,,False,True,anomalously_dark
ARG,ARG.18_1,San Juan,0.8681,1.0,0.0,88829.9095,120647,0.2035,1.2817,True,,False,True,desert_dark
ARG,ARG.19_1,San Luis,0.0626,1.0,0.0,75872.3442,106355,0.1979,1.543,False,,False,True,anomalously_dark
ARG,ARG.20_1,Santa Cruz,0.7629,0.9679,0.0321,242843.6931,428310,0.1011,0.4339,True,,False,True,desert_dark
ARG,ARG.21_1,Santa Fe,0.0,0.1412,0.8588,133065.7182,180507,0.8916,3.6181,False,,False,False,ordinary
ARG,ARG.22_1,Santiago del Estero,0.0,0.9978,0.0022,136865.9113,180489,0.1192,0.8711,False,,False,True,anomalously_dark
ARG,ARG.23_1,Tierra del Fuego,0.0,0.3159,0.6841,20911.005,41587,0.4987,1.0617,False,,False,True,anomalously_dark
ARG,ARG.24_1,Tucumán,0.1424,0.9563,0.0437,22540.4614,29500,1.5806,5.998,False,,False,False,ordinary
BOL,BOL.3_1,Beni,0.0,0.0,1.0,206780.3433,248952,0.0113,0.0861,False,,False,True,anomalously_dark
BOL,BOL.1_1,Chuquisaca,0.0,1.0,0.0,50910.5461,63305,0.1326,0.4568,False,,False,True,anomalously_dark
BOL,BOL.2_1,Cochabamba,0.0,0.4054,0.5946,54429.4238,66595,0.5182,1.8032,False,,False,False,ordinary
BOL,BOL.4_1,La Paz,0.0,0.2674,0.7326,131228.7444,159025,0.1477,0.6577,False,,False,True,anomalously_dark
BOL,BOL.5_1,Oruro,0.4241,1.0,0.0,52187.8534,64348,0.0859,0.486,False,,False,True,anomalously_dark
BOL,BOL.6_1,Pando,0.0,0.0,1.0,63630.3753,75824,0.0058,0.0752,False,,False,True,anomalously_dark
BOL,BOL.7_1,Potosí,0.725,1.0,0.0,119208.677,148718,0.0313,0.266,True,,False,True,desert_dark
BOL,BOL.8_1,Santa Cruz,0.0,0.3836,0.6164,368675.0439,451179,0.1581,0.511,False,,False,True,anomalously_dark
BOL,BOL.9_1,Tarija,0.0,0.8774,0.1226,37268.8851,46807,0.1432,1.4065,False,,False,True,anomalously_dark
CHL,CHL.2_1,Antofagasta,1.0,1.0,0.0,126076.8104,160569,0.1507,0.9665,True,,False,True,desert_dark
CHL,CHL.3_1,Araucanía,0.0,0.0,1.0,31794.7905,47380,0.2947,2.5636,False,,False,False,ordinary
CHL,CHL.4_1,Arica y Parinacota,0.6526,1.0,0.0,16834.1115,20739,0.259,0.6861,True,,False,True,desert_dark
CHL,CHL.5_1,Atacama,1.0,1.0,0.0,75703.107,99482,0.1282,0.7046,True,,False,True,desert_dark
CHL,CHL.1_1,Aysén del General Ibañez del Cam,0.0,0.066,0.934,102129.6448,171902,0.0067,0.0942,False,,False,True,anomalously_dark
CHL,CHL.6_1,Bío-Bío,0.0,0.0,1.0,23956.9121,35152,0.933,4.9663,False,,False,False,ordinary
CHL,CHL.7_1,Coquimbo,0.9364,1.0,0.0,40567.4964,54962,0.1977,2.0966,True,,False,False,lit_desert
CHL,CHL.8_1,Libertador General Bernardo O'Hi,0.0,0.8096,0.1904,16341.9675,23081,0.8742,6.1595,False,,False,False,ordinary
CHL,CHL.9_1,Los Lagos,0.0,0.0,1.0,48212.7173,75503,0.1426,1.5277,False,,False,True,anomalously_dark
CHL,CHL.10_1,Los Ríos,0.0,0.0,1.0,18202.3774,27647,0.19,2.1138,False,,False,False,ordinary
CHL,CHL.11_1,Magallanes y Antártica Chilena,0.0,0.2091,0.7909,118074.1874,225673,0.1152,0.1628,False,,False,True,anomalously_dark
CHL,CHL.12_1,Maule,0.0,0.135,0.865,30305.6073,43418,0.4591,3.426,False,,False,False,ordinary
CHL,CHL.13_1,Ñuble,0.0,0.0,1.0,13085.6581,18989,0.3397,3.9641,False,,False,False,ordinary
CHL,CHL.14_1,Santiago Metropolitan,0.0,0.9974,0.0026,15400.9331,21544,4.9302,14.8673,False,,False,False,ordinary
CHL,CHL.15_1,Tarapacá,0.9971,1.0,0.0,40011.614,49792,0.0435,0.7819,True,,False,True,desert_dark
CHL,CHL.16_1,Valparaíso,0.0832,0.9835,0.0165,16236.3572,22493,1.7367,8.6582,False,,False,False,ordinary
COL,COL.1_2,Amazonas,0.0,0.0,1.0,109165.7672,127768,0.0075,0.0165,False,,False,True,anomalously_dark
COL,COL.2_2,Antioquia,0.0,0.0,1.0,62913.3949,74132,1.9347,3.3282,False,,False,False,ordinary
COL,COL.3_2,Arauca,0.0,0.0,1.0,23719.9036,27928,0.2336,0.9555,False,,False,True,anomalously_dark
COL,COL.4_2,Atlántico,0.0,0.5389,0.4611,3312.7716,3942,8.3339,18.6597,False,,False,False,ordinary
COL,COL.5_2,Bogotá D.C.,0.0,0.0,1.0,1640.0698,1924,19.2317,23.2084,False,,False,False,ordinary
COL,COL.6_2,Bolívar,0.0,0.0096,0.9904,26626.3372,31510,0.9046,3.0644,False,,False,False,ordinary
COL,COL.7_2,Boyacá,0.0,0.0,1.0,23070.9673,27125,0.9001,3.6896,False,,False,False,ordinary
COL,COL.8_2,Caldas,0.0,0.0,1.0,7406.0916,8701,3.3581,4.8926,False,,False,False,ordinary
COL,COL.9_2,Caquetá,0.0,0.0,1.0,89902.0083,105193,0.0153,0.13,False,,False,True,anomalously_dark
COL,COL.10_2,Casanare,0.0,0.0,1.0,44384.6896,52152,0.3981,1.2623,False,,False,True,anomalously_dark
COL,COL.11_2,Cauca,0.0,0.0,1.0,30512.8591,35728,0.5134,1.7985,False,,False,True,anomalously_dark
COL,COL.12_2,Cesar,0.0,0.01,0.99,22371.7059,26532,0.6734,4.2355,False,,False,False,ordinary
COL,COL.13_2,Chocó,0.0,0.0,1.0,47528.4533,55904,0.0242,0.1521,False,,False,True,anomalously_dark
COL,COL.14_2,Córdoba,0.0,0.0,1.0,25131.9125,29709,0.9809,3.686,False,,False,False,ordinary
COL,COL.15_2,Cundinamarca,0.0,0.0,1.0,22351.9929,26240,3.7148,8.4579,False,,False,False,ordinary
COL,COL.16_2,Guainía,0.0,0.0,1.0,70972.2565,83124,0.0,0.0187,False,,False,True,anomalously_dark
COL,COL.17_2,Guaviare,0.0,0.0,1.0,55408.693,64859,0.0038,0.0448,False,,False,True,anomalously_dark
COL,COL.18_2,Huila,0.0,0.0,1.0,18703.6185,21903,1.095,3.8338,False,,False,False,ordinary
COL,COL.19_2,La Guajira,0.1755,0.7916,0.2084,20438.6719,24386,0.6856,2.7274,False,,False,False,ordinary
COL,COL.20_2,Magdalena,0.0,0.1602,0.8398,22776.4042,27066,0.8298,2.9735,False,,False,False,ordinary
COL,COL.21_2,Meta,0.0,0.0,1.0,85456.5001,100146,0.0736,1.1135,False,,False,True,anomalously_dark
COL,COL.22_2,Nariño,0.0,0.0,1.0,31326.7673,36663,0.3767,1.3918,False,,False,True,anomalously_dark
COL,COL.23_2,Norte de Santander,0.0,0.0,1.0,21934.4526,25913,1.027,2.27,False,,False,False,ordinary
COL,COL.24_2,Putumayo,0.0,0.0,1.0,25895.385,30296,0.2038,0.6823,False,,False,True,anomalously_dark
COL,COL.25_2,Quindío,0.0,0.0,1.0,1934.6733,2270,6.666,11.3738,False,,False,False,ordinary
COL,COL.26_2,Risaralda,0.0,0.0,1.0,3546.6115,4165,6.6907,9.2213,False,,False,False,ordinary
COL,COL.27_1,San Andrés y Providencia,0.0,0.0,1.0,49.1887,59,19.5556,30.6999,False,,False,False,ordinary
COL,COL.28_2,Santander,0.0,0.0,1.0,30607.7886,36048,1.1809,3.2419,False,,False,False,ordinary
COL,COL.29_2,Sucre,0.0,0.0,1.0,10716.9043,12692,1.5362,4.84,False,,False,False,ordinary
COL,COL.30_2,Tolima,0.0,0.0,1.0,23971.5757,28113,0.6872,3.588,False,,False,False,ordinary
COL,COL.31_2,Valle del Cauca,0.0,0.0,1.0,20887.3951,24490,4.5208,7.8804,False,,False,False,ordinary
COL,COL.32_2,Vaupés,0.0,0.0,1.0,53169.3376,62210,0.0,0.017,False,,False,True,anomalously_dark
COL,COL.33_2,Vichada,0.0,0.0,1.0,99294.6936,116557,0.0077,0.0387,False,,False,True,anomalously_dark
ECU,ECU.1_1,Azuay,0.0,0.1388,0.8612,8164.2078,9564,1.5566,9.7434,False,,False,False,ordinary
ECU,ECU.2_1,Bolivar,0.0,0.007,0.993,3906.6318,4572,0.3573,3.7148,False,,False,False,ordinary
ECU,ECU.3_1,Cañar,0.0,0.0,1.0,3326.2618,3895,1.4483,10.6374,False,,False,False,ordinary
