iso3,measure,measure_note,window,first_year,last_year,n_years,percent_per_year,r_squared,half_life_years,direction,monotone,trajectory,trajectory_reason
ARG,total,Theil T over all land pixels - both margins together,full,1992,2022,31,-1.0640411842472928,0.908171588200876,65.14289022095329,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,total,Theil T over all land pixels - both margins together,dmsp,1992,2013,22,-0.9911507058422278,0.7968037493331122,69.93358088475004,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,total,Theil T over all land pixels - both margins together,viirs,2014,2022,9,-1.9144122773606953,0.9407071065893043,36.20678726086905,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,intensive,Theil T over lit pixels only - convergence among the already lit,full,1992,2022,31,0.5113041486529334,0.21304626293029363,nan,rising,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,intensive,Theil T over lit pixels only - convergence among the already lit,dmsp,1992,2013,22,-0.42264725603999914,0.18655961504010493,164.00134406511944,falling,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,intensive,Theil T over lit pixels only - convergence among the already lit,viirs,2014,2022,9,3.6209748674143305,0.9021580970814226,nan,rising,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,extensive,share of land pixels that are lit - light reaching new ground,full,1992,2022,31,3.64508547653221,0.8644587536089836,nan,rising,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,extensive,share of land pixels that are lit - light reaching new ground,dmsp,1992,2013,22,3.213854621584896,0.6937378649302555,nan,rising,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,extensive,share of land pixels that are lit - light reaching new ground,viirs,2014,2022,9,7.162051269478077,0.9381516819208475,nan,rising,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,between_share,share of Theil T lying between admin-1 units,full,1992,2022,31,-0.8331633946144397,0.8948175764857705,83.19462725324253,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,between_share,share of Theil T lying between admin-1 units,dmsp,1992,2013,22,-0.8265456654227531,0.9379280474165351,83.86072416282306,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ARG,between_share,share of Theil T lying between admin-1 units,viirs,2014,2022,9,0.269446653740287,0.04823223769828173,nan,rising,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
