iso3,measure,measure_note,window,first_year,last_year,n_years,percent_per_year,r_squared,half_life_years,direction,monotone,trajectory,trajectory_reason
MAR,total,Theil T over all land pixels - both margins together,full,1992,2022,31,-2.2625125513249356,0.95650506279233,30.63616951667454,falling,True,mixed,both margins contribute
MAR,total,Theil T over all land pixels - both margins together,dmsp,1992,2013,22,-2.2411523891757597,0.9273011947905975,30.92815927679365,falling,True,mixed,both margins contribute
MAR,total,Theil T over all land pixels - both margins together,viirs,2014,2022,9,-3.907835402080885,0.9369965726043858,17.73736888178174,falling,True,mixed,both margins contribute
MAR,intensive,Theil T over lit pixels only - convergence among the already lit,full,1992,2022,31,-0.5032909497204927,0.19243009767338345,137.72295745530315,falling,False,mixed,both margins contribute
MAR,intensive,Theil T over lit pixels only - convergence among the already lit,dmsp,1992,2013,22,-1.0705195857481362,0.3450385987326044,64.74866875747416,falling,False,mixed,both margins contribute
MAR,intensive,Theil T over lit pixels only - convergence among the already lit,viirs,2014,2022,9,1.6685347007391,0.7628819334085034,nan,rising,True,mixed,both margins contribute
MAR,extensive,share of land pixels that are lit - light reaching new ground,full,1992,2022,31,5.297203118593027,0.911502924920099,nan,rising,True,mixed,both margins contribute
MAR,extensive,share of land pixels that are lit - light reaching new ground,dmsp,1992,2013,22,5.666563598250163,0.8338338781971446,nan,rising,True,mixed,both margins contribute
MAR,extensive,share of land pixels that are lit - light reaching new ground,viirs,2014,2022,9,8.190459024624298,0.9298184758664042,nan,rising,True,mixed,both margins contribute
MAR,between_share,share of Theil T lying between admin-1 units,full,1992,2022,31,1.0808685671891785,0.7744291336750565,nan,rising,True,mixed,both margins contribute
MAR,between_share,share of Theil T lying between admin-1 units,dmsp,1992,2013,22,0.882072666494238,0.5111931985449327,nan,rising,True,mixed,both margins contribute
MAR,between_share,share of Theil T lying between admin-1 units,viirs,2014,2022,9,2.492548352944879,0.936866382957175,nan,rising,True,mixed,both margins contribute
DZA,total,Theil T over all land pixels - both margins together,full,1992,2022,31,-0.715010594380164,0.8587034605657217,96.94222519329634,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
